Pheno_year,First_bloom,Full_bloom,Last_bloom
1958,19580502,19580503,19580507
1959,19590408,19590413,19590421
1960,19600410,19600415,19600421
1961,19610330,19610408,19610415
1962,19620427,19620505,19620510
1963,19630428,19630504,19630513
1964,19640425,19640501,19640506
1965,19650429,19650504,19650509
1966,19660409,19660416,19660427
1967,19670412,19670415,19670425
1968,19680418,19680421,19680423
1969,19690429,19690501,19690511
1970,19700507,19700509,19700514
1971,19710423,19710430,19710509
1972,19720413,19720422,19720428
1973,19730503,19730505,19730512
1974,19740407,19740410,19740415
1975,19750419,19750423,19750502
1976,19760420,19760423,19760504
1977,19770417,19770425,19770509
1978,19780425,19780427,19780504
1979,19790509,19790513,19790518
1980,19800417,19800428,19800506
1981,19810409,19810412,19810516
1982,19820426,19820503,19820512
1983,19830412,19830426,19830504
1984,19840430,19840503,19840513
1985,19850506,19850511,19850514
1986,19860505,19860507,19860515
1987,19870426,19870428,19870505
1988,19880419,19880423,19880430
1989,19890408,19890411,19890423
1990,19900318,19900327,19900408
1991,19910410,19910413,19910423
1992,19920414,19920419,19920429
1993,19930412,19930420,19930427
1994,19940414,19940419,19940430
1995,19950421,19950423,19950502
1996,19960426,19960429,19960502
1997,19970408,19970411,19970420
1998,19980405,19980407,19980420
1999,19990410,19990412,19990422
2000,20000414,20000416,20000425
2001,20010422,20010424,20010501
2002,20020401,20020402,20020411
2003,20030414,20030416,20030424
2004,20040414,20040416,20040423
2005,20050414,20050416,20050424
2006,20060426,20060502,20060508
2007,20070412,20070414,20070419
2008,20080415,20080420,20080426
2009,20090412,20090413,20090422
2010,20100420,20100421,20100426
2011,20110404,20110406,20110414
2012,20120411,20120413,20120420
2013,20130425,20130427,20130507
2014,20140331,20140401,20140410
2015,20150414,20150416,20150425
2016,20160426,20160428,20160514
2017,20170409,20170412,20170504
2018,20180417,20180418,20180429
2019,20190406,20190407,20190415
