"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1990-01-01 12:00:00,1990,1,1,-1,0.999999999999998,0,0
1990-01-02 12:00:00,1990,1,2,0,2,0.999999999999998,0
1990-01-03 12:00:00,1990,1,3,-0.388888888888889,2,0.722222222222221,0
1990-01-04 12:00:00,1990,1,4,-1.11111111111111,2,-0.0555555555555563,0
1990-01-05 12:00:00,1990,1,5,-1.11111111111111,3.11111111111111,1.55555555555555,0
1990-01-06 12:00:00,1990,1,6,0,2.38888888888889,1.33333333333333,0
1990-01-07 12:00:00,1990,1,7,-0.111111111111111,4.27777777777778,1.05555555555555,0
1990-01-08 12:00:00,1990,1,8,-0.111111111111111,7,3.27777777777778,0
1990-01-09 12:00:00,1990,1,9,3.77777777777778,8,5.33333333333333,0.508
1990-01-10 12:00:00,1990,1,10,3,6,4.55555555555556,1.016
1990-01-11 12:00:00,1990,1,11,3.27777777777778,7,5.16666666666667,0.254
1990-01-12 12:00:00,1990,1,12,-1,5.22222222222222,1.77777777777778,0
1990-01-13 12:00:00,1990,1,13,-1.27777777777778,4,1.38888888888889,0
1990-01-14 12:00:00,1990,1,14,-0.222222222222221,5,3.16666666666667,0
1990-01-15 12:00:00,1990,1,15,0.88888888888889,9,4.55555555555556,1.016
1990-01-16 12:00:00,1990,1,16,6.22222222222222,11,9.94444444444444,0
1990-01-17 12:00:00,1990,1,17,0.999999999999998,11,8.5,0
1990-01-18 12:00:00,1990,1,18,-1,7,2.72222222222222,0.254
1990-01-19 12:00:00,1990,1,19,2,7.11111111111111,4.61111111111111,0
1990-01-20 12:00:00,1990,1,20,4,8.5,6.05555555555556,2.286
1990-01-21 12:00:00,1990,1,21,4.72222222222222,12,9.27777777777778,2.286
1990-01-22 12:00:00,1990,1,22,4.88888888888889,8.38888888888889,6.61111111111111,0
1990-01-23 12:00:00,1990,1,23,4.77777777777778,11,8.16666666666667,1.524
1990-01-24 12:00:00,1990,1,24,2.38888888888889,8,5.55555555555556,19.05
1990-01-25 12:00:00,1990,1,25,2.38888888888889,14,8.55555555555556,0.762
1990-01-26 12:00:00,1990,1,26,3.77777777777778,8,5.44444444444444,3.048
1990-01-27 12:00:00,1990,1,27,3.77777777777778,9.38888888888889,6.44444444444444,0.254
1990-01-28 12:00:00,1990,1,28,5,11,8.55555555555556,0
1990-01-29 12:00:00,1990,1,29,3,9.5,6.05555555555556,0
1990-01-30 12:00:00,1990,1,30,3.38888888888889,11.1111111111111,7.16666666666667,0
1990-01-31 12:00:00,1990,1,31,8.11111111111111,11.3888888888889,10.2777777777778,0
1990-02-01 12:00:00,1990,2,1,6,11.6111111111111,9.05555555555555,0
1990-02-02 12:00:00,1990,2,2,6,11,8.27777777777778,0
1990-02-03 12:00:00,1990,2,3,5.72222222222222,13.3888888888889,8,0.762
1990-02-04 12:00:00,1990,2,4,2,11,6.44444444444444,0
1990-02-05 12:00:00,1990,2,5,2,14,7.33333333333333,0
