"","YEARMODA","DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
"1",19910101,"1991-01-01 12:00:00",1991,1,1,2,7.27777777777778,4.77777777777778,3.81,NA,NA,FALSE,FALSE
"2",19910102,"1991-01-02 12:00:00",1991,1,2,2,13,9.55555555555556,1.27,NA,NA,FALSE,FALSE
"3",19910103,"1991-01-03 12:00:00",1991,1,3,7,13.2222222222222,9.05555555555555,5.334,NA,NA,FALSE,FALSE
"4",19910104,"1991-01-04 12:00:00",1991,1,4,4,9.22222222222222,6.72222222222222,7.112,NA,NA,FALSE,FALSE
"5",19910105,"1991-01-05 12:00:00",1991,1,5,2,7.22222222222222,5.55555555555556,1.016,NA,NA,FALSE,FALSE
"6",19910106,"1991-01-06 12:00:00",1991,1,6,3,8.11111111111111,5.66666666666667,1.27,NA,NA,FALSE,FALSE
"7",19910107,"1991-01-07 12:00:00",1991,1,7,2.5,10.2222222222222,5.66666666666667,0,NA,NA,FALSE,FALSE
"8",19910108,"1991-01-08 12:00:00",1991,1,8,2.5,10.2222222222222,7.61111111111111,0.508,NA,NA,FALSE,FALSE
"9",19910109,"1991-01-09 12:00:00",1991,1,9,6,12,9.11111111111111,1.016,NA,NA,FALSE,FALSE
"10",19910110,"1991-01-10 12:00:00",1991,1,10,7,16,10.8888888888889,0.762,NA,NA,FALSE,FALSE
"11",19910111,"1991-01-11 12:00:00",1991,1,11,5,8.77777777777778,7.11111111111111,10.414,NA,NA,FALSE,FALSE
"12",19910112,"1991-01-12 12:00:00",1991,1,12,2,6.38888888888889,4.27777777777778,1.778,NA,NA,FALSE,FALSE
"13",19910113,"1991-01-13 12:00:00",1991,1,13,-5,5.5,1.77777777777778,1.016,NA,NA,FALSE,FALSE
"14",19910114,"1991-01-14 12:00:00",1991,1,14,-5.22222222222222,5,0.555555555555556,0,NA,NA,FALSE,FALSE
"15",19910115,"1991-01-15 12:00:00",1991,1,15,-1,7,2.22222222222222,0,NA,NA,FALSE,FALSE
"16",19910116,"1991-01-16 12:00:00",1991,1,16,-4,3,-0.666666666666666,0,NA,NA,FALSE,FALSE
"17",19910117,"1991-01-17 12:00:00",1991,1,17,-2.11111111111111,4.5,0.0555555555555563,0,NA,NA,FALSE,FALSE
"18",19910118,"1991-01-18 12:00:00",1991,1,18,-3.27777777777778,5,-0.388888888888889,0,NA,NA,FALSE,FALSE
"19",19910119,"1991-01-19 12:00:00",1991,1,19,-2,1.11111111111111,-0.333333333333334,0,NA,NA,FALSE,FALSE
"20",19910120,"1991-01-20 12:00:00",1991,1,20,-0.277777777777778,3.11111111111111,0.999999999999998,5.842,NA,NA,FALSE,FALSE
"21",19910121,"1991-01-21 12:00:00",1991,1,21,-0.277777777777778,6.11111111111111,3.33333333333333,3.048,NA,NA,FALSE,FALSE
"22",19910122,"1991-01-22 12:00:00",1991,1,22,-2.22222222222222,6.38888888888889,2.27777777777778,1.524,NA,NA,FALSE,FALSE
"23",19910123,"1991-01-23 12:00:00",1991,1,23,-3.22222222222222,2,0.222222222222221,0,NA,NA,FALSE,FALSE
"24",19910124,"1991-01-24 12:00:00",1991,1,24,-4,2,0.277777777777778,0,NA,NA,FALSE,FALSE
"25",19910125,"1991-01-25 12:00:00",1991,1,25,-6,2.5,-1.55555555555556,0,NA,NA,FALSE,FALSE
"26",19910126,"1991-01-26 12:00:00",1991,1,26,-1.61111111111111,0.111111111111113,-0.611111111111112,0,NA,NA,FALSE,FALSE
"27",19910127,"1991-01-27 12:00:00",1991,1,27,-1,3.11111111111111,1.38888888888889,0,NA,NA,FALSE,FALSE
"28",19910128,"1991-01-28 12:00:00",1991,1,28,-2,4,0.999999999999998,0,NA,NA,FALSE,FALSE
"29",19910129,"1991-01-29 12:00:00",1991,1,29,-7.38888888888889,5,-1.5,0,NA,NA,FALSE,FALSE
"30",19910130,"1991-01-30 12:00:00",1991,1,30,-6.22222222222222,2.38888888888889,-0.833333333333333,0,NA,NA,FALSE,FALSE
"31",19910131,"1991-01-31 12:00:00",1991,1,31,-4,2.72222222222222,-1.55555555555556,0,NA,NA,FALSE,FALSE
"32",19910201,"1991-02-01 12:00:00",1991,2,1,-9,1.11111111111111,-4.66666666666667,0,NA,NA,FALSE,FALSE
"33",19910202,"1991-02-02 12:00:00",1991,2,2,-10.3888888888889,0.999999999999998,-4.88888888888889,0,NA,NA,FALSE,FALSE
"34",19910203,"1991-02-03 12:00:00",1991,2,3,-11,0.999999999999998,-5.16666666666667,0,NA,NA,FALSE,FALSE
"35",19910204,"1991-02-04 12:00:00",1991,2,4,-7.61111111111111,4,-2.33333333333333,0,NA,NA,FALSE,FALSE
"36",19910205,"1991-02-05 12:00:00",1991,2,5,-8.61111111111111,1.5,-3,0,NA,NA,FALSE,FALSE
"37",19910206,"1991-02-06 12:00:00",1991,2,6,-16.2777777777778,-4,-10.0555555555556,1.27,NA,NA,FALSE,FALSE
"38",19910207,"1991-02-07 12:00:00",1991,2,7,-17.1111111111111,-3.88888888888889,-9.33333333333333,0,NA,NA,FALSE,FALSE
"39",19910208,"1991-02-08 12:00:00",1991,2,8,-8,-2.77777777777778,-5.5,0,NA,NA,FALSE,FALSE
"40",19910209,"1991-02-09 12:00:00",1991,2,9,-8.38888888888889,-1.72222222222222,-5.27777777777778,0.508,NA,NA,FALSE,FALSE
"41",19910210,"1991-02-10 12:00:00",1991,2,10,-8.38888888888889,-0.777777777777777,-4.5,0.254,NA,NA,FALSE,FALSE
"42",19910211,"1991-02-11 12:00:00",1991,2,11,-5,-0.777777777777777,-3.33333333333333,1.27,NA,NA,FALSE,FALSE
"43",19910212,"1991-02-12 12:00:00",1991,2,12,-4.38888888888889,-2.88888888888889,-3.27777777777778,1.524,NA,NA,FALSE,FALSE
"44",19910213,"1991-02-13 12:00:00",1991,2,13,-6.27777777777778,0.222222222222221,-3.16666666666667,0.508,NA,NA,FALSE,FALSE
"45",19910214,"1991-02-14 12:00:00",1991,2,14,-8,0,-3.33333333333333,0.508,NA,NA,FALSE,FALSE
"46",19910215,"1991-02-15 12:00:00",1991,2,15,-2.38888888888889,1.5,-0.0555555555555563,0.508,NA,NA,FALSE,FALSE
"47",19910216,"1991-02-16 12:00:00",1991,2,16,-0.88888888888889,2.88888888888889,1.33333333333333,5.842,NA,NA,FALSE,FALSE
"48",19910217,"1991-02-17 12:00:00",1991,2,17,-7,3.61111111111111,-1.16666666666667,0.254,NA,NA,FALSE,FALSE
"49",19910218,"1991-02-18 12:00:00",1991,2,18,-9,5.22222222222222,-2.16666666666667,0,NA,NA,FALSE,FALSE
"50",19910219,"1991-02-19 12:00:00",1991,2,19,-3.88888888888889,7,1.38888888888889,0,NA,NA,FALSE,FALSE
"51",19910220,"1991-02-20 12:00:00",1991,2,20,-1,12,4.11111111111111,0,NA,NA,FALSE,FALSE
"52",19910221,"1991-02-21 12:00:00",1991,2,21,2.22222222222222,12.5,6.88888888888889,0,NA,NA,FALSE,FALSE
"53",19910222,"1991-02-22 12:00:00",1991,2,22,2.72222222222222,10,6.44444444444444,0.254,NA,NA,FALSE,FALSE
"54",19910223,"1991-02-23 12:00:00",1991,2,23,4,10,8.38888888888889,0,NA,NA,FALSE,FALSE
"55",19910224,"1991-02-24 12:00:00",1991,2,24,4.77777777777778,18,10.0555555555556,0.254,NA,NA,FALSE,FALSE
"56",19910225,"1991-02-25 12:00:00",1991,2,25,0.999999999999998,9.27777777777778,5.88888888888889,0,NA,NA,FALSE,FALSE
"57",19910226,"1991-02-26 12:00:00",1991,2,26,0,15,6.66666666666667,0,NA,NA,FALSE,FALSE
"58",19910227,"1991-02-27 12:00:00",1991,2,27,2,9.38888888888889,4.88888888888889,0,NA,NA,FALSE,FALSE
"59",19910228,"1991-02-28 12:00:00",1991,2,28,1.5,3.22222222222222,2.5,1.016,NA,NA,FALSE,FALSE
"60",19910301,"1991-03-01 12:00:00",1991,3,1,2,10.1111111111111,5.05555555555556,0,NA,NA,FALSE,FALSE
"61",19910302,"1991-03-02 12:00:00",1991,3,2,2,7,4.61111111111111,2.54,NA,NA,FALSE,FALSE
"62",19910303,"1991-03-03 12:00:00",1991,3,3,0,14,7.05555555555556,0.762,NA,NA,FALSE,FALSE
"63",19910304,"1991-03-04 12:00:00",1991,3,4,-1.27777777777778,9,4.72222222222222,0,NA,NA,FALSE,FALSE
"64",19910305,"1991-03-05 12:00:00",1991,3,5,5,10,7.38888888888889,0,NA,NA,FALSE,FALSE
"65",19910306,"1991-03-06 12:00:00",1991,3,6,7.77777777777778,15.5,10.6111111111111,3.302,NA,NA,FALSE,FALSE
"66",19910307,"1991-03-07 12:00:00",1991,3,7,10,14.2222222222222,11.3888888888889,3.048,NA,NA,FALSE,FALSE
"67",19910308,"1991-03-08 12:00:00",1991,3,8,8,16.5,11.7222222222222,0.762,NA,NA,FALSE,FALSE
"68",19910309,"1991-03-09 12:00:00",1991,3,9,6.77777777777778,13.1111111111111,10.3333333333333,0.762,NA,NA,FALSE,FALSE
"69",19910310,"1991-03-10 12:00:00",1991,3,10,7.88888888888889,17.2777777777778,11.5555555555556,0,NA,NA,FALSE,FALSE
"70",19910311,"1991-03-11 12:00:00",1991,3,11,5,13.2777777777778,10.3888888888889,0.508,NA,NA,FALSE,FALSE
"71",19910312,"1991-03-12 12:00:00",1991,3,12,2.5,17.2222222222222,9.5,0,NA,NA,FALSE,FALSE
"72",19910313,"1991-03-13 12:00:00",1991,3,13,0.999999999999998,18.6111111111111,10.7222222222222,0,NA,NA,FALSE,FALSE
"73",19910314,"1991-03-14 12:00:00",1991,3,14,5,20.2777777777778,12.3333333333333,0,NA,NA,FALSE,FALSE
"74",19910315,"1991-03-15 12:00:00",1991,3,15,10,16,12.1111111111111,0,NA,NA,FALSE,FALSE
"75",19910316,"1991-03-16 12:00:00",1991,3,16,9.61111111111111,19,12.9444444444444,0,NA,NA,FALSE,FALSE
"76",19910317,"1991-03-17 12:00:00",1991,3,17,5,14.2777777777778,10.9444444444444,0,NA,NA,FALSE,FALSE
