"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.65,1.5,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
2.05,1.98,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
1.65,1.44,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
1.66,1.84,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
2.22,2.26,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
3.02,3.44,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
3.52,4.16,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
3.95,5.35,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
3.31,4.07,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
2.69,2.99,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
2.28,2.2,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
2.26,2.29,"rcp85",2035,2065,2050,1990,"relative","CanESM2"
