"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.18,1.19,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
1.76,1.91,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
1.37,1.68,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
0.24,1.68,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
0.46,2.73,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
-0.01,2.89,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
0.25,2.88,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
0.46,2.65,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
0.95,2.92,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
0.69,1.79,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
0.97,1.43,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
0.9,1.16,"rcp85",2035,2065,2050,1990,"relative","CESM1-BGC"
