"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.21,1.95,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.34,2.03,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.58,1.43,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.49,1.13,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.64,1.33,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.62,1.25,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.77,1.92,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.97,1.81,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.71,1.71,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.06,1.9,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
2.48,2.43,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
1.8,1.89,"rcp85",2035,2065,2050,1990,"relative","CNRM-CM5"
