"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.16,1.18,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.91,0.71,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.89,0.86,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.47,0.27,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.23,0.33,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
-0.18,-0.3,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.46,0.38,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.03,0.04,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.21,0.59,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.73,0.84,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.58,0.66,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
0.85,0.78,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2G"
