"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.03,2.07,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.68,0.82,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.75,0.51,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.09,0.56,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.48,-0.08,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.08,-0.12,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.4,0.27,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.81,0.86,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
0.63,0.85,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.33,1.4,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.4,1.37,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.16,1.23,"rcp45",2070,2100,2085,1990,"relative","GFDL-ESM2M"
