"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.23,2.03,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.96,1.68,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.59,1.33,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.38,1.27,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.85,1.7,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.61,2.83,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.2,2.84,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.5,2.11,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.83,3.21,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.43,2.71,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.37,1.47,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.47,1.53,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
