"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.3,2.55,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
3.21,1.52,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
2.19,-0.16,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
1.97,-0.48,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
1.7,-0.52,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
2.63,0.41,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
3.78,1.95,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
3.28,1.82,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
2.91,1.53,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
2.81,1.02,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
2.76,1.39,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
2.8,1.48,"rcp45",2070,2100,2085,1990,"relative","MIROC-ESM"
