"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.46,1.83,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
0.6,0.99,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
1.32,0.93,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.11,2.09,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
1.83,1.76,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.28,2.51,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.34,3.49,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.11,3.33,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.27,3.49,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
1.54,2.05,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
1.93,2.16,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.32,2.46,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
