"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.3,1.96,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
2.56,2.37,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
1.21,1.29,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
0.98,0.38,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
0.6,0.91,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
0.65,1.05,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
1.87,3.24,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
2.28,4.31,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
2.11,3.99,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
1.61,2.51,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
2.67,2.93,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
1.78,1.92,"rcp45",2070,2100,2085,1990,"relative","CSIRO-Mk3-6-0"
