"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.52,2.03,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.92,1.15,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.61,0.92,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.56,0.56,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
0.44,-0.81,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
0.52,-0.6,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.5,1.53,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.44,1.82,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.86,3.6,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.3,2.37,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.9,2.35,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.32,2.79,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
