"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.86,2.46,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
3.51,2.8,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
1.8,1.11,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
1.15,1.32,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
0.83,1.46,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
0.38,2.08,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
2.39,3.33,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
4.05,3.78,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
1.51,1.58,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
0.87,0.67,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
1.5,1.22,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
1.68,1.24,"rcp85",2070,2100,2085,1990,"relative","inmcm4"
