"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.98,4.33,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.58,5.53,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
4.39,4.36,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
3.48,3.15,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
3.49,3.56,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
4.71,4.38,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.52,4.87,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.06,4.46,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.54,5.68,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
4.72,4.72,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
4.02,4.13,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
4.62,4.22,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
