"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.13,2.1,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.59,2.86,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.42,2.39,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
1.5,2.58,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
0.68,3.16,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
1.19,3.62,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
1.79,4.15,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.13,5.32,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
1.97,4.13,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.04,2.73,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.49,2.81,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.29,2.39,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
