"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.15,4.03,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
3.57,3.41,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
2.56,2.24,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
2.9,2.7,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
3.12,3.06,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.05,4.45,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
5.28,5.96,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
5.92,6.21,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
5,5.8,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.45,4.31,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.44,4.1,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
3.35,3.2,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
