Year,Leaf date
1953,16-03-53
1954,02-04-54
1955,18-03-55
1956,20-03-56
1957,19-03-57
1958,24-03-58
1959,23-03-59
1960,18-03-60
1961,14-03-61
1962,19-03-62
1963,13-03-63
1964,13-03-64
1965,20-03-65
1966,21-03-66
1967,21-03-67
1968,15-03-68
1969,21-03-69
1970,17-03-70
1971,21-03-71
1972,07-03-72
1973,08-03-73
1974,18-03-74
1975,21-03-75
1976,16-03-76
1977,20-03-77
1978,20-03-78
1979,15-03-79
1980,19-03-80
1981,15-03-81
1982,24-03-82
1983,15-03-83
1984,13-03-84
1985,20-03-85
1986,04-03-86
1987,19-03-87
1988,07-03-88
1989,18-03-89
1990,17-03-90
1991,10-03-91
1992,17-03-92
1993,13-03-93
1994,14-03-94
1995,09-03-95
1997,16-03-97
1998,16-03-98
1999,24-03-99
2000,19-03-00
2001,17-03-01
2002,27-03-02
2003,18-03-03
2004,13-03-04
2005,12-03-05
2006,04-04-06
2007,15-03-07
