"Year","pheno","Predicted"
1959,104,105
1960,110,104.916666666667
1962,129,126.25
1964,120,124.291666666667
1966,110,113.583333333333
1970,130,130.958333333333
1971,120,125.541666666667
1972,119,120
1973,126,130.375
1974,101,101.041666666667
1976,117,117.375
1977,115,112.416666666667
1978,119,122.083333333333
1980,122,130.166666666667
1982,126,128.125
1983,118,119.208333333333
1984,130,126.791666666667
1985,132,126.25
1988,115,119.541666666667
1989,105,109.166666666667
1990,90,91.375
1991,105,103.291666666667
1992,114,117.25
1993,112,110.333333333333
1994,113,114.125
1999,109,107.208333333333
2002,93,93.4583333333333
2005,107,96.75
2006,123,115.416666666667
2007,105,104.916666666667
2009,105,106.125
2010,114,114.958333333333
2011,96,100.041666666667
2012,107,113.333333333333
2014,93,92.3333333333333
2015,111,115.333333333333
2016,111,110.25
2017,95,98.2916666666667
2023,106,91.125
2024,85,72.2083333333333
2026,57,57.5
2029,46,49
2032,85,74.0833333333333
2033,43,46
2038,43,44.2916666666667
2039,98,98.1666666666667
2040,80,79.2083333333333
2042,98,87.125
2046,60,56.9166666666667
2053,77,70.9166666666667
