"Year","pheno","Predicted"
2020,115,129.083333333333
2024,49,47.375
2025,64,65.1666666666667
2026,50,44.7916666666667
2030,53,55.0833333333333
2031,113,123
2032,53,59
2035,53,53.875
2038,112,100.166666666667
2039,89,80.2916666666667
2040,65,60.625
2041,53,53.5833333333333
2044,93,80.375
2045,67,60.7916666666667
2047,70,67.2083333333333
2048,115,112.916666666667
2050,71,68.0416666666667
2051,99,96.0833333333333
2052,116,113.916666666667
2053,112,130.375
2056,108,113.458333333333
2058,101,87.0833333333333
2059,105,103.375
2060,66,64.875
2061,119,91.0833333333333
2062,133,141.25
2065,140,151
2066,97,81.125
2069,112,118.083333333333
2070,119,121.166666666667
2071,126,112.25
2072,108,114.041666666667
2073,112,130.208333333333
2074,73,79.2916666666667
2075,48,43.25
2077,108,110.416666666667
2079,112,112
2081,129,131.458333333333
2083,98,102.416666666667
2084,112,117.041666666667
