"Year","pheno","Predicted"
2020,115,119.583333333333
2024,49,49.625
2025,64,63.9166666666667
2026,50,51.9166666666667
2028,119,121.25
2030,53,55.0416666666667
2031,113,118.083333333333
2035,53,52.3333333333333
2038,112,106.291666666667
2039,89,86.0416666666667
2040,65,63.3333333333333
2041,53,54.1666666666667
2044,93,87
2045,67,63.7916666666667
2047,70,72.5833333333333
2048,115,119.333333333333
2050,71,72.9166666666667
2051,99,102
2052,116,121.166666666667
2053,112,122.375
2054,94,84.0416666666667
2056,108,110.333333333333
2058,101,84.0833333333333
2059,105,99.5
2060,66,62.1666666666667
2062,133,140.916666666667
2064,94,97.7916666666667
2066,97,93.0833333333333
2069,112,114.291666666667
2070,119,121.291666666667
2071,126,111.958333333333
2072,108,110.416666666667
2073,112,122.208333333333
2074,73,74.9583333333333
2075,48,41.1666666666667
2076,133,143.458333333333
2079,112,109.416666666667
2082,91,88
2083,98,98.1666666666667
2084,112,113.583333333333
