Pheno_year,First_bloom,Full_bloom,Last_bloom
1958,19580509,19580511,19580514
1959,19590414,19590421,19590504
1960,19600424,19600505,19600510
1961,19610409,19610419,19610501
1962,19620514,19620522,19620530
1963,19630507,19630515,19630524
1964,19640505,19640511,19640518
1965,19650511,19650516,19650524
1966,19660426,19660430,19660507
1967,19670430,19670509,19670515
1968,19680501,19680504,19680511
1969,19690505,19690510,19690518
1970,19700514,19700520,19700526
1971,19710503,19710510,19710514
1972,19720430,19720505,19720519
1973,19730513,19730516,19730520
1974,19740412,19740416,19740424
1975,19750429,19750506,19750518
1976,19760505,19760508,19760514
1977,19770504,19770515,19770525
1978,19780504,19780507,19780528
1979,19790514,19790516,19790527
1980,19800506,19800513,19800519
1981,19810415,19810430,19810514
1982,19820510,19820513,19820523
1983,19830503,19830508,19830514
1984,19840508,19840518,19840528
1985,19850513,19850518,19850521
1986,19860511,19860515,19860521
1987,19870501,19870505,19870516
1988,19880430,19880503,19880515
1989,19890420,19890429,19890511
1990,19900405,19900412,19900428
1991,19910416,19910430,19910520
1992,19920426,19920502,19920512
1993,19930426,19930429,19930504
1994,19940426,19940430,19940513
1995,19950427,19950502,19950513
1996,19960430,19960504,19960521
1997,19970417,19970422,19970503
1998,19980419,19980422,19980429
1999,19990423,19990426,19990501
2000,20000422,20000424,20000430
2001,20010502,20010503,20010510
2002,20020410,20020413,20020503
2003,20030423,20030425,20030501
2004,20040422,20040425,20040504
2005,20050423,20050425,20050501
2006,20060504,20060506,20060512
2007,20070414,20070415,20070420
2008,20080424,20080427,20080508
2009,20090419,20090421,20090429
2010,20100425,20100427,20100508
2011,20110411,20110412,20110422
2012,20120420,20120423,20120501
2013,20130503,20130505,20130514
2014,20140404,20140406,20140416
2015,20150421,20150424,20150502
2016,20160423,20160430,20160509
2017,20170410,20170412,20170501
2018,20180419,20180420,20180505
