"DATE","Year","Month","Day","nodata","Tmin","Tmax"
2001-01-01 12:00:00,2001,1,1,1,0.270059047358921,7.37281008943288
2001-01-02 12:00:00,2001,1,2,NA,0.587637057441788,8.14422577352025
2001-01-03 12:00:00,2001,1,3,NA,-0.994791355901668,5.67141125693165
2001-01-04 12:00:00,2001,1,4,NA,1.98670765172997,9.05009485952516
2001-01-05 12:00:00,2001,1,5,NA,5.33111130494849,10.7687382406504
2001-01-06 12:00:00,2001,1,6,NA,3.92054357412051,9.77752005878084
2001-01-07 12:00:00,2001,1,7,NA,6.49760186739445,10.3687148049541
2001-01-08 12:00:00,2001,1,8,NA,4.77194781310041,10.7162375323691
2001-01-09 12:00:00,2001,1,9,NA,3.24280115309332,8.01302288479888
2001-01-10 12:00:00,2001,1,10,NA,6.48598697361503,9.25927141265017
2001-01-11 12:00:00,2001,1,11,NA,5.87711076379796,8.67118980662619
2001-01-12 12:00:00,2001,1,12,NA,6.79986563133301,13.2863054040752
2001-01-13 12:00:00,2001,1,13,NA,7.99216648913961,16.0386461689027
2001-01-14 12:00:00,2001,1,14,NA,5.23297264536498,7.01427126014817
2001-01-15 12:00:00,2001,1,15,NA,6.11329439005839,7.07662818303452
2001-01-16 12:00:00,2001,1,16,NA,3.98486352810337,6.25953455135691
2001-01-17 12:00:00,2001,1,17,NA,3.25187920488661,6.33035369090958
2001-01-18 12:00:00,2001,1,18,NA,-1.92308541843379,-0.25562169126313
2001-01-19 12:00:00,2001,1,19,NA,-1.8872360465598,2.33776731297402
2001-01-20 12:00:00,2001,1,20,NA,-8.38839682275581,-2.53142033809548
2001-01-21 12:00:00,2001,1,21,NA,-13.1698417656529,-4.26367114937388
2001-01-22 12:00:00,2001,1,22,NA,-10.9854780920035,-1.61018256227721
2001-01-23 12:00:00,2001,1,23,NA,-5.87953180378126,1.14436550354436
2001-01-24 12:00:00,2001,1,24,NA,-3.66853419588205,1.6809578203888
2001-01-25 12:00:00,2001,1,25,NA,-6.0348336374312,0.282596965803873
2001-01-26 12:00:00,2001,1,26,NA,-2.28816516624999,4.93564599322003
2001-01-27 12:00:00,2001,1,27,NA,-3.00966361912546,5.12572438334081
2001-01-28 12:00:00,2001,1,28,NA,1.22336628174666,6.36689054123852
2001-01-29 12:00:00,2001,1,29,NA,4.41329801607494,7.16717206328263
2001-01-30 12:00:00,2001,1,30,NA,3.04902874948573,10.2522502560016
2001-01-31 12:00:00,2001,1,31,NA,2.58071249037886,12.627394043074
2001-02-01 12:00:00,2001,2,1,NA,6.5488462052869,15.3271450580421
2001-02-02 12:00:00,2001,2,2,NA,10.6090267519286,19.1245497944871
2001-02-03 12:00:00,2001,2,3,NA,8.82691209484262,16.9274385746217
2001-02-04 12:00:00,2001,2,4,NA,10.6970092616038,12.5774847747162
2001-02-05 12:00:00,2001,2,5,NA,7.54031627689403,9.38949271060065
2001-02-06 12:00:00,2001,2,6,NA,6.70352190966753,10.2729788538988
2001-02-07 12:00:00,2001,2,7,NA,2.49444341168702,7.57542823792159
2001-02-08 12:00:00,2001,2,8,NA,2.04072504881194,8.05530259681358
2001-02-09 12:00:00,2001,2,9,NA,6.84109488554872,14.5434277986348
2001-02-10 12:00:00,2001,2,10,NA,6.05439183680036,13.6464141828199
2001-02-11 12:00:00,2001,2,11,NA,3.02231525593953,5.79006328756456
2001-02-12 12:00:00,2001,2,12,NA,-1.48725456531892,2.31128558072717
2001-02-13 12:00:00,2001,2,13,NA,-0.509462649319667,1.77922845669835
2001-02-14 12:00:00,2001,2,14,NA,0.88842506659564,2.76890057970804
2001-02-15 12:00:00,2001,2,15,NA,-0.916811019890665,0.927797428338461
2001-02-16 12:00:00,2001,2,16,NA,1.81040807630426,4.23750738615185
