"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.5555410025127,4106.25138297479,665
"2002/2003",2003,120,120,100,78.2313316710171,1483.21006333272,951
"2003/2004",2004,120,120,100,86.4251311862718,2381.85320804414,567
"2004/2005",2005,121,121,100,87.481242589818,4616.91145526446,458
"2005/2006",2006,120,120,100,83.9497244506267,2898.8453838136,606
"2006/2007",2007,120,120,100,80.7741410624226,2960.09533803049,667
"2007/2008",2008,120,120,100,76.3623130104514,1245.55282604403,809
"2008/2009",2009,121,121,100,84.2415596375815,4249.33384035371,526
"2009/2010",2010,120,120,100,86.5256337169421,2447.37791907066,381
"2010/2011",2011,120,120,100,82.3784779120454,2388.24898829055,502
"2011/2012",2012,120,120,100,74.3669753497477,2828.1545570275,965
"2012/2013",2013,121,121,100,83.7512266079798,2214.13481179625,592
"2013/2014",2014,120,120,100,71.7325018980948,2602.22101263504,1194
"2014/2015",2015,120,120,100,82.0532250605527,3433.47624029021,552
"2015/2016",2016,120,120,100,81.2355430170182,3216.07598669897,726
"2016/2017",2017,121,121,100,82.9265140955472,4183.14562353143,702
"2017/2018",2018,120,120,100,76.5688137257703,2614.99181446782,861
"2018/2019",2019,120,120,100,82.3080639547939,2593.51511914073,742
"2019/2020",2020,120,120,100,84.7967755957065,4434.29631142947,465
"2020/2021",2021,121,121,100,80.0140963592685,1844.10874296771,966
"2021/2022",2022,120,120,100,76.3815218049758,4330.72591825482,788
"2022/2023",2023,120,120,100,85.3816543321363,2533.88690392417,456
"2023/2024",2024,120,120,100,86.458331570122,4465.78849316202,321
"2024/2025",2025,121,121,100,84.807416992945,2361.85081854416,559
"2025/2026",2026,120,120,100,70.1834655268749,1639.24087945768,1342
"2026/2027",2027,120,120,100,86.5573276528853,3570.95357316453,489
"2027/2028",2028,120,120,100,77.1158680295275,1158.40198602807,956
"2028/2029",2029,121,121,100,82.6767474180583,3625.03662366117,691
"2029/2030",2030,120,120,100,80.6698294149905,2875.99619619804,794
"2030/2031",2031,120,120,100,83.353418968909,2503.0868636074,680
"2031/2032",2032,120,120,100,85.4865203747122,3493.24900132511,517
"2032/2033",2033,121,121,100,78.4050299817409,1510.30480038282,998
"2033/2034",2034,120,120,100,75.7611832744478,3052.80800895533,887
"2034/2035",2035,120,120,100,76.8785175706507,3337.72523857886,845
"2035/2036",2036,120,120,100,82.1995674338787,2921.17457551369,697
"2036/2037",2037,121,121,100,78.8675990273641,1901.98216008162,979
"2037/2038",2038,120,120,100,82.6659545455796,3393.68627854856,596
"2038/2039",2039,120,120,100,88.3271378835561,4186.70848514233,301
"2039/2040",2040,120,120,100,85.8643429523127,3265.5798620889,475
"2040/2041",2041,121,121,100,84.8107543558626,2935.15220915247,459
