"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.8861720697428,6872.9185202561,372
"2002/2003",2003,120,120,100,84.4758348724114,2938.87319540886,629
"2003/2004",2004,120,120,100,88.8125598381814,4576.16775293188,250
"2004/2005",2005,121,121,100,86.6208873730883,7472.63416247373,207
"2005/2006",2006,120,120,100,84.4049307540355,5048.09821457881,414
"2006/2007",2007,120,120,100,84.1455585548889,5178.54311471712,363
"2007/2008",2008,120,120,100,84.942326784198,2583.80832114135,516
"2008/2009",2009,121,121,100,84.3029457787122,6810.41981916269,273
"2009/2010",2010,120,120,100,91.1320659667163,4476.37768340693,165
"2010/2011",2011,120,120,100,87.9367825490331,4499.1531131689,258
"2011/2012",2012,120,120,100,78.2645668256737,4640.09904320445,633
"2012/2013",2013,121,121,100,89.3574812394695,4141.42585615744,347
"2013/2014",2014,120,120,100,73.4156528058663,4400.43058231496,904
"2014/2015",2015,120,120,100,84.0231186163037,5821.1707894475,333
"2015/2016",2016,120,120,100,80.7608166649297,5306.35809227603,459
"2016/2017",2017,121,121,100,78.444674515631,6783.64731963887,396
"2017/2018",2018,120,120,100,79.757462652959,4436.92334369011,557
"2018/2019",2019,120,120,100,85.0585528056231,4692.79145478853,413
"2019/2020",2020,120,120,100,83.6098526124574,7287.84199722041,251
"2020/2021",2021,121,121,100,84.4965084905898,3295.06050070375,556
"2021/2022",2022,120,120,100,74.7950460344887,6474.13311199774,496
"2022/2023",2023,120,120,100,88.2840433741039,4571.05977385538,215
"2023/2024",2024,120,120,100,87.6047267656782,7443.44846054097,127
"2024/2025",2025,121,121,100,87.6370152259028,4492.20690454612,260
"2025/2026",2026,120,120,100,73.9574404081668,2981.44656132674,992
"2026/2027",2027,120,120,100,86.3393804736438,6173.75011832756,236
"2027/2028",2028,120,120,100,83.6717753101457,2214.40651106974,537
"2028/2029",2029,121,121,100,82.3264920862139,5770.75448931032,371
"2029/2030",2030,120,120,100,83.7497411840181,5033.48250247235,446
"2030/2031",2031,120,120,100,85.8165499545848,4498.1343354166,410
"2031/2032",2032,120,120,100,87.8120012806048,6004.99328192603,266
"2032/2033",2033,121,121,100,83.9613167058196,2947.70590546401,640
"2033/2034",2034,120,120,100,80.5191913452763,4869.76200602949,539
