"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.2251537038768,5623.28020601089,480
"2002/2003",2003,120,120,100,80.7715978575296,2130.26552187084,773
"2003/2004",2004,120,120,100,87.908075643639,3624.22146624373,420
"2004/2005",2005,121,121,100,85.0171283272622,6384.38825692929,382
"2005/2006",2006,120,120,100,83.7421679104513,4172.7820709456,493
"2006/2007",2007,120,120,100,83.7587861077812,4272.08109271695,528
"2007/2008",2008,120,120,100,81.6021921771423,1949.78790678788,636
"2008/2009",2009,121,121,100,83.8983956821764,5766.0621789908,431
"2009/2010",2010,120,120,100,87.7966135477027,3675.98229482339,287
"2010/2011",2011,120,120,100,83.2133474124621,3650.26857597334,410
"2011/2012",2012,120,120,100,76.5537687532094,3875.47949172137,795
"2012/2013",2013,121,121,100,86.3177435982432,3383.72444253031,490
"2013/2014",2014,120,120,100,72.1553960756137,3750.55125035311,1057
"2014/2015",2015,120,120,100,82.9451255718275,4825.05712779611,443
"2015/2016",2016,120,120,100,79.8099760813752,4527.72432073287,572
"2016/2017",2017,121,121,100,81.3370220621205,5546.64096946211,520
"2017/2018",2018,120,120,100,77.7625972176534,3757.5401476617,723
"2018/2019",2019,120,120,100,82.7786325928541,3798.10130744986,594
"2019/2020",2020,120,120,100,83.5061963380908,6046.21905791084,356
"2020/2021",2021,121,121,100,82.0374180876056,2723.76371452888,784
"2021/2022",2022,120,120,100,74.5588752308422,5768.16024230677,681
"2022/2023",2023,120,120,100,87.065320942655,3758.32260945649,347
"2023/2024",2024,120,120,100,87.59007052372,6099.33030142938,239
"2024/2025",2025,121,121,100,86.9642045722985,3416.76167857368,380
"2025/2026",2026,120,120,100,72.401587839167,2332.98110929783,1133
"2026/2027",2027,120,120,100,87.6419158180911,4990.60204061307,359
"2027/2028",2028,120,120,100,80.8144811275506,1904.55665800767,806
"2028/2029",2029,121,121,100,81.2740120936,5051.77139328164,556
"2029/2030",2030,120,120,100,82.7407099060256,3907.94767744024,618
"2030/2031",2031,120,120,100,85.2469614633574,3490.31351817609,522
"2031/2032",2032,120,120,100,86.7894107099974,5035.34626121796,413
"2032/2033",2033,121,121,100,80.2730136019291,2306.55227448628,810
"2033/2034",2034,120,120,100,76.286666218547,4260.38510660804,741
"2034/2035",2035,120,120,100,76.4412882324368,4561.87133418862,694
"2035/2036",2036,120,120,100,84.5672368648475,4263.11687748227,553
"2036/2037",2037,121,121,100,81.3187732215583,2879.0318303355,783
"2037/2038",2038,120,120,100,82.2379624801761,4865.02016610606,510
"2038/2039",2039,120,120,100,88.6287895154437,5827.12922388455,236
"2039/2040",2040,120,120,100,85.3924644253957,4582.58029466867,318
