"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.4551114542594,6397.62446868044,387
"2002/2003",2003,120,120,100,84.0966221531919,2717.97252784879,676
"2003/2004",2004,120,120,100,88.5631752414786,4432.11712861684,328
"2004/2005",2005,121,121,100,83.6930653553276,7480.24381844187,307
"2005/2006",2006,120,120,100,84.010843131357,4917.34616327268,446
"2006/2007",2007,120,120,100,84.923486068841,4987.25919910643,407
"2007/2008",2008,120,120,100,82.9541286351373,2448.66706532642,555
"2008/2009",2009,121,121,100,83.559362756255,6758.04986758693,361
"2009/2010",2010,120,120,100,88.9919090921628,4502.94199046469,217
"2010/2011",2011,120,120,100,86.0201852893349,4433.45761955017,348
"2011/2012",2012,120,120,100,77.5613797469823,4444.39901012334,659
"2012/2013",2013,121,121,100,87.5232751079247,4078.50707561686,404
"2013/2014",2014,120,120,100,74.8546754716656,4146.37411376752,927
"2014/2015",2015,120,120,100,82.7582509302185,5513.17323333409,365
"2015/2016",2016,120,120,100,80.0334614384801,5199.6736994664,487
"2016/2017",2017,121,121,100,78.7825457595241,6351.25134280522,421
"2017/2018",2018,120,120,100,79.4416366269493,4250.81921860646,596
"2018/2019",2019,120,120,100,84.4721059371986,4473.89396213577,476
"2019/2020",2020,120,120,100,81.4718515202121,7092.69642211357,299
"2020/2021",2021,121,121,100,83.021050063312,3230.72569560749,666
"2021/2022",2022,120,120,100,76.6763722933702,6277.69753021747,567
"2022/2023",2023,120,120,100,86.6851910367759,4374.08923164406,280
"2023/2024",2024,120,120,100,85.2214849799484,7099.49275952717,167
"2024/2025",2025,121,121,100,87.7087648135494,4287.48266236624,313
"2025/2026",2026,120,120,100,75.1295575940972,2838.91245340882,1022
"2026/2027",2027,120,120,100,86.699305411144,5921.8082437308,301
"2027/2028",2028,120,120,100,82.691605913622,2328.93118391256,639
"2028/2029",2029,121,121,100,82.6399724922226,5674.68482277892,427
"2029/2030",2030,120,120,100,82.6744260092269,4645.63160060183,506
"2030/2031",2031,120,120,100,85.6582376682591,4228.86409505201,454
"2031/2032",2032,120,120,100,86.7596562133785,5922.22171306377,332
"2032/2033",2033,121,121,100,83.1973376415699,2865.54396675318,706
"2033/2034",2034,120,120,100,77.8235240427366,4743.36607073992,626
"2034/2035",2035,120,120,100,78.3770353158197,5155.87635660311,576
"2035/2036",2036,120,120,100,84.3029979543262,5013.70078240847,473
"2036/2037",2037,121,121,100,82.3021041523107,3383.48106566491,658
"2037/2038",2038,120,120,100,81.6001269891576,5571.17820051312,438
"2038/2039",2039,120,120,100,89.213855390758,6918.14944256563,185
"2039/2040",2040,120,120,100,85.6685875831545,5248.07120384835,227
"2040/2041",2041,121,121,100,88.4980463676084,4904.92706401972,240
"2041/2042",2042,120,120,100,83.1635716109822,7423.98075270373,271
"2042/2043",2043,120,120,100,84.8025308976621,2627.89599416871,561
"2043/2044",2044,120,120,100,87.1775941600317,5007.65785490908,241
"2044/2045",2045,121,121,100,80.5099560541166,2750.41607767297,709
"2045/2046",2046,120,120,100,80.0622483002753,5216.80225029169,534
"2046/2047",2047,120,120,100,81.2192933217584,4260.59222887736,610
"2047/2048",2048,120,120,100,87.6428149167104,3370.34992005071,391
"2048/2049",2049,121,121,100,85.6438924628173,3054.32380146487,567
