"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.778242517162,6528.76088295787,445
"2002/2003",2003,120,120,100,82.1018019355195,2567.45926852598,731
"2003/2004",2004,120,120,100,88.7822944473246,3983.23743977721,316
"2004/2005",2005,121,121,100,86.261414000517,6898.35792962287,312
"2005/2006",2006,120,120,100,82.9340342086138,4962.24349341798,466
"2006/2007",2007,120,120,100,83.8479888167932,4739.67618600442,443
"2007/2008",2008,120,120,100,83.2616822078452,2256.4296556359,541
"2008/2009",2009,121,121,100,82.0699421757859,6501.55596327467,396
"2009/2010",2010,120,120,100,87.1549355696629,4255.35391779419,236
"2010/2011",2011,120,120,100,84.9732701875291,4133.80729136628,381
"2011/2012",2012,120,120,100,75.2181656490843,4621.52307175694,719
"2012/2013",2013,121,121,100,86.7400790936874,3846.5684888222,426
"2013/2014",2014,120,120,100,72.7583206565123,4306.27594480629,1025
"2014/2015",2015,120,120,100,80.8929848323394,5409.50258369453,426
"2015/2016",2016,120,120,100,80.1295062968975,5269.35836418928,558
"2016/2017",2017,121,121,100,78.5187801831544,6107.75892564212,476
"2017/2018",2018,120,120,100,78.3601905304386,4326.5309571072,658
"2018/2019",2019,120,120,100,83.4303701835993,4293.10723411292,515
"2019/2020",2020,120,120,100,83.2825712258305,6651.30484334123,332
"2020/2021",2021,121,121,100,82.1881955008912,3246.88603832014,740
"2021/2022",2022,120,120,100,74.407284231655,6405.67852039635,646
"2022/2023",2023,120,120,100,86.8333702259238,4576.58806062816,330
"2023/2024",2024,120,120,100,85.32863585204,6679.77297539287,155
"2024/2025",2025,121,121,100,87.4078404986199,3747.98053869139,327
"2025/2026",2026,120,120,100,73.701947777347,2339.85162194958,1003
"2026/2027",2027,120,120,100,84.7806882582872,5606.83525105426,306
"2027/2028",2028,120,120,100,81.917992838964,2335.47678486933,785
"2028/2029",2029,121,121,100,81.4519770452525,5770.08593207551,498
"2029/2030",2030,120,120,100,82.487760792184,4439.72364445915,548
"2030/2031",2031,120,120,100,86.073638171164,4080.41236909712,488
"2031/2032",2032,120,120,100,85.2640165663597,5670.1019198643,378
"2032/2033",2033,121,121,100,82.5473983381808,2694.46982154716,745
"2033/2034",2034,120,120,100,76.3975790446502,4789.11502618156,655
"2034/2035",2035,120,120,100,77.9479405918792,5185.56644371012,636
"2035/2036",2036,120,120,100,83.8045125079725,4732.47353618452,485
"2036/2037",2037,121,121,100,82.9519644455322,3263.17569645727,718
"2037/2038",2038,120,120,100,78.1984855193678,5666.35541741876,453
"2038/2039",2039,120,120,100,89.6245320797334,6555.79987314763,210
