"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.7887973094635,6611.62023389895,443
"2002/2003",2003,120,120,100,82.0478613939479,2698.35608598325,723
"2003/2004",2004,120,120,100,88.7973793273388,4045.30881585457,295
"2004/2005",2005,121,121,100,86.3167721751853,6803.50402425806,287
"2005/2006",2006,120,120,100,83.6671008243475,4899.79065953067,443
"2006/2007",2007,120,120,100,83.3694324854317,4799.41296353884,429
"2007/2008",2008,120,120,100,83.0131963331197,2345.61566587532,541
"2008/2009",2009,121,121,100,84.243240428189,6449.85921480635,366
"2009/2010",2010,120,120,100,88.3134653014122,4193.48089906981,215
"2010/2011",2011,120,120,100,85.3574438735434,4117.57047285174,353
"2011/2012",2012,120,120,100,76.7919109271022,4614.19272270426,701
"2012/2013",2013,121,121,100,87.0559223816206,3830.8519331069,408
"2013/2014",2014,120,120,100,73.1450611358355,4269.52696035791,1014
"2014/2015",2015,120,120,100,80.7996056373247,5449.98751952115,416
"2015/2016",2016,120,120,100,79.8600557230732,5164.2195828089,534
"2016/2017",2017,121,121,100,77.7986402588608,6241.31593315862,472
"2017/2018",2018,120,120,100,79.4338360977004,4284.01411689632,629
"2018/2019",2019,120,120,100,84.7281883591208,4304.04590391158,480
"2019/2020",2020,120,120,100,85.1006212407569,6674.72955465782,308
"2020/2021",2021,121,121,100,83.2435577910805,3229.10610686312,693
"2021/2022",2022,120,120,100,76.106426090103,6294.18580591213,605
"2022/2023",2023,120,120,100,85.8483425786881,4532.87541424111,296
"2023/2024",2024,120,120,100,84.9886197862343,6809.77541788528,161
"2024/2025",2025,121,121,100,87.2526724494928,3878.90459811455,326
"2025/2026",2026,120,120,100,74.6840736135487,2441.74862905475,1008
"2026/2027",2027,120,120,100,85.6597497068692,5662.2094275048,285
"2027/2028",2028,120,120,100,82.3242227682194,2193.49201440951,704
"2028/2029",2029,121,121,100,81.8460681525935,5665.0715190256,466
"2029/2030",2030,120,120,100,81.8620947601212,4608.62253395026,533
"2030/2031",2031,120,120,100,85.0926848135164,4222.91126434621,496
"2031/2032",2032,120,120,100,86.7716258450728,5627.3808466224,346
"2032/2033",2033,121,121,100,82.7066486273325,2699.59211253515,735
"2033/2034",2034,120,120,100,76.6007893706619,4714.96056569554,630
"2034/2035",2035,120,120,100,76.5766891613503,5187.4204437281,566
"2035/2036",2036,120,120,100,83.9734354473103,4789.18299067253,462
"2036/2037",2037,121,121,100,82.9382290979347,3178.41300727567,681
"2037/2038",2038,120,120,100,80.8704632434001,5558.26151583344,423
"2038/2039",2039,120,120,100,89.8104430705398,6718.27221583948,199
"2039/2040",2040,120,120,100,83.7117635307541,5255.28300139168,277
"2040/2041",2041,121,121,100,87.7235661048544,4987.34630334983,279
"2041/2042",2042,120,120,100,83.7397027482375,7307.43293303251,323
"2042/2043",2043,120,120,100,81.9408251136838,2785.67604850279,660
"2043/2044",2044,120,120,100,86.5557626410828,4871.46240763506,275
"2044/2045",2045,121,121,100,80.689607446825,2847.89690831862,739
"2045/2046",2046,120,120,100,78.4852189674239,5196.87796172919,604
"2046/2047",2047,120,120,100,80.2651949646897,4374.10733393067,637
"2047/2048",2048,120,120,100,86.7029059463739,3382.3198230071,420
"2048/2049",2049,121,121,100,83.6326467171348,3127.52665716549,646
"2049/2050",2050,120,120,100,82.6943786761731,1667.49957995163,612
"2050/2051",2051,120,120,100,79.9171921864627,5284.18356673699,420
"2051/2052",2052,120,120,100,81.5526568550858,6584.87431236124,315
"2052/2053",2053,121,121,100,83.214415026664,5828.99707634188,313
"2053/2054",2054,120,120,100,84.1887956294468,6226.30424839724,272
"2054/2055",2055,120,120,100,84.4759314829862,4225.5921503189,456
"2055/2056",2056,120,120,100,77.0177056962266,6432.87762390496,340
"2056/2057",2057,121,121,100,81.7921219184118,3819.62009548908,644
"2057/2058",2058,120,120,100,85.0226982919612,4961.43178695859,249
"2058/2059",2059,120,120,100,79.5331556985966,3056.22291889088,670
"2059/2060",2060,120,120,100,77.7569672076124,6521.5540230074,507
"2060/2061",2061,121,121,100,79.0253026267055,7661.49375048373,385
"2061/2062",2062,120,120,100,80.7164407195496,2366.87866694573,682
"2062/2063",2063,120,120,100,83.0937972763422,3067.90749374125,527
"2063/2064",2064,120,120,100,81.3626740241307,4628.92343813647,600
"2064/2065",2065,121,121,100,88.9549330201826,4183.3444714006,289
"2065/2066",2066,120,120,100,90.7086953608159,4256.94740816485,229
"2066/2067",2067,120,120,100,78.7479158323767,2781.63279290218,785
"2067/2068",2068,120,120,100,84.5673526610426,7299.79125488456,394
"2068/2069",2069,121,121,100,83.7884549640075,4462.59856726043,538
"2069/2070",2070,120,120,100,83.4509056305469,4794.49838485196,499
"2070/2071",2071,120,120,100,84.4890302059503,4916.05000809021,325
"2071/2072",2072,120,120,100,78.2597753068912,4512.53802281711,659
"2072/2073",2073,121,121,100,85.5260602385824,7712.99821584206,293
"2073/2074",2074,120,120,100,74.0809715924788,6406.88616169523,686
"2074/2075",2075,120,120,100,81.9692388095573,6399.72722978983,428
"2075/2076",2076,120,120,100,85.8661218925645,6646.66272295825,184
"2076/2077",2077,121,121,100,84.0721364716628,2566.00313278381,595
"2077/2078",2078,120,120,100,84.3803871822274,2761.03880135901,549
"2078/2079",2079,120,120,100,84.0127023133573,4166.97499795165,413
"2079/2080",2080,120,120,100,87.7450354630273,5498.52744090464,222
"2080/2081",2081,121,121,100,79.1608973215734,5853.48946740758,635
"2081/2082",2082,120,120,100,80.5074795800792,5846.93257126026,371
"2082/2083",2083,120,120,100,83.9896198941042,5925.61366079003,425
"2083/2084",2084,120,120,100,86.0295751271806,3123.24634323828,462
"2084/2085",2085,121,121,100,80.9974476653824,3978.5602955604,559
"2085/2086",2086,120,120,100,81.8558657529138,4864.58958659507,590
"2086/2087",2087,120,120,100,83.7007904320853,3890.93933664169,552
"2087/2088",2088,120,120,100,81.3176309454648,4678.59712210856,625
"2088/2089",2089,121,121,100,84.0344023901507,4463.69556937739,533
"2089/2090",2090,120,120,100,83.3687526902595,2795.33312957361,550
"2090/2091",2091,120,120,100,80.5686194358332,4409.37221655995,696
"2091/2092",2092,120,120,100,84.2757918707321,2845.46846464463,539
"2092/2093",2093,121,121,100,83.7335254227964,5843.46398803033,438
"2093/2094",2094,120,120,100,76.2248764103533,5937.36965116579,776
"2094/2095",2095,120,120,100,87.0893671753329,3863.05995255522,413
"2095/2096",2096,120,120,100,81.3392651709582,6777.02525812108,254
"2096/2097",2097,121,121,100,72.629154053142,7910.0217979392,481
"2097/2098",2098,120,120,100,78.3547840497667,4799.81076581031,703
