"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.0356435752002,6833.47934965434,366
"2002/2003",2003,120,120,100,84.8904038244278,2961.96805334144,677
"2003/2004",2004,120,120,100,87.8989175134274,4578.31246383031,289
"2004/2005",2005,121,121,100,83.6822872245949,7629.66605873476,291
"2005/2006",2006,120,120,100,83.5698246476389,5312.7475775177,424
"2006/2007",2007,120,120,100,84.8943133543592,5164.47138312191,385
"2007/2008",2008,120,120,100,83.9987275846581,2575.88767005276,515
"2008/2009",2009,121,121,100,82.8815029160651,7146.6121394427,363
"2009/2010",2010,120,120,100,88.2014153910904,4833.77553089848,213
"2010/2011",2011,120,120,100,85.4702926639732,4625.21043412958,346
"2011/2012",2012,120,120,100,76.1071772181031,4939.79771535948,664
"2012/2013",2013,121,121,100,86.6491938692027,4247.1643176697,398
"2013/2014",2014,120,120,100,76.4283198722635,4356.58052488975,938
"2014/2015",2015,120,120,100,82.1495298242903,5755.21476608713,373
"2015/2016",2016,120,120,100,78.7386604530329,5568.52141786565,494
"2016/2017",2017,121,121,100,80.6971725104672,6528.59653253015,425
"2017/2018",2018,120,120,100,79.9601597837359,4587.75136905536,584
"2018/2019",2019,120,120,100,83.9910104341975,4606.57968715322,451
"2019/2020",2020,120,120,100,82.6430655090353,7302.87955897907,293
"2020/2021",2021,121,121,100,82.4476103950137,3518.23397391546,682
"2021/2022",2022,120,120,100,76.0468941182808,6525.47701014811,564
"2022/2023",2023,120,120,100,86.9665065993058,4858.22617472545,283
"2023/2024",2024,120,120,100,84.2279776411251,7285.01143930829,134
"2024/2025",2025,121,121,100,88.2911581934136,4391.19677036675,293
"2025/2026",2026,120,120,100,75.6855294890684,2700.30137555045,941
"2026/2027",2027,120,120,100,85.7407360225266,6085.95545765921,267
"2027/2028",2028,120,120,100,83.0902753172768,2601.60948458128,663
"2028/2029",2029,121,121,100,82.2049950483083,6063.69320512959,441
"2029/2030",2030,120,120,100,84.9315192597919,4790.69596316898,479
"2030/2031",2031,120,120,100,86.3330265067971,4510.22366317688,451
"2031/2032",2032,120,120,100,85.1175583232734,6213.02842747467,334
"2032/2033",2033,121,121,100,82.8928646305776,3015.16230726195,710
"2033/2034",2034,120,120,100,78.8977719785962,4986.44098656718,604
"2034/2035",2035,120,120,100,77.022376894045,5357.50749328407,555
"2035/2036",2036,120,120,100,84.5777125928162,5119.99064786872,442
"2036/2037",2037,121,121,100,83.6886816784672,3511.76669169497,637
"2037/2038",2038,120,120,100,79.2092227949288,6033.58366051316,419
"2038/2039",2039,120,120,100,87.3800843054642,7190.00971204834,184
"2039/2040",2040,120,120,100,85.7746877316358,5456.92905296711,232
"2040/2041",2041,121,121,100,87.8521878145066,5401.73574547376,262
