"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,75.1823819536394,8377.60534893674,333
"2002/2003",2003,120,120,100,85.3012540699872,3681.1302594234,588
"2003/2004",2004,120,120,100,88.1624555232592,5741.93613635164,226
"2004/2005",2005,121,121,100,83.7681668166776,8856.42122485477,220
"2005/2006",2006,120,120,100,82.6782154067896,6415.85068111011,400
"2006/2007",2007,120,120,100,83.9083149940434,6481.73726667144,333
"2007/2008",2008,120,120,100,84.9692694446458,3392.67267600482,464
"2008/2009",2009,121,121,100,81.7827555339228,8140.73680544784,279
"2009/2010",2010,120,120,100,88.4829626627834,5648.78391926351,173
"2010/2011",2011,120,120,100,85.7499572698298,5737.06006501405,275
"2011/2012",2012,120,120,100,75.5639317875684,5743.02407435863,580
"2012/2013",2013,121,121,100,87.2936913782521,5419.0892363498,355
"2013/2014",2014,120,120,100,72.0971943543473,5647.75099866977,868
"2014/2015",2015,120,120,100,79.8069160541968,7159.18415617151,327
"2015/2016",2016,120,120,100,80.0434554966055,6589.8744553721,439
"2016/2017",2017,121,121,100,78.8202705473568,7993.26433586353,371
"2017/2018",2018,120,120,100,78.2615000640271,5620.8902371102,523
"2018/2019",2019,120,120,100,83.9915384363167,5854.60838307138,367
"2019/2020",2020,120,120,100,81.8740107959834,8619.30148396641,245
"2020/2021",2021,121,121,100,83.893313274813,4349.15410880279,555
"2021/2022",2022,120,120,100,72.8750971153349,7860.41622503265,501
"2022/2023",2023,120,120,100,85.536406349127,5934.39578531706,240
"2023/2024",2024,120,120,100,83.4203608692633,8857.77164052543,126
"2024/2025",2025,121,121,100,87.7038442301828,5396.18631659658,235
"2025/2026",2026,120,120,100,74.9197351631956,3563.39332987601,875
"2026/2027",2027,120,120,100,83.6638520013271,7531.822609158,242
"2027/2028",2028,120,120,100,85.6977553090601,3099.97541972389,536
"2028/2029",2029,121,121,100,79.939926015009,7231.15617874498,377
"2029/2030",2030,120,120,100,81.4261814459696,6102.78860493144,419
"2030/2031",2031,120,120,100,83.9457076009403,5636.06202403037,413
"2031/2032",2032,120,120,100,83.9460095047352,7465.58585063322,277
"2032/2033",2033,121,121,100,85.479715627208,3837.84185419139,584
"2033/2034",2034,120,120,100,77.3748149023922,6128.95310546365,532
"2034/2035",2035,120,120,100,77.8299608475691,6728.49764137156,483
"2035/2036",2036,120,120,100,82.388432742423,6591.65331016248,411
"2036/2037",2037,121,121,100,84.1774224199198,4428.2151519591,552
"2037/2038",2038,120,120,100,78.1941036550479,7128.43166466057,375
"2038/2039",2039,120,120,100,85.3502539426663,8795.24600918032,159
"2039/2040",2040,120,120,100,82.1718791004278,6940.13161543058,194
"2040/2041",2041,121,121,100,87.6765404737507,6409.44872222096,195
"2041/2042",2042,120,120,100,76.8697068405181,9358.94681728305,260
"2042/2043",2043,120,120,100,84.9160871883705,3631.05025109369,428
"2043/2044",2044,120,120,100,85.5721499526235,6536.22436200362,216
"2044/2045",2045,121,121,100,80.1997641639073,3947.64404333616,655
"2045/2046",2046,120,120,100,79.3605834600512,6694.79965594504,475
"2046/2047",2047,120,120,100,78.6562190598006,5735.24446381163,569
"2047/2048",2048,120,120,100,87.6508615304056,4617.69423933513,302
"2048/2049",2049,121,121,100,85.2293242247197,4300.399903032,486
"2049/2050",2050,120,120,100,85.1896016395176,2582.77799772657,472
"2050/2051",2051,120,120,100,77.2413781229816,6948.31037126575,324
"2051/2052",2052,120,120,100,78.54933516244,8507.92842714582,264
"2052/2053",2053,121,121,100,82.6008764303742,7673.71598914731,256
"2053/2054",2054,120,120,100,83.967440207306,7868.44990902161,187
"2054/2055",2055,120,120,100,85.5647944236644,5708.86178838322,368
"2055/2056",2056,120,120,100,77.3244458673817,8015.18835348869,263
"2056/2057",2057,121,121,100,79.9447312549919,5289.34683445701,525
"2057/2058",2058,120,120,100,85.5529440559731,6442.69225989189,183
"2058/2059",2059,120,120,100,82.0299565167625,4152.56566129299,516
"2059/2060",2060,120,120,100,77.0022698968769,8340.71400263673,430
"2060/2061",2061,121,121,100,78.2202653936083,9599.1782623753,310
"2061/2062",2062,120,120,100,84.7270320703547,3200.96888403222,507
"2062/2063",2063,120,120,100,84.6570197220399,3997.09012678917,337
"2063/2064",2064,120,120,100,83.072284963624,5720.8982615564,479
"2064/2065",2065,121,121,100,89.2041405237869,5708.74549544137,212
"2065/2066",2066,120,120,100,88.6319600955067,5853.29138866346,152
"2066/2067",2067,120,120,100,79.5503586586092,4004.62779455353,682
"2067/2068",2068,120,120,100,79.3215784731365,9524.06999306381,335
"2068/2069",2069,121,121,100,81.6589830151843,5992.27522503957,476
"2069/2070",2070,120,120,100,83.698083402538,6328.94791600853,422
"2070/2071",2071,120,120,100,85.4120202791673,6509.75142291002,266
"2071/2072",2072,120,120,100,81.9665582152793,5756.38572967984,526
"2072/2073",2073,121,121,100,80.9141433318182,9963.74278575461,264
"2073/2074",2074,120,120,100,72.9526441381367,8045.0442027431,578
"2074/2075",2075,120,120,100,77.7588714889989,8265.66427429207,359
"2075/2076",2076,120,120,100,85.1130903210469,8627.25975232292,142
"2076/2077",2077,121,121,100,86.3917903498677,3553.31565160863,428
"2077/2078",2078,120,120,100,84.6706296077064,3862.9659469435,452
"2078/2079",2079,120,120,100,84.5472149905163,5594.97409478854,357
"2079/2080",2080,120,120,100,87.3263257299059,7173.92416117992,126
"2080/2081",2081,121,121,100,78.3368884494193,7398.14609563537,527
"2081/2082",2082,120,120,100,78.341401630887,7427.53154394496,286
"2082/2083",2083,120,120,100,83.0984819235546,7633.25383488555,325
"2083/2084",2084,120,120,100,85.7286967988402,4434.09465626907,377
"2084/2085",2085,121,121,100,79.3394208330774,5535.89594424795,458
"2085/2086",2086,120,120,100,81.8061948126669,6184.09403726645,438
"2086/2087",2087,120,120,100,84.433103401343,5162.79361096956,397
"2087/2088",2088,120,120,100,78.7778117335638,6012.79075173754,514
"2088/2089",2089,121,121,100,84.5525572608294,5804.13213835098,391
