"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.739076438642,5093.26310842793,489
"2002/2003",2003,120,120,100,80.6941983387521,1973.21220406175,799
"2003/2004",2004,120,120,100,88.1571830151671,3359.50509265315,447
"2004/2005",2005,121,121,100,85.7430594092532,6070.3593724455,400
"2005/2006",2006,120,120,100,83.4350486108513,3783.9933215346,506
"2006/2007",2007,120,120,100,83.8366715244963,3908.3603200342,540
"2007/2008",2008,120,120,100,79.620770706382,1754.86249850743,680
"2008/2009",2009,121,121,100,84.5033519596652,5436.96658587601,449
"2009/2010",2010,120,120,100,87.3216585572582,3426.41981424112,307
"2010/2011",2011,120,120,100,82.8932149748844,3356.62912727636,416
"2011/2012",2012,120,120,100,77.3138899896817,3525.31963539787,835
"2012/2013",2013,121,121,100,85.3933806257689,3072.41701616463,499
"2013/2014",2014,120,120,100,75.4063952445385,3301.37920593075,1068
"2014/2015",2015,120,120,100,82.7684432500155,4387.59721022274,452
"2015/2016",2016,120,120,100,81.7739347955139,4155.11126030423,597
"2016/2017",2017,121,121,100,81.5380893360875,5154.09662295901,542
"2017/2018",2018,120,120,100,77.7977043083861,3356.62128834787,737
"2018/2019",2019,120,120,100,82.8066038646912,3463.82097168057,620
"2019/2020",2020,120,120,100,84.9594005879126,5739.76620311965,381
"2020/2021",2021,121,121,100,81.6478080312372,2479.1623193624,809
"2021/2022",2022,120,120,100,74.9754540706112,5271.3052576296,676
"2022/2023",2023,120,120,100,87.3147792198074,3333.36117490078,351
"2023/2024",2024,120,120,100,87.942480397815,5696.87130722124,254
"2024/2025",2025,121,121,100,85.6558390624818,3248.05456208927,412
"2025/2026",2026,120,120,100,72.6072746875207,2219.71264602547,1183
"2026/2027",2027,120,120,100,87.2484692242278,4633.69740832085,383
"2027/2028",2028,120,120,100,79.9143306170008,1718.74537106371,802
"2028/2029",2029,121,121,100,83.6842165585922,4579.21016649809,567
"2029/2030",2030,120,120,100,82.9601952144494,3602.41646722145,649
"2030/2031",2031,120,120,100,83.3650856784188,3205.14933962957,537
"2031/2032",2032,120,120,100,86.1747446321833,4673.69289378985,426
"2032/2033",2033,121,121,100,80.3761478108872,2092.1553113251,837
"2033/2034",2034,120,120,100,76.4642627773646,3844.53237772989,768
"2034/2035",2035,120,120,100,76.4545492518509,4127.55282638804,702
"2035/2036",2036,120,120,100,84.017432381288,3878.09735108563,574
"2036/2037",2037,121,121,100,81.2888477790912,2628.3366677952,810
"2037/2038",2038,120,120,100,83.4833474135103,4414.4003935433,518
"2038/2039",2039,120,120,100,88.9934602534559,5404.01641260087,244
"2039/2040",2040,120,120,100,86.6212028561149,4147.70123710996,332
"2040/2041",2041,121,121,100,88.3762569590235,3758.99035963044,351
"2041/2042",2042,120,120,100,84.2853554280755,5956.07057706127,347
"2042/2043",2043,120,120,100,81.0078221107024,1907.39338220004,737
"2043/2044",2044,120,120,100,87.0036263303973,3857.51943483111,333
"2044/2045",2045,121,121,100,80.276054288729,2011.01714482158,837
"2045/2046",2046,120,120,100,80.5070016790469,4262.07428272581,644
"2046/2047",2047,120,120,100,79.579433532781,3304.07845526515,693
"2047/2048",2048,120,120,100,85.7265641150998,2486.93624651153,505
"2048/2049",2049,121,121,100,81.791143346557,2240.83318017982,727
"2049/2050",2050,120,120,100,81.3211375041828,1249.33739693882,767
"2050/2051",2051,120,120,100,80.1476543036124,4425.18484490737,567
"2051/2052",2052,120,120,100,82.0947605830261,5399.47791825095,374
"2052/2053",2053,121,121,100,84.3797498616177,4778.70788914897,363
"2053/2054",2054,120,120,100,84.3834138558941,4980.34277084051,339
