"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.3981600362882,5561.73287896405,439
"2002/2003",2003,120,120,100,81.7501755448967,2323.69303826371,741
"2003/2004",2004,120,120,100,88.0666668138034,3610.45531985015,357
"2004/2005",2005,121,121,100,85.1815295680852,6395.79779283723,324
"2005/2006",2006,120,120,100,83.5049370501921,4161.02897673455,472
"2006/2007",2007,120,120,100,85.6931082263892,4166.99564840482,448
"2007/2008",2008,120,120,100,82.3124762183647,1972.30243309232,623
"2008/2009",2009,121,121,100,84.8918043360652,5850.26297494862,403
"2009/2010",2010,120,120,100,89.0819727399798,3732.67905829789,239
"2010/2011",2011,120,120,100,86.1292814400524,3638.03261714464,370
"2011/2012",2012,120,120,100,77.389661168053,3854.21472929395,752
"2012/2013",2013,121,121,100,87.6535499241481,3310.2301508222,424
"2013/2014",2014,120,120,100,75.696701116339,3480.92955363018,1028
"2014/2015",2015,120,120,100,83.9775035671935,4681.08909884014,407
"2015/2016",2016,120,120,100,81.1316177906256,4467.30999274959,545
"2016/2017",2017,121,121,100,82.1185780256028,5537.7275136183,497
"2017/2018",2018,120,120,100,79.5393257509581,3532.85131313698,633
"2018/2019",2019,120,120,100,83.1412329846703,3744.72130889632,535
"2019/2020",2020,120,120,100,85.8220681566513,6166.21152732451,330
"2020/2021",2021,121,121,100,82.8669784284666,2722.55098271021,724
"2021/2022",2022,120,120,100,76.0333564111347,5443.7200243643,608
"2022/2023",2023,120,120,100,88.7256667627939,3663.35085657751,293
"2023/2024",2024,120,120,100,86.7281712026916,6114.43637003587,188
"2024/2025",2025,121,121,100,86.6640291177855,3601.55958568887,369
"2025/2026",2026,120,120,100,74.7404181429529,2339.68298608786,1095
"2026/2027",2027,120,120,100,87.5753723492371,5061.26259406144,332
"2027/2028",2028,120,120,100,80.7228206145414,1840.33101039357,692
"2028/2029",2029,121,121,100,82.956426781504,4813.97631114651,471
"2029/2030",2030,120,120,100,83.771311643125,4031.00220574113,584
"2030/2031",2031,120,120,100,84.4368528774953,3619.88374901493,511
"2031/2032",2032,120,120,100,87.4723871238593,4993.72920029541,357
"2032/2033",2033,121,121,100,82.7709949096425,2329.6584190079,771
"2033/2034",2034,120,120,100,78.7595943803835,3996.66979075316,670
"2034/2035",2035,120,120,100,78.1082772947602,4426.62704834854,619
"2035/2036",2036,120,120,100,85.6398886985889,4160.80543043884,501
"2036/2037",2037,121,121,100,81.9403296791079,2770.72382921726,723
"2037/2038",2038,120,120,100,82.6505138023758,4705.39609584818,443
"2038/2039",2039,120,120,100,88.8334220004963,5947.63862936292,213
"2039/2040",2040,120,120,100,85.352732379688,4479.65784023283,282
"2040/2041",2041,121,121,100,89.384572596432,4193.55625399482,277
"2041/2042",2042,120,120,100,85.3556059468292,6341.0742911445,300
"2042/2043",2043,120,120,100,83.2100665736789,2198.65878871782,650
"2043/2044",2044,120,120,100,88.0170891130638,4129.46819666494,262
"2044/2045",2045,121,121,100,81.5825926098241,2157.99662275147,765
"2045/2046",2046,120,120,100,79.0687562384619,4458.78789006127,595
"2046/2047",2047,120,120,100,80.0233200482826,3602.31232620869,643
"2047/2048",2048,120,120,100,87.1944913863572,2739.03425354976,444
"2048/2049",2049,121,121,100,83.5906441538646,2513.9889346445,637
"2049/2050",2050,120,120,100,83.2718963916323,1365.9870964149,649
"2050/2051",2051,120,120,100,80.5341206929224,4643.64278339455,464
"2051/2052",2052,120,120,100,83.5787940532082,5813.16546872072,337
"2052/2053",2053,121,121,100,84.814561210037,5282.03736888291,325
"2053/2054",2054,120,120,100,87.3815446463486,5381.76217036601,269
"2054/2055",2055,120,120,100,85.3333857135449,3444.07781411847,472
"2055/2056",2056,120,120,100,77.7063654739604,5777.79388476582,358
"2056/2057",2057,121,121,100,79.0525891412763,3430.33969306434,663
"2057/2058",2058,120,120,100,86.8245115341397,4218.9498967668,252
