"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.4090940518278,5433.68856505399,570
"2002/2003",2003,120,120,100,79.9837596125874,1989.85389212061,838
"2003/2004",2004,120,120,100,88.902362065638,3087.38868131276,440
"2004/2005",2005,121,121,100,87.5005666592702,5486.00588202005,356
"2005/2006",2006,120,120,100,84.7232688646478,3845.70625095378,522
"2006/2007",2007,120,120,100,83.9808955905731,3832.3694520265,567
"2007/2008",2008,120,120,100,79.715808133257,1718.64370204316,673
"2008/2009",2009,121,121,100,84.2185740089228,5193.94355714775,445
"2009/2010",2010,120,120,100,88.08325092727,3131.18676285492,272
"2010/2011",2011,120,120,100,84.8487876982667,3096.8593773304,431
"2011/2012",2012,120,120,100,74.3232702093703,3726.56855785137,836
"2012/2013",2013,121,121,100,85.4581117695948,2924.70049340522,494
"2013/2014",2014,120,120,100,72.8907571892146,3539.08150000637,1122
"2014/2015",2015,120,120,100,82.60413432378,4450.19773083972,480
"2015/2016",2016,120,120,100,80.0109340517374,4110.09935119492,612
"2016/2017",2017,121,121,100,78.5821616922499,5247.72807729605,585
"2017/2018",2018,120,120,100,76.1084363283057,3523.03384542488,757
"2018/2019",2019,120,120,100,82.9851788577353,3387.7796182707,603
"2019/2020",2020,120,120,100,86.7754316808901,5356.55736414087,377
"2020/2021",2021,121,121,100,82.0930214022756,2423.79989568144,826
"2021/2022",2022,120,120,100,73.1933578613589,5394.602730643,723
"2022/2023",2023,120,120,100,86.032062158135,3506.34176284447,385
"2023/2024",2024,120,120,100,85.2030981589487,5552.19869253132,244
"2024/2025",2025,121,121,100,85.7947438448282,2968.56456639734,416
"2025/2026",2026,120,120,100,73.743226260739,1993.40751861432,1172
"2026/2027",2027,120,120,100,86.2216094704149,4527.14213159773,371
"2027/2028",2028,120,120,100,80.3818220303642,1559.39727117424,843
"2028/2029",2029,121,121,100,80.7700301548502,4667.8517799275,568
"2029/2030",2030,120,120,100,83.3886227574685,3724.28559527011,695
"2030/2031",2031,120,120,100,84.6060624079282,3297.90893153753,596
"2031/2032",2032,120,120,100,87.2390545237695,4415.66191208735,418
"2032/2033",2033,121,121,100,80.4401383059239,2046.01552141272,836
"2033/2034",2034,120,120,100,76.8333715670524,3929.24960825592,762
"2034/2035",2035,120,120,100,76.8556267736494,4315.92824247293,746
"2035/2036",2036,120,120,100,83.1432704051849,3861.77319506509,582
"2036/2037",2037,121,121,100,80.4762405031361,2424.53254913958,821
"2037/2038",2038,120,120,100,81.1377578890688,4448.79632036109,491
"2038/2039",2039,120,120,100,89.7785570792394,5389.06240372732,260
"2039/2040",2040,120,120,100,85.0579063673222,4275.4482046864,375
"2040/2041",2041,121,121,100,86.9088916166693,3954.14142026054,370
"2041/2042",2042,120,120,100,85.0623262043264,5884.11086478829,369
"2042/2043",2043,120,120,100,81.1625659621959,2107.20955295954,831
"2043/2044",2044,120,120,100,86.7192487867933,3804.20785053726,350
"2044/2045",2045,121,121,100,80.0591451319688,2215.4946827786,870
"2045/2046",2046,120,120,100,77.0830902391754,4317.42326256726,701
"2046/2047",2047,120,120,100,78.8464217825076,3436.61709291069,711
"2047/2048",2048,120,120,100,85.1060562923312,2510.16653516702,568
"2048/2049",2049,121,121,100,81.1779720105615,2345.2455506362,778
"2049/2050",2050,120,120,100,81.308029298285,1181.58341194456,793
"2050/2051",2051,120,120,100,78.935330423451,4432.19446033612,591
"2051/2052",2052,120,120,100,82.3156589082764,5425.1023342181,386
"2052/2053",2053,121,121,100,83.9955459531875,4732.03975291643,367
"2053/2054",2054,120,120,100,86.1651755076628,4987.52020332217,364
