"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.5285640344486,6551.89466717961,378
"2002/2003",2003,120,120,100,83.4337973682373,2856.43047540048,671
"2003/2004",2004,120,120,100,89.5558020794234,4341.00714725206,267
"2004/2005",2005,121,121,100,85.9044734416757,7205.05282371945,237
"2005/2006",2006,120,120,100,84.2545066681469,4876.32530534873,414
"2006/2007",2007,120,120,100,84.4662383356761,4890.39021087799,377
"2007/2008",2008,120,120,100,83.5128907397186,2433.43469472689,534
"2008/2009",2009,121,121,100,84.0582881754765,6690.93251852569,314
"2009/2010",2010,120,120,100,89.8643660393823,4396.0130553327,186
"2010/2011",2011,120,120,100,87.1445136277446,4280.20474967617,275
"2011/2012",2012,120,120,100,77.3590684558471,4581.55309534725,655
"2012/2013",2013,121,121,100,88.7450020048257,3896.56538603501,359
"2013/2014",2014,120,120,100,75.3926365725313,4078.07410348486,937
"2014/2015",2015,120,120,100,84.443277944478,5492.44583985629,349
"2015/2016",2016,120,120,100,80.3233687422603,5116.86359087494,472
"2016/2017",2017,121,121,100,81.0435748313703,6422.94345097221,409
"2017/2018",2018,120,120,100,80.4609217504285,4253.25898966379,577
"2018/2019",2019,120,120,100,84.8702357228558,4373.52915392397,443
"2019/2020",2020,120,120,100,83.9925557812271,6992.9409068299,269
"2020/2021",2021,121,121,100,84.4067458864679,3172.47585646831,609
"2021/2022",2022,120,120,100,78.3830871277801,6126.04543271591,519
"2022/2023",2023,120,120,100,87.8425098767507,4416.41786254151,234
"2023/2024",2024,120,120,100,89.002693997983,7067.20123353601,136
"2024/2025",2025,121,121,100,86.7193814973411,4298.08765240829,266
"2025/2026",2026,120,120,100,74.3766475195489,2727.61034910497,993
"2026/2027",2027,120,120,100,87.9648854988927,5832.29054454877,253
"2027/2028",2028,120,120,100,83.4598422496197,2186.13469095761,581
"2028/2029",2029,121,121,100,82.9754502364194,5566.47085887566,398
"2029/2030",2030,120,120,100,83.5226189457026,4722.17203259491,479
"2030/2031",2031,120,120,100,86.1605716085705,4308.08112405427,437
"2031/2032",2032,120,120,100,86.5174539506816,5764.64924936206,289
"2032/2033",2033,121,121,100,83.9166650528387,2802.14780042553,688
"2033/2034",2034,120,120,100,79.1508941328684,4621.0380345122,559
"2034/2035",2035,120,120,100,78.6285838788835,5094.61082691327,491
"2035/2036",2036,120,120,100,85.6094151243542,4925.84853757266,422
"2036/2037",2037,121,121,100,83.6392374137313,3153.5105412351,610
"2037/2038",2038,120,120,100,83.3912838694123,5507.83403955819,388
"2038/2039",2039,120,120,100,89.1520953383524,7017.46742433403,166
"2039/2040",2040,120,120,100,87.9024356501068,5255.74068219773,206
"2040/2041",2041,121,121,100,89.9761305226639,5114.44761651987,229
