"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.0205019418007,6020.65567258086,375
"2002/2003",2003,120,120,100,82.9211805922432,2764.03322500721,692
"2003/2004",2004,120,120,100,88.3459358191975,4055.8931834528,291
"2004/2005",2005,121,121,100,87.1879173257803,6793.69763862086,224
"2005/2006",2006,120,120,100,83.3076315215828,4400.49836164457,428
"2006/2007",2007,120,120,100,85.7529174677501,4469.00633861951,376
"2007/2008",2008,120,120,100,82.728559547115,2261.80786799738,575
"2008/2009",2009,121,121,100,85.5770438856309,6288.23858352023,298
"2009/2010",2010,120,120,100,90.0567675279055,4059.1860814488,172
"2010/2011",2011,120,120,100,86.9181358292465,3938.81507804652,264
"2011/2012",2012,120,120,100,78.3793741406985,4174.59335770656,683
"2012/2013",2013,121,121,100,90.1718550300156,3500.03634009894,347
"2013/2014",2014,120,120,100,75.6924425622506,3556.03220681101,938
"2014/2015",2015,120,120,100,85.639166876877,5037.44167373935,345
"2015/2016",2016,120,120,100,83.2952515656257,4631.01255083387,485
"2016/2017",2017,121,121,100,82.6455503670318,6080.19471362967,427
"2017/2018",2018,120,120,100,81.3464248239543,3789.0274933849,560
"2018/2019",2019,120,120,100,85.1514105998335,4004.07655383809,448
"2019/2020",2020,120,120,100,86.2972175436944,6625.34363263589,266
"2020/2021",2021,121,121,100,84.6114987024166,2825.08798346203,586
"2021/2022",2022,120,120,100,78.3354849866773,5489.53993891994,464
"2022/2023",2023,120,120,100,89.563597521731,3907.49275892694,195
"2023/2024",2024,120,120,100,85.7121530989029,6678.46634124499,138
"2024/2025",2025,121,121,100,86.3994506520971,4192.52320473571,297
"2025/2026",2026,120,120,100,74.6564882807033,2651.02116991277,1041
"2026/2027",2027,120,120,100,88.7697843351139,5459.36574247619,253
"2027/2028",2028,120,120,100,83.7822316552179,1872.19610797358,537
"2028/2029",2029,121,121,100,84.6608275296921,4952.99634634703,370
"2029/2030",2030,120,120,100,83.8349420874765,4486.68064690195,481
"2030/2031",2031,120,120,100,84.2711592814612,4049.59356211522,436
"2031/2032",2032,120,120,100,88.4996669062111,5269.39401247841,265
"2032/2033",2033,121,121,100,83.2062612194086,2571.00209694728,705
"2033/2034",2034,120,120,100,81.8412783576277,4111.6273324159,564
"2034/2035",2035,120,120,100,80.6359005110298,4621.44307035161,490
"2035/2036",2036,120,120,100,86.7310214942263,4520.64630594105,418
"2036/2037",2037,121,121,100,84.2554480947738,2775.41734685982,614
"2037/2038",2038,120,120,100,84.318123475854,4920.38610014925,360
"2038/2039",2039,120,120,100,89.251938712503,6675.17460454581,170
"2039/2040",2040,120,120,100,87.1985845136242,4834.75453201216,210
"2040/2041",2041,121,121,100,91.2961951496991,4775.54644890828,242
"2041/2042",2042,120,120,100,84.8493567503392,6701.35275100637,250
"2042/2043",2043,120,120,100,84.9833139105349,2426.42311544577,540
"2043/2044",2044,120,120,100,89.7274214720164,4334.57368500484,198
"2044/2045",2045,121,121,100,82.363349536754,2233.95277599199,715
"2045/2046",2046,120,120,100,82.6720038253243,4580.48581178905,488
"2046/2047",2047,120,120,100,83.1683594185615,3756.44014883693,582
"2047/2048",2048,120,120,100,88.3232125542809,2906.8457442224,353
"2048/2049",2049,121,121,100,86.5625275142602,2581.70330953645,496
"2049/2050",2050,120,120,100,84.9364041233175,1454.37677819701,520
"2050/2051",2051,120,120,100,81.9225294869457,4934.1027136622,378
"2051/2052",2052,120,120,100,83.1807565676354,6333.16211010935,295
"2052/2053",2053,121,121,100,84.0537873725989,5840.98931985814,286
"2053/2054",2054,120,120,100,87.49105407553,5698.30443395954,198
"2054/2055",2055,120,120,100,87.5421081871036,3630.03432949679,391
