"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,73.2416408325528,11616.7351710988,191
"2002/2003",2003,120,120,100,84.1127508041976,6279.32076329034,365
"2003/2004",2004,120,120,100,86.3827554575452,8760.74168523634,55
"2004/2005",2005,121,121,100,73.1497023212369,12542.4458495987,49
"2005/2006",2006,120,120,100,79.7508557699073,9366.91594536748,283
"2006/2007",2007,120,120,100,83.4866801305654,9183.53619055648,110
"2007/2008",2008,120,120,100,88.5636617464628,5520.58166445442,282
"2008/2009",2009,121,121,100,75.0046560968602,11852.9410300293,139
"2009/2010",2010,120,120,100,88.2516265383006,8970.24755639432,34
"2010/2011",2011,120,120,100,85.8003664029759,8658.53679358563,103
"2011/2012",2012,120,120,100,76.0759960925002,8371.3680890539,331
"2012/2013",2013,121,121,100,88.096338388066,7960.58477976115,183
"2013/2014",2014,120,120,100,74.033716648473,7321.07639008504,521
"2014/2015",2015,120,120,100,79.1348480888603,10123.393726995,184
"2015/2016",2016,120,120,100,78.3718298718927,9432.98742867378,269
"2016/2017",2017,121,121,100,77.2772535611427,11092.2843766657,188
"2017/2018",2018,120,120,100,80.3152640777078,7840.69197006873,288
"2018/2019",2019,120,120,100,82.1256670794528,8514.69345832593,179
"2019/2020",2020,120,120,100,76.9229470217069,12427.6730320761,117
"2020/2021",2021,121,121,100,84.6776812049343,6560.55171165057,310
"2021/2022",2022,120,120,100,73.8442140323509,9937.35849581636,226
"2022/2023",2023,120,120,100,85.7629494460807,8799.72880384559,68
"2023/2024",2024,120,120,100,77.5725333755972,12437.0633336487,7
"2024/2025",2025,121,121,100,85.5284504739125,8670.09582681931,81
"2025/2026",2026,120,120,100,79.2978628985593,5241.29138263362,585
"2026/2027",2027,120,120,100,79.3783153531976,10810.054199338,106
"2027/2028",2028,120,120,100,87.8639845425528,4956.17532630544,212
"2028/2029",2029,121,121,100,79.507766047856,9804.02154206438,195
"2029/2030",2030,120,120,100,77.6857926437251,8935.11682980508,199
"2030/2031",2031,120,120,100,80.405690408541,8535.54898101231,239
"2031/2032",2032,120,120,100,80.4112278936268,10777.4680993245,104
"2032/2033",2033,121,121,100,85.479325548094,6043.54439153662,329
"2033/2034",2034,120,120,100,79.074860637807,8076.20885630231,301
"2034/2035",2035,120,120,100,77.0479724079119,8991.42588523356,219
