"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,75.1210817701189,9900.45478931165,231
"2002/2003",2003,120,120,100,87.0020169409605,4726.25675719304,462
"2003/2004",2004,120,120,100,86.8426294145733,7318.98555539091,143
"2004/2005",2005,121,121,100,77.7851230232278,10735.007501338,126
"2005/2006",2006,120,120,100,80.2793887193797,7796.75200476503,351
"2006/2007",2007,120,120,100,81.1368852488571,7896.30979712884,214
"2007/2008",2008,120,120,100,87.6032439598087,4447.19383686507,374
"2008/2009",2009,121,121,100,79.8887911401551,9775.83368636121,179
"2009/2010",2010,120,120,100,89.091729186943,7152.86332214531,82
"2010/2011",2011,120,120,100,85.8065023630497,7277.72535607533,205
"2011/2012",2012,120,120,100,76.9774669661929,6865.39787750039,444
"2012/2013",2013,121,121,100,87.0048620383343,6762.25701482245,261
"2013/2014",2014,120,120,100,72.146952030128,6617.8180603612,691
"2014/2015",2015,120,120,100,79.8780116430962,8638.85303767491,246
"2015/2016",2016,120,120,100,79.8655069177737,7906.62241865695,350
"2016/2017",2017,121,121,100,77.4597044208451,9499.30762030999,270
"2017/2018",2018,120,120,100,79.8318470128911,6766.98204235872,384
"2018/2019",2019,120,120,100,81.5347252060646,7219.18869854696,263
"2019/2020",2020,120,120,100,81.181696855991,10442.7267704005,168
"2020/2021",2021,121,121,100,83.0769451696306,5336.67777597578,384
"2021/2022",2022,120,120,100,72.232882661639,9089.53731095418,370
"2022/2023",2023,120,120,100,86.3207059406209,7350.39026982593,151
"2023/2024",2024,120,120,100,78.6319299510192,10754.3867609771,49
"2024/2025",2025,121,121,100,87.6502581062041,6895.48341254774,156
"2025/2026",2026,120,120,100,76.7900965752128,4491.30361665739,741
"2026/2027",2027,120,120,100,83.2497402398399,9160.41726717609,162
"2027/2028",2028,120,120,100,87.3934079413948,3991.64186189836,368
"2028/2029",2029,121,121,100,79.8938170106585,8522.98748826003,257
"2029/2030",2030,120,120,100,80.3008290703451,7406.2301904303,299
"2030/2031",2031,120,120,100,82.1439088889269,6904.7472535423,295
"2031/2032",2032,120,120,100,83.7460118650879,9094.31360544916,169
"2032/2033",2033,121,121,100,85.5421252690412,4853.96447584219,456
"2033/2034",2034,120,120,100,77.8615789232426,7275.92364479974,413
"2034/2035",2035,120,120,100,76.1747377912634,7945.9852172602,331
"2035/2036",2036,120,120,100,79.7658015681818,8062.93516557803,291
"2036/2037",2037,121,121,100,83.8022250088416,5479.05212111911,416
"2037/2038",2038,120,120,100,79.6553675239275,8615.28757800302,295
"2038/2039",2039,120,120,100,80.4538527308541,10755.7773436843,74
"2039/2040",2040,120,120,100,82.906208890402,8404.09609183669,104
"2040/2041",2041,121,121,100,87.776205494275,7907.01943494659,139
"2041/2042",2042,120,120,100,74.1371319724176,11204.0658560214,210
"2042/2043",2043,120,120,100,86.0861921286632,4478.28400431853,278
"2043/2044",2044,120,120,100,86.2744893527324,8013.94023302663,155
"2044/2045",2045,121,121,100,81.4821903858001,4844.85693225125,542
"2045/2046",2046,120,120,100,78.1831614359835,7930.84377338737,321
"2046/2047",2047,120,120,100,78.6829290953283,6916.54082267592,490
"2047/2048",2048,120,120,100,89.2456566227602,5824.74011103949,212
"2048/2049",2049,121,121,100,88.2740794577203,5257.78505274374,299
"2049/2050",2050,120,120,100,87.9897628164063,3393.99154147506,329
"2050/2051",2051,120,120,100,78.1981863058836,8261.28471775493,233
"2051/2052",2052,120,120,100,76.6157930397912,10202.2540386533,209
"2052/2053",2053,121,121,100,78.2546509980111,9333.90921468474,205
"2053/2054",2054,120,120,100,82.5107295230073,9483.50801031059,120
"2054/2055",2055,120,120,100,84.305888520199,6991.0581764658,267
"2055/2056",2056,120,120,100,76.7255473382065,9311.66198796267,175
"2056/2057",2057,121,121,100,79.408955453383,6675.69727069,389
"2057/2058",2058,120,120,100,84.209856846076,7888.93555038702,127
"2058/2059",2059,120,120,100,82.5775002961645,5125.73095211107,379
"2059/2060",2060,120,120,100,77.6310427013377,9803.35597027559,312
"2060/2061",2061,121,121,100,75.6884091836273,11281.1841787836,193
"2061/2062",2062,120,120,100,85.6368149397895,4020.84082664736,368
"2062/2063",2063,120,120,100,87.0582467021486,4984.71338726487,214
"2063/2064",2064,120,120,100,83.516836269846,6893.28409235366,365
"2064/2065",2065,121,121,100,86.4137333040389,7198.78870327026,147
"2065/2066",2066,120,120,100,88.41094757055,7367.59662810806,54
"2066/2067",2067,120,120,100,82.4164779533985,5042.25963883661,587
"2067/2068",2068,120,120,100,73.9471138228637,11529.845754493,236
"2068/2069",2069,121,121,100,82.4872387266623,7327.53539427277,355
"2069/2070",2070,120,120,100,82.2430217442452,7802.74656027835,363
