"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,77.9226999902891,3154.52557629728,884
"2002/2003",2003,120,120,100,73.8520721786301,971.662524682688,1181
"2003/2004",2004,120,120,100,82.3870103108703,1539.87021789289,753
"2004/2005",2005,121,121,100,85.5166073872914,3195.05808892686,621
"2005/2006",2006,120,120,100,79.9369679213288,2057.76131510688,824
"2006/2007",2007,120,120,100,77.013146898892,2140.54994557146,930
"2007/2008",2008,120,120,100,71.0623694953365,831.734775181336,1151
"2008/2009",2009,121,121,100,80.3636919292542,3075.62179447006,702
"2009/2010",2010,120,120,100,82.7551631510958,1584.44346814777,655
"2010/2011",2011,120,120,100,76.9507450390033,1526.51755651133,714
"2011/2012",2012,120,120,100,70.1508027596462,2211.18746762443,1151
"2012/2013",2013,121,121,100,80.2811521333754,1490.67141185002,843
"2013/2014",2014,120,120,100,66.912882131697,2030.80011717544,1402
"2014/2015",2015,120,120,100,79.4065595733482,2614.25924707879,766
"2015/2016",2016,120,120,100,78.0077225485047,2356.78640442656,933
"2016/2017",2017,121,121,100,78.6382363423386,3237.53886168846,929
"2017/2018",2018,120,120,100,70.1218870393868,2062.44285952998,1136
"2018/2019",2019,120,120,100,78.6741247327063,1805.5115205528,980
"2019/2020",2020,120,120,100,83.5897470195514,3133.94667450665,607
"2020/2021",2021,121,121,100,75.2658709370544,1274.18627550453,1209
"2021/2022",2022,120,120,100,71.9923497429745,3583.07191371522,1022
"2022/2023",2023,120,120,100,79.803250230199,1881.76273415261,736
"2023/2024",2024,120,120,100,83.988026101732,3299.63282095152,516
"2024/2025",2025,121,121,100,82.6157479009394,1464.03993644845,814
"2025/2026",2026,120,120,100,65.790101707219,1108.98128400347,1581
"2026/2027",2027,120,120,100,84.7076327562472,2500.37753162789,697
"2027/2028",2028,120,120,100,72.0571568731912,725.729351580376,1234
"2028/2029",2029,121,121,100,77.6748064885596,2854.88653945527,987
"2029/2030",2030,120,120,100,77.424516229561,2078.35501569952,984
"2030/2031",2031,120,120,100,80.8508284130949,1779.98613450117,913
"2031/2032",2032,120,120,100,84.4409435974412,2445.95163902594,701
"2032/2033",2033,121,121,100,74.0215856320356,981.498920097249,1226
"2033/2034",2034,120,120,100,68.6611094388081,2448.38137261127,1164
"2034/2035",2035,120,120,100,75.6453010693776,2605.53411446884,1075
"2035/2036",2036,120,120,100,78.67409475985,2081.7402854925,900
"2036/2037",2037,121,121,100,74.0876924233735,1304.91314880131,1242
"2037/2038",2038,120,120,100,78.9981682040025,2555.87130302121,833
"2038/2039",2039,120,120,100,83.59011019437,2942.99327796674,478
"2039/2040",2040,120,120,100,82.101395032988,2470.2342277253,741
"2040/2041",2041,121,121,100,82.9713309769431,2173.9821577603,713
"2041/2042",2042,120,120,100,83.2959647071466,3290.94980936311,582
"2042/2043",2043,120,120,100,73.5429850419296,1078.89562813565,1296
"2043/2044",2044,120,120,100,81.2484239013638,2028.25190641964,707
"2044/2045",2045,121,121,100,73.4228996769189,1121.04815829126,1253
"2045/2046",2046,120,120,100,73.8625283813826,2707.20825395407,1044
"2046/2047",2047,120,120,100,75.9902602480461,1885.65186725138,957
"2047/2048",2048,120,120,100,77.9394538920897,1235.64332851209,966
"2048/2049",2049,121,121,100,76.9555774612181,1168.86527205072,1129
"2049/2050",2050,120,120,100,74.8116733040788,512.867121244315,1291
"2050/2051",2051,120,120,100,75.8538948249106,2717.23570743622,1090
"2051/2052",2052,120,120,100,78.6402582198871,3270.47624021582,655
"2052/2053",2053,121,121,100,82.3990760267234,2655.87308716401,737
"2053/2054",2054,120,120,100,81.7777278241556,2896.11959979404,676
"2054/2055",2055,120,120,100,77.6245328885088,1737.29323871899,946
"2055/2056",2056,120,120,100,71.8752155863258,3845.75085624354,906
"2056/2057",2057,121,121,100,70.4728539570297,1549.13537928741,1076
"2057/2058",2058,120,120,100,83.0956785075432,2113.56462214561,675
"2058/2059",2059,120,120,100,71.1289958302787,1235.69371860567,1250
"2059/2060",2060,120,120,100,77.6504080565537,3202.21220008703,843
"2060/2061",2061,121,121,100,79.3836307899146,4048.66960411519,721
"2061/2062",2062,120,120,100,70.2582177979966,895.807634303812,1254
"2062/2063",2063,120,120,100,75.4784107233536,1284.11299381405,1094
"2063/2064",2064,120,120,100,76.1931776587517,2016.19961307943,1089
"2064/2065",2065,121,121,100,81.5436399981481,1693.49585024873,789
"2065/2066",2066,120,120,100,84.5397142753391,1624.7846379946,626
"2066/2067",2067,120,120,100,72.7916192815555,1100.13220768608,1213
"2067/2068",2068,120,120,100,84.1869916613505,3335.70960859442,623
"2068/2069",2069,121,121,100,77.8799640799898,1985.53380800737,999
"2069/2070",2070,120,120,100,76.3775260528291,1945.42883938551,836
"2070/2071",2071,120,120,100,78.3282543886598,2321.87867250992,888
