"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.1710916244934,182.932392033626,73.1047123320003,49.8848467751175,91.0132391055011,1808.34850208104,1579,1552.13852127791,1666,1598.5,1300,1575.5,81.4877560369062
"2002/2003",2003,120,120,100,47.9352126668792,201.207864867314,83.418369313406,64.258386342302,99.6528207150702,1842.18453150263,1575,1407.11002089211,1722.5,1535,1591,1530,80.8012417475158
"2003/2004",2004,120,120,100,60.7779353925566,250.269732934037,70.4214166507519,71.8327334630371,97.4573049738087,2148.71955853905,1888.5,1776.13935615779,1986,1906.5,1670,1903.5,89.0819170965428
"2004/2005",2005,121,121,100,47.7659685833405,209.736057356418,65.9763354773605,59.4565302405633,93.3757874256635,1998.91853813684,1841,1735.23459131092,1865.5,1836,1454,1816,87.8632369273708
"2005/2006",2006,120,120,100,48.0807522295157,205.141103826817,75.2004956235893,57.8252169086624,93.0831873380331,1940.95602044025,1780.5,1656.26461983304,1843,1759.5,1531,1755.5,84.130460485489
"2006/2007",2007,120,120,100,49.9204095094996,251.313617934017,71.2269150405929,63.229729981527,96.6329611146074,1937.90346975993,1685.5,1563.14158782421,1813,1663.5,1499,1658,83.706087554528
"2007/2008",2008,120,120,100,55.0155972857408,224.025834309577,84.0762377254506,70.7454554678094,100.568579918607,1982.8416406697,1673.5,1436.35785060304,1858,1583,1779,1581.5,78.9096324508362
"2008/2009",2009,121,121,100,46.3460541440983,224.726525492659,68.9769263135004,55.2136144964209,92.5206912619296,1952.49255234977,1779.5,1659.13531352758,1811.5,1783.5,1449,1759.5,84.8254034024883
"2009/2010",2010,120,120,100,61.2117811863107,247.631343293613,71.0296791382328,71.1196749631756,96.7348199721262,2239.83421765435,2023,1831.2435187974,2088,1983,1846,1979,88.5180875286671
"2010/2011",2011,120,120,100,58.2344342575454,238.149079286371,73.3412780192675,67.5519770218807,96.153490763548,2144.26346632327,1937.5,1790.86636937392,1997,1939,1684,1935,85.2555351195419
"2011/2012",2012,120,120,100,40.9090494341271,175.852434241053,82.6702658350801,54.9331768691422,96.0405750169949,1693.82222441491,1443,1307.18203463666,1575,1415.5,1345,1400,74.5603785341348
