"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.6987455712091,146.233273110784,68.5919433894657,46.007340999266,87.3558089078682,1807.36182643614,1662.5,1614.78248128215,1668,1660.5,1180,1623.5,79.8861720697428
"2002/2003",2003,120,120,100,46.7944799352952,182.161626723589,78.3672639135902,62.2469290111661,97.5032222181593,1967.0407117439,1740.5,1601.94149490943,1815,1716.5,1567,1710,84.4758348724114
"2003/2004",2004,120,120,100,53.8006127438657,216.393440431487,66.5256444307185,61.7666746009305,92.2544022084393,2145.38981757273,1934.5,1929.99826148333,1968,1992,1546,1985.5,88.8125598381814
"2004/2005",2005,121,121,100,44.8827250181079,178.892231192894,62.2889584823183,52.9513346522902,88.0984786219274,1929.13793330751,1809.5,1771.74492991672,1796,1828.5,1303,1787,86.6208873730883
"2005/2006",2006,120,120,100,43.8042446458234,165.537806953942,70.6737030796701,50.4774634298577,89.7698383379651,1941.72684117734,1863,1798.63566043346,1822.5,1880.5,1377,1873,84.4049307540355
"2006/2007",2007,120,120,100,44.4434628174925,217.792241588563,67.3359548349352,54.9383631476798,92.1226829819184,1967.52701665801,1818,1714.87061072993,1866.5,1785,1455,1776.5,84.1455585548889
"2007/2008",2008,120,120,100,51.1680317041153,189.096016093628,79.049916140948,63.3484233542267,97.1647198528312,2093.2646290701,1880,1702.76140918901,1957,1858,1727,1855,84.942326784198
"2008/2009",2009,121,121,100,41.0973865799026,185.44829704899,64.8297740764671,49.023611588099,88.5745243301908,1943.15594146236,1795.5,1753.2894207627,1782,1835.5,1332,1793.5,84.3029457787122
"2009/2010",2010,120,120,100,53.8213765959029,203.718775825968,66.7737091939997,60.8532662201297,91.9895019207105,2260.38770122683,2120.5,2044.01039107698,2097,2174.5,1645,2167.5,91.1320659667163
"2010/2011",2011,120,120,100,50.5174400477571,191.302690455171,69.0059871253236,57.8129064735906,91.5041437546682,2132.16606868975,1997,1953.2647851628,1988.5,2036.5,1557,2031.5,87.9367825490331
"2011/2012",2012,120,120,100,40.9458398983856,154.997442279401,77.2269606641748,54.671150900623,93.9341506978522,1808.01927468141,1569,1460.26828863069,1649,1555.5,1345,1530.5,78.2645668256737
"2012/2013",2013,121,121,100,54.0475223323063,216.074327431015,70.4632549585591,63.0748716954399,94.0277335172877,2134.86926289454,1995.5,1887.94203096449,1984,2003,1589,1994.5,89.3574812394695
"2013/2014",2014,120,120,100,33.1647767469318,133.45745100133,82.0411984162342,50.4762660101256,94.8056727984149,1531.20635921499,1311,1219.60406225643,1445.5,1260,1154,1243,73.4156528058663
"2014/2015",2015,120,120,100,45.2082332931347,168.114476263625,68.9365192261166,54.1328437649466,90.0970849564484,1966.51673478338,1837.5,1738.73642806975,1830.5,1851,1459,1819.5,84.0231186163037
"2015/2016",2016,120,120,100,40.3242978229529,153.596010331787,71.3807153750602,52.6254397901201,92.3856018414739,1865.63365559342,1752,1625.17865361862,1759.5,1706.5,1402,1694,80.7608166649297
"2016/2017",2017,121,121,100,38.8282076236386,168.047391790239,68.092881519406,50.8269330181376,90.7056996882228,1843.13842021482,1662,1540.35398726513,1680,1658.5,1343,1593,78.444674515631
