"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.723652713039,163.575898090571,66.8880185691651,44.5328219043178,86.8931418528706,1741.03076680353,1578.5,1529.41455235087,1598,1572,1157,1526.5,78.7657262825983
"2002/2003",2003,120,120,100,46.6246366054995,203.635016112894,76.2732736403786,61.3671873871149,97.1715886611941,1925.63603157002,1704,1579.27225028926,1781,1677,1534,1667,84.3777372848443
"2003/2004",2004,120,120,100,53.3118053658033,244.570159769493,64.4867190760486,61.4531260175517,92.2526248478663,2099.57113265821,1887,1871.58460400305,1946,1925,1533,1915.5,88.3443469030024
"2004/2005",2005,121,121,100,43.7363320449446,198.906204161155,60.4710519774268,51.7534689978562,87.9000909144605,1892.0052076658,1762.5,1710.19719262055,1744,1794,1269,1744,84.6040803957084
"2005/2006",2006,120,120,100,42.3397378436511,184.913273337309,69.0112173775742,48.4290647105249,88.7750152038859,1875.50287147744,1797.5,1716.28766629582,1764,1786.5,1352,1774.5,83.4805517884812
"2006/2007",2007,120,120,100,44.5419275997455,244.894086387593,65.2163814169708,55.9442236478463,92.3324434134299,1919.85119322642,1755.5,1627.68884569142,1824,1712.5,1444,1697,83.7813531226054
"2007/2008",2008,120,120,100,52.6221918038909,216.998577437811,77.0747514338618,64.4898663888719,97.1107674298708,2072.41524696142,1877.5,1663.48294981005,1957.5,1814.5,1734,1811,85.498108384191
"2008/2009",2009,121,121,100,39.0270594196961,205.310697700804,63.1403935399393,46.6901981927259,87.8035691513889,1887.04716907789,1743.5,1675.80864484906,1721,1791,1284,1728,82.8866628136623
"2009/2010",2010,120,120,100,52.8803754920123,228.603800959999,65.1157216281471,59.9121566362464,91.6952326020454,2201.28024233538,2073,1964.72826957921,2040.5,2103.5,1590,2093.5,87.8880992281795
"2010/2011",2011,120,120,100,48.8509942896573,217.051772661762,67.2673359332627,55.6210424595055,91.1259729598677,2071.12758681845,1936.5,1878.99537773119,1941,1965,1496,1956,85.4250530162351
"2011/2012",2012,120,120,100,40.048030373287,170.467186290333,75.6989607649757,52.6944057923251,93.0239650684797,1747.33638298135,1519,1405.99046985092,1598,1505,1335,1471,77.4765692665799
"2012/2013",2013,121,121,100,53.0770157961721,236.863450164148,68.568343422713,61.8387126192266,93.5797234607092,2061.94397253575,1914,1818.78878321802,1912,1926,1527,1913.5,87.9437654694741
"2013/2014",2014,120,120,100,31.7034440080152,142.609798716353,80.1736576911216,49.1942858057706,94.0970503160661,1473.99682948533,1282,1185.14990826731,1393.5,1243,1082,1223.5,74.5934900778182
"2014/2015",2015,120,120,100,45.0071479060092,190.355799300505,67.1961721684406,53.0492477989871,89.4312904644299,1924.49145661542,1794,1681.02654167889,1781.5,1816.5,1408,1775.5,83.8692681411171
"2015/2016",2016,120,120,100,39.1978587826037,170.653705210251,69.6485243051815,51.1921383940902,91.6020025874301,1804.28536678114,1704,1552.40863792095,1725,1639,1381,1620,79.1171682434231
"2016/2017",2017,121,121,100,39.540731881132,192.443228449911,65.9899122382354,50.9091929990113,90.4403345176823,1813.77073985341,1626.5,1493.63106500376,1640,1632.5,1337,1555,78.285697011549
"2017/2018",2018,120,120,100,47.5995152122787,194.394437755594,75.3903552146903,59.9129200767893,93.142937378591,1828.42231504185,1616.5,1480.62267771432,1696.5,1598,1411,1567,80.2596225497896
