"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.6274830915165,148.735408399494,64.9097645929288,42.2522665670617,85.7020683223208,1838.68981173458,1718.5,1687.00272675485,1679.5,1759.5,1178,1713,83.4010429409522
"2002/2003",2003,120,120,100,47.3112368360251,189.785889280705,74.7133812481343,60.9180735156216,95.7997758757565,1963.12744886014,1748.5,1632.71628918765,1821.5,1760,1508,1745,85.7949994644828
"2003/2004",2004,120,120,100,50.4377187546858,215.393625293353,63.2560730768172,56.350564380026,89.9783932533887,2111.28501715303,1950.5,1942.64202377631,1947,2002.5,1429,1987,90.0290983396629
"2004/2005",2005,121,121,100,44.2434244063549,188.703574650808,59.1847854840823,49.6070414990573,85.4221436584111,1862.00054360263,1773,1719.27205130483,1743.5,1803,1251,1734.5,82.0826251362047
"2005/2006",2006,120,120,100,41.8678636270798,172.663527662256,66.8412661845491,47.5385114139359,88.3771102034009,1920.49298804872,1837,1808.30971147437,1805,1863.5,1337,1850.5,83.2641028888322
"2006/2007",2007,120,120,100,41.9228831828113,221.907770644799,63.8330798621251,50.9989584087807,90.0032299551152,1990.82498938323,1864,1786.55265750021,1888,1854,1453,1838.5,86.410509001655
"2007/2008",2008,120,120,100,49.613945133461,194.473097143937,75.0968691111799,60.7636236218315,95.7934658241884,2100.99902821999,1911.5,1773.0053844708,1959,1905.5,1682,1897,87.1840931303132
"2008/2009",2009,121,121,100,39.2065059525194,187.601971521139,61.4315317550125,46.7530877854012,86.5697004323338,1873.4459706308,1752,1695.54618776835,1716,1793.5,1276,1728.5,84.0794634250901
"2009/2010",2010,120,120,100,48.817464776594,207.331084671989,63.4705858984679,54.7839434354922,89.3877199407427,2172.97922162555,2064.5,2026.97217804362,2033.5,2109,1546,2094.5,88.3725083988325
"2010/2011",2011,120,120,100,49.3581726957785,193.076495970161,65.4655976971109,54.4425887960957,89.5584690507406,2107.02704780114,2019.5,1972.27593801374,1986.5,2043.5,1494,2032.5,86.7719195206159
"2011/2012",2012,120,120,100,40.9474405161781,167.668081141496,73.3099084542311,53.8644697527827,92.964133299262,1839.43710161788,1594,1495.66209189149,1707,1593,1378,1559.5,79.2944326085392
"2012/2013",2013,121,121,100,53.3726993194951,227.862507503819,66.7745647688699,58.9019367466419,91.9111374916443,2131.00813718262,2008,1946.70542962054,1964,2057,1523,2045,88.8112854033084
"2013/2014",2014,120,120,100,36.652508014158,151.725308956821,77.5509747971639,53.5075583378624,94.8645401234039,1658.68666029836,1438.5,1350.74922891748,1554.5,1382,1245,1366.5,78.7303600362495
"2014/2015",2015,120,120,100,42.2973750716478,171.51471146038,65.2888710627756,49.0854127726178,88.1957676275207,1967.7083548931,1870,1808.80315449568,1841,1904,1381,1871,84.4971067535919
