"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.9071139473518,179.904134980815,71.0894343155624,48.8692654397226,89.9550841691438,1797.3100852609,1587.5,1546.14677722504,1658,1604,1282,1574.5,80.8084248289745
"2002/2003",2003,120,120,100,46.9833882341143,201.224264167552,81.17956090369,62.6645291604964,98.9782386144451,1856.15987419642,1609,1444.01632715004,1736,1572,1567,1566,80.826842222563
"2003/2004",2004,120,120,100,60.0798524167486,253.015361105655,68.5132404574654,69.5517305284296,95.9458502517608,2141.81338001656,1901.5,1811.43434840186,1976,1927,1643,1924,88.6158196617025
"2004/2005",2005,121,121,100,48.0987889603187,215.145699254509,64.0191338442625,58.3903764452001,92.0021831865029,2000.13181967014,1835.5,1756.22691418743,1855.5,1858.5,1431,1830.5,86.6730873185156
"2005/2006",2006,120,120,100,47.7365337288463,211.62863049965,72.9758533679217,57.2330201089601,92.5841324188153,1938.12212558215,1792,1667.37112985639,1837.5,1775,1521,1768,83.1379032482179
"2006/2007",2007,120,120,100,48.4153426479,254.679627079689,69.3413780483066,60.0800960360442,94.9680127771279,1932.78301147958,1721,1594.11908403308,1823.5,1678.5,1509,1671,84.291671928601
"2007/2008",2008,120,120,100,53.1879804298827,222.469727924178,81.8377323717049,67.9609063404117,99.625745048689,1991.34664998878,1714,1486.86044910658,1870.5,1648,1745,1645.5,80.8687875462351
"2008/2009",2009,121,121,100,45.107517784486,227.593803921216,66.7160361526223,54.2931005029198,91.8088353862448,1966.34584567507,1799.5,1683.70405928574,1815,1817.5,1419,1788,84.8300516684501
"2009/2010",2010,120,120,100,60.9531670244251,252.848363646008,68.9727391440613,69.4662996986304,95.4966695831254,2267.38604622121,2072,1895.08920465596,2099.5,2063,1808,2059,88.9737781608819
"2010/2011",2011,120,120,100,56.3676857533941,240.372719457936,71.1139146127484,66.1350273210535,95.1987374586176,2131.20909779346,1935,1807.15490760493,2009,1923.5,1665,1919.5,85.589273129006
"2011/2012",2012,120,120,100,40.7728442455404,182.851934366154,80.2613403747032,54.5541943447415,95.5328936999257,1730.21498868091,1491.5,1354.41542548286,1606.5,1449.5,1378,1431,77.1314213419605
"2012/2013",2013,121,121,100,58.4783841786537,252.479500925558,72.6252348483845,69.8737152633465,97.5295057658591,2100.88317942979,1896,1727.44144894878,1971.5,1862,1712,1854,86.4892786345076
"2013/2014",2014,120,120,100,29.4102911447267,132.079150330963,84.892654841346,46.1274370610957,95.8322518996053,1452.03026139413,1223.5,1158.02653757587,1337.5,1205.5,1047,1192.5,74.4445379391273
"2014/2015",2015,120,120,100,49.2271273187908,206.415910937153,71.3582739728784,58.5264479269659,92.6540572550164,1968.01771066694,1819,1653.25857735579,1856.5,1806.5,1543,1779,82.79133310833
"2015/2016",2016,120,120,100,42.1947662631042,179.290153374288,73.848431127737,54.8621699422648,94.256313699381,1829.71699195642,1648.5,1527.10543006033,1741,1611,1449,1605,82.3903772520803
"2016/2017",2017,121,121,100,40.0432440473707,197.782526726057,70.1875800207968,53.5837042744341,93.1211005637539,1812.06113627058,1596.5,1470.70351463119,1677.5,1585.5,1382,1533.5,79.8292274194796
"2017/2018",2018,120,120,100,48.1409465377726,199.761170840004,79.8417342062118,62.8330931937051,95.9006892100577,1840.64227558698,1603,1436.32324911322,1703.5,1562,1497,1550.5,80.6499679175622
"2018/2019",2019,120,120,100,48.3731678885673,180.143277610691,75.8621013602614,62.1656116113367,95.8885591959831,1950.88443207,1710.5,1594.48183158135,1808.5,1696.5,1528,1681.5,83.3650105908387
"2019/2020",2020,120,120,100,43.7880924276387,199.060377012568,64.7125125825676,53.0937119163235,90.6987570731389,1960.67970136246,1812.5,1736.66481496334,1816,1852,1427,1809.5,85.0046381134562
"2020/2021",2021,121,121,100,52.7608816052292,224.869004639249,78.7679320481971,70.0733623444966,100.420226742531,1867.51744354486,1578.5,1416.74816494053,1742,1533,1555,1530.5,82.1355013494071
"2021/2022",2022,120,120,100,44.4191911293702,178.792067404181,75.0012999010879,58.7379020453047,93.78688735424,1749.7443340977,1491,1290.37532906202,1587,1485.5,1412,1414,74.620884104997
"2022/2023",2023,120,120,100,55.2084038713987,210.925328629079,71.0107212981572,68.2960364859363,96.6348630719956,2168.44457101099,1976.5,1787.40324438151,2044.5,1926.5,1798,1922,87.4040323245417
"2023/2024",2024,120,120,100,48.7993763620928,231.919906359372,62.424711789006,57.0924705911008,90.4443645250392,2065.32120209814,1920.5,1788.63085248768,1913,1928.5,1532,1885,86.2671495832615
