"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.0712057066774,158.945391224854,69.7219403937586,45.4519948291845,88.0381854776566,1744.42897179497,1559.5,1534.88331582985,1606.5,1558,1172,1523,79.7887973094635
"2002/2003",2003,120,120,100,46.2404364328601,195.894029240203,79.3267747359579,61.0663031578718,97.6799531507164,1900.08673618723,1662,1538.32916230204,1769,1646,1555,1639.5,82.0478613939479
"2003/2004",2004,120,120,100,56.6005979048591,243.762716778538,66.907016558257,65.3184308970285,94.1091098136701,2145.35997936344,1915.5,1869.50716540513,1985,1948.5,1615,1944.5,88.7973793273388
"2004/2005",2005,121,121,100,45.0597372574243,198.326892078756,62.7097622483298,54.137951162379,89.8117446974128,1950.09718032853,1818.5,1752.80584860088,1807,1839,1327,1808,86.3167721751853
"2005/2006",2006,120,120,100,43.9280735691202,184.822842980909,71.7485014807858,51.269128402993,90.1660356331421,1894.53694348772,1801.5,1695.86655073414,1799.5,1779.5,1451,1769.5,83.6671008243475
"2006/2007",2007,120,120,100,46.3318895964727,240.155693873928,67.7422952701463,58.5800227616073,93.9980170862284,1940.57554568876,1741.5,1618.28108022819,1842,1703.5,1482,1693,83.3694324854317
"2007/2008",2008,120,120,100,53.6785144921966,214.053440690174,80.004069201695,66.8829879466349,98.361629368784,2059.72100381885,1818,1599.62631878197,1932.5,1756,1763,1754.5,83.0131963331197
"2008/2009",2009,121,121,100,40.8584352985146,203.472857030985,65.6874240105973,48.7757731450273,89.2089614822428,1913.4940822191,1764,1688.93482543265,1761.5,1799.5,1335,1754,84.243240428189
"2009/2010",2010,120,120,100,55.2108622829388,228.191533269485,67.5978632581904,63.5931376886289,93.3442588690659,2224.35809625481,2084,1934.44712124746,2069,2080.5,1696,2075,88.3134653014122
"2010/2011",2011,120,120,100,51.5931682674322,217.795694459653,69.8106926961469,59.5175072901586,92.8061642406798,2106.23238716648,1940,1868.36598493707,1981.5,1974,1552,1967,85.3574438735434
"2011/2012",2012,120,120,100,40.0381605476509,166.500832550262,78.784757028958,52.534990303546,93.5916874725384,1721.416782363,1486.5,1372.06306400998,1575.5,1465,1345,1434,76.7919109271022
"2012/2013",2013,121,121,100,55.4645339723344,234.088337824036,71.1814030750236,65.3142051012705,95.2920099873311,2092.96290988015,1913.5,1801.09456193931,1936.5,1921,1612,1914,87.0559223816206
"2013/2014",2014,120,120,100,29.5730761274088,129.756256258878,83.3021889031701,46.9470513022899,94.6387188573082,1455.42165954471,1265,1174.45284525091,1363,1219.5,1054,1203,73.1450611358355
"2014/2015",2015,120,120,100,47.0711243317155,187.585262770268,69.9069502835609,54.6872629341229,90.4797360727132,1943.2948659817,1822.5,1688.83884345541,1819,1814.5,1445,1782,80.7996056373247
"2015/2016",2016,120,120,100,40.4893664149443,164.091763779325,72.3608341275005,52.6287584138493,92.569310068698,1794.16242676463,1660,1521.5154918719,1712.5,1610.5,1396,1598.5,79.8600557230732
"2016/2017",2017,121,121,100,41.0909675251024,189.92832029544,68.5329485955228,52.8093756198176,91.7905162517208,1829.54550363803,1635,1502.52360994648,1676.5,1620,1379,1557.5,77.7986402588608
"2017/2018",2018,120,120,100,47.0352075949498,186.712947667075,78.4330894275616,61.0498763578433,94.264521081919,1819.30633267932,1596,1443.86516726643,1693,1557,1432,1534.5,79.4338360977004
"2018/2019",2019,120,120,100,47.5402581112399,173.971148471256,74.0519200372433,60.2174441651295,94.5943166530553,1945.01131094154,1709.5,1629.67094150194,1809.5,1688,1491,1671,84.7281883591208
"2019/2020",2020,120,120,100,41.1189461774875,174.968431861021,63.2453199421637,50.4058934686577,88.9600456421512,1929.07722885042,1790,1743.47071052656,1764,1840.5,1308,1790.5,85.1006212407569
"2020/2021",2021,121,121,100,52.0035146547677,214.384794516037,77.3110516257607,67.2995682982008,98.3768775444251,1875.01014049541,1620.5,1490.99578064527,1741,1585,1505,1579.5,83.2435577910805
"2021/2022",2022,120,120,100,41.0096538719485,161.014025810198,73.5952465180309,54.583932426753,91.7548174790115,1706.08379059078,1466.5,1288.76728914228,1542,1485,1327,1398.5,76.106426090103
"2022/2023",2023,120,120,100,51.1370699774161,181.587038947449,69.6391483676636,63.0386879390536,94.131117290023,2100.10512235248,1947.5,1793.72244954866,1973.5,1920.5,1635,1913,85.8483425786881
"2023/2024",2024,120,120,100,47.4364763763031,215.235670494415,60.9791701500516,54.1011291851408,88.443218696169,2041.46432733054,1904.5,1807.67178065458,1902.5,1940.5,1480,1890,84.9886197862343
"2024/2025",2025,121,121,100,55.0299002118583,217.105132327967,71.4918874900887,64.7082885481288,95.1796327384019,2166.1519373006,1979.5,1854.64950072643,2014,1967.5,1664,1964,87.2526724494928
"2025/2026",2026,120,120,100,39.4298661535945,173.144535809383,88.8731434415802,56.2119813858613,97.9679248163087,1616.06870637306,1330,1155.32209673548,1495.5,1242,1381,1235.5,74.6840736135487
"2026/2027",2027,120,120,100,46.3385137777481,214.766791422228,64.7417662238117,56.8227017312594,91.5518685090287,1993.51184307391,1873,1766.4861962228,1874.5,1862,1470,1846.5,85.6597497068692
"2027/2028",2028,120,120,100,53.0707542694593,181.369759239928,82.9582567885941,68.8003540079903,99.176796636301,1975.60633692278,1693,1515.53154212544,1846.5,1652,1642,1650.5,82.3242227682194
"2028/2029",2029,121,121,100,45.644741099309,212.078085338549,69.6850563905451,57.7183165428522,93.3349897832115,1859.98127874454,1693,1502.67676537549,1726,1624,1451,1591.5,81.8460681525935
"2029/2030",2030,120,120,100,44.0187860428237,187.002985914463,73.3445197677918,56.5883634603388,94.3601709212086,1870.74116998792,1629.5,1537.99048421775,1719,1631,1410,1609,81.8620947601212
"2030/2031",2031,120,120,100,52.6486550349761,239.000566451551,70.1038501435481,62.3939852326992,93.6510760246286,1957.46634793666,1763,1670.13840930181,1821,1765.5,1511,1748,85.0926848135164
"2031/2032",2032,120,120,100,47.2666475431735,214.865875965105,64.4190888463013,55.6995838963179,90.6620138569272,1961.93537382121,1830.5,1778.01812458739,1825.5,1842,1384,1827.5,86.7716258450728
"2032/2033",2033,121,121,100,49.401648069894,191.681264255485,80.9512880000073,63.7066947394374,99.0063791503142,1908.4622676764,1660,1519.03004979027,1762,1628,1523,1628,82.7066486273325
"2033/2034",2034,120,120,100,45.4783146898052,200.866790105193,76.9184143923776,59.4098340767213,94.1424853993071,1781.49592844304,1526.5,1348.82484311356,1640.5,1500.5,1446,1459.5,76.6007893706619
"2034/2035",2035,120,120,100,42.363126096244,169.279782076596,75.2209659621321,55.2054452912648,93.1968733569854,1785.72855684884,1570,1413.70550304892,1655.5,1526.5,1433,1483,76.5766891613503
"2035/2036",2036,120,120,100,45.559803402045,186.353169278024,72.5003219376958,55.4454712639581,91.9281830163234,1910.30430742275,1724.5,1671.35280033471,1771.5,1726.5,1400,1714.5,83.9734354473103
"2036/2037",2037,121,121,100,46.6463876389246,191.422444984367,78.7988270539006,64.0863406286665,98.6616346411139,1897.1424271632,1609.5,1473.75741328258,1759.5,1569.5,1550,1553.5,82.9382290979347
"2037/2038",2038,120,120,100,45.2129977103129,178.195187076803,70.8548402172054,54.6685660028899,91.1896740315213,1872.9519667289,1747.5,1615.8472561885,1760.5,1706,1425,1687,80.8704632434001
"2038/2039",2039,120,120,100,36.2920945088893,170.13600117168,62.2948721433416,44.4052813950826,87.2400020614603,1977.11353649909,1901.5,1902.98371125784,1860.5,1939,1308,1922.5,89.8104430705398
"2039/2040",2040,120,120,100,55.1597241792362,214.315649091122,66.9067886932576,63.7062381036714,92.5317331441121,2073.12539783199,1891,1736.00334305887,1919.5,1895.5,1567,1860.5,83.7117635307541
