"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.1297137593871,186.092155492896,72.3746088925995,49.4850741991267,90.7897551739424,1805.6263365631,1585,1544.78394556517,1663,1603,1297,1576.5,81.6200525550764
"2002/2003",2003,120,120,100,47.6386477463693,204.711152345595,82.6298458437748,63.4934422920823,99.4230617220326,1834.50227130889,1583.5,1403.86553912232,1711,1527,1577,1521.5,81.0883525234755
"2003/2004",2004,120,120,100,61.6644804656005,256.850434611065,69.6776655370221,71.8298790875323,97.1851323744488,2143.4751287133,1894,1778.09424014929,1986.5,1907,1661,1904,87.8364021825192
"2004/2005",2005,121,121,100,48.8093682150845,218.352090254515,65.1409023076485,59.9816564845145,93.2265809324527,2009.12083055724,1848.5,1742.44002553372,1869.5,1854,1461,1831,87.2533919052053
"2005/2006",2006,120,120,100,48.1955009175192,213.394242753349,74.2664858746649,58.3633489379708,93.2721346235664,1938.05676422379,1778.5,1643.68846377064,1838.5,1749.5,1530,1745.5,83.9845303445127
"2006/2007",2007,120,120,100,49.9824955728852,258.662440658664,70.4739917214699,62.3996561777203,96.1537908362961,1934.14145273362,1703,1567.12949065877,1806,1655.5,1506,1650,82.2992055388886
"2007/2008",2008,120,120,100,54.2038554725296,228.472198291266,83.2366106362571,69.9709085414979,100.399489402128,1972.04742384686,1668,1432.63786658471,1849.5,1588.5,1756,1587,79.9855568156839
"2008/2009",2009,121,121,100,45.7916229090978,231.371272355304,68.0197996390636,55.2475562377815,92.5942046940268,1956.54517591486,1781.5,1657.21624711866,1811.5,1796,1458,1772.5,84.2721264402512
"2009/2010",2010,120,120,100,62.0621855297359,257.096672769879,70.203829564942,71.4627386046774,96.5679681018439,2249.68352528678,2044,1841.10233377882,2100.5,1992,1858,1988,88.7922276246632
"2010/2011",2011,120,120,100,58.2219118581899,246.029354688749,72.4136531174702,67.9802501249819,96.1857987276237,2138.45803946582,1920,1781.32597372105,2009.5,1918,1687,1914,85.3301856750752
"2011/2012",2012,120,120,100,40.834660495645,183.268745567543,81.803174828936,54.8252572960093,95.9964583914146,1700.503860128,1453.5,1313.28542233016,1575,1417,1364,1399.5,76.4832833646003
"2012/2013",2013,121,121,100,59.8424694650339,254.672137565532,73.8481561201741,72.0176527488508,98.4855050587237,2097.11893696299,1871,1697.1150009992,1952.5,1842.5,1729,1835.5,86.1024450248565
"2013/2014",2014,120,120,100,29.498936593288,132.584967128223,86.4051667239329,45.9388432886818,96.0876314677309,1453.92363369343,1221,1152.49620490261,1325.5,1203,1063,1193.5,73.6517953939613
"2014/2015",2015,120,120,100,50.8975547122181,214.178912330109,72.6132830969768,60.3741329165177,93.5334882626523,1974.06956660326,1817,1641.64131076311,1865.5,1794,1571,1774.5,82.7306757053473
"2015/2016",2016,120,120,100,43.324930458805,181.354001466863,75.1292818088198,55.6143674508105,94.8564995969584,1822.43199679121,1628.5,1503.41187906448,1719.5,1581,1449,1579,82.0626011344398
"2016/2017",2017,121,121,100,41.2581702996872,203.293283171056,71.3546954724548,54.8692422507128,94.0774097272648,1813.53524950466,1589,1461.50736307508,1682,1569,1428,1524,81.0528730144079
"2017/2018",2018,120,120,100,47.5276449852717,199.80287375671,81.3342376881538,63.1459395138884,96.5978133269932,1809.95133985944,1561,1387.30946028966,1680,1507.5,1488,1497.5,79.7278590457663
"2018/2019",2019,120,120,100,48.3749206796947,183.014595756707,77.1128093665864,63.3110436855685,96.9078946550942,1952.62943354081,1679,1574.39830988214,1795.5,1678,1538,1666,82.9169006181105
"2019/2020",2020,120,120,100,44.784743999541,204.723002229508,65.7677343138165,55.0056077694542,91.7935444180082,1981.48069474187,1827,1740.65392760059,1844.5,1859,1473,1823,85.5183019788283
"2020/2021",2021,121,121,100,52.1080332368244,222.377298917698,80.1905971221851,70.1034618354544,101.059896002962,1845.55430804397,1565.5,1388.27635238822,1718,1498,1533,1496.5,81.221300121671
"2021/2022",2022,120,120,100,43.354177792702,176.050349467429,76.2697775958932,58.3583814774239,94.406855955771,1732.56438468299,1475,1274.74347775611,1564,1466.5,1391,1401.5,74.454811626757
"2022/2023",2023,120,120,100,54.9271682983885,213.0302513752,72.2843272122396,69.1107367578553,97.6199366745401,2152.121001466,1947.5,1740.39251297621,2047,1891,1808,1888,86.7611628173977
"2023/2024",2024,120,120,100,51.3230796333802,242.111441095675,63.4389762668849,60.1289641180459,91.7632052929841,2091.26206888094,1933,1782.97533537873,1942,1925,1596,1887.5,85.2887926451453
"2024/2025",2025,121,121,100,54.2583594468555,230.756030303474,74.5584548996926,68.8765380219059,98.155009074645,2115.59274770686,1858.5,1710.66271239972,1980,1825,1740,1821.5,86.3916397933963
"2025/2026",2026,120,120,100,36.2074915176314,177.190255971005,92.9949073118804,51.9865953831304,98.0058485171932,1494.46958673216,1201,1046.88570956514,1384.5,1129,1260,1124.5,72.2821132173226
"2026/2027",2027,120,120,100,47.5580988929311,230.229188932098,67.3386380049163,60.9081118885957,94.6360401167588,2021.81634102248,1839.5,1716.41939843213,1887,1818.5,1538,1806,87.1075077000892
"2027/2028",2028,120,120,100,54.1775875545003,195.235773445267,86.1819977259382,72.9723809469231,101.996446422864,1933.60847834103,1600,1375.36853401841,1790.5,1517.5,1712,1517.5,80.8292939233793
"2028/2029",2029,121,121,100,48.4262106363037,237.740052497729,72.1738775163593,62.2327539541105,96.4024731036829,1869.91512025615,1636,1466.45116570588,1750.5,1570.5,1535,1555,81.9540470218317
"2029/2030",2030,120,120,100,44.4808073526152,200.052622812878,76.4902622366559,59.2547501658778,96.4664993412286,1842.70046416615,1599,1456.89159294114,1716,1577,1428,1558.5,81.6710236709405
"2030/2031",2031,120,120,100,55.2840389477365,248.873526504532,72.7451827447262,67.227539851978,96.5735919015226,1940.28852356481,1716,1570.76290461655,1800,1695,1546,1681.5,83.2231741667802
"2031/2032",2032,120,120,100,52.464012473431,244.73527842502,66.8321790499854,62.3572542413734,93.7363019208905,2022.2775639935,1868.5,1760.38097778969,1917.5,1859.5,1562,1851,86.3689329973813
"2032/2033",2033,121,121,100,48.3613645265019,198.216077863614,84.2127318669864,65.4959558029537,100.998137666329,1833.08273854932,1552.5,1391.45784557056,1693,1497.5,1553,1497.5,80.1721933672261
"2033/2034",2034,120,120,100,45.7801270750524,214.952555266334,79.7621478926263,61.4110716915364,96.1858360382684,1758.58151745419,1497.5,1300.97550159909,1637,1440,1468,1410.5,77.0350125875493
"2034/2035",2035,120,120,100,44.439249522817,185.787422863596,78.1876706528899,58.1956404061427,95.7453332892745,1778.52509671256,1530,1359.05985315118,1661.5,1480,1419,1450.5,77.3845505588324
"2035/2036",2036,120,120,100,47.0652788095911,206.963561510671,75.4875357639385,59.0233255592162,94.5708949204608,1919.99719359413,1691,1605.46173721958,1780,1692,1465,1685,83.9320468344404
"2036/2037",2037,121,121,100,46.723640478013,203.637733164884,81.805450025085,66.4843347864006,100.936016503593,1858.72681230165,1532.5,1376.62328664927,1721.5,1495.5,1593,1482.5,80.9034799054043
"2037/2038",2038,120,120,100,49.4196404992767,200.317171896202,73.3766327755231,60.5936592302966,94.3666515882998,1928.84404697336,1725,1606.32513173837,1804,1703,1543,1694.5,83.3838227275064
"2038/2039",2039,120,120,100,40.8881571315224,205.410639200734,64.8259467295449,50.71801563348,90.5488372279061,2055.05062078752,1935.5,1889.74333829081,1938.5,1958,1476,1946.5,87.7941634230237
"2039/2040",2040,120,120,100,56.5654904589061,231.429908348806,69.5207643875803,68.1206095278123,95.8439772612079,2088.29274489233,1868,1673.56729243227,1950,1838,1671,1813.5,85.7314728623642
"2040/2041",2041,121,121,100,52.5693120774235,233.360336535689,70.7262401634069,65.513211261881,96.4951833961676,2121.23363265034,1915,1754.10963551105,1983.5,1890.5,1715,1885.5,87.8825910916376
"2041/2042",2042,120,120,100,40.7212747572406,152.273319541037,72.1337734902195,47.4526438230091,87.7415878941209,1963.48671481267,1839,1839.62516162384,1805.5,1896.5,1317,1878,84.8647427934357
"2042/2043",2043,120,120,100,51.0551272883412,221.485443627374,80.582763910239,70.7291930800358,101.855318026334,1857.20304245359,1503,1321.92802241661,1728.5,1419,1587,1414,81.3231822226253
"2043/2044",2044,120,120,100,58.1086576096574,248.278014527106,69.5171978099405,66.6790202611208,95.178274711517,2155.61429459683,1960.5,1813.84403959577,2006.5,1954,1715,1940,87.6742522887544
"2044/2045",2045,121,121,100,48.9947474915341,207.380551118757,87.0289046576559,63.9613369167985,99.2940626359524,1812.61988618819,1535,1379.13863363797,1685,1494.5,1544,1490.5,80.1412492244026
"2045/2046",2046,120,120,100,46.5539409232977,212.039550352554,74.8289753995525,59.925615855746,95.7966180383968,1829.3765662045,1594,1410.33587398854,1687.5,1567.5,1473,1521.5,78.9744099333811
"2046/2047",2047,120,120,100,46.7218164134171,198.179521408772,83.684890845839,55.3313229928625,92.9267582569306,1846.87424357788,1691,1525.23158248572,1725.5,1662,1465,1651,80.7587775498814
"2047/2048",2048,120,120,100,56.7261535133099,217.687720957072,76.3539194591361,71.7912180230764,99.6042269858329,2084.86814478069,1814.5,1631.87751388801,1944,1764.5,1726,1764.5,84.9139627560671
"2048/2049",2049,121,121,100,55.723553091483,233.649115155773,77.8118236515878,71.9502347253019,101.600876778716,1942.78734279959,1652,1473.91573059269,1807,1610,1613,1607,80.7647852106238
"2049/2050",2050,120,120,100,60.2241151468193,241.313589337393,82.6986882203552,80.1510172796844,104.128104710402,1956.46212456236,1563.5,1327.97908793376,1838,1476.5,1795,1476.5,81.529339298645
"2050/2051",2051,120,120,100,50.3321509357069,218.211989387352,74.1288748017689,65.2207163555727,96.8945038527682,1839.75625774165,1539,1352.88734727192,1700.5,1461.5,1501,1439.5,79.5149213889399
