"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.2469569594294,194.107047673878,74.6360436866776,54.5264514860739,92.7483968163585,1867.39168679252,1638,1578.73254024332,1718.5,1632.5,1385,1619,81.8145871388904
"2002/2003",2003,120,120,100,49.092692521267,198.16067675499,85.4312692517677,66.1671724733453,100.777221331376,1821.65011729259,1538,1345.08621619033,1705.5,1478,1610,1474,77.9902508304229
"2003/2004",2004,120,120,100,60.1634006282236,246.901673388693,72.3773719382401,73.1278268274863,98.8569272997974,2133.90176984567,1874.5,1721.27862957454,1974,1862.5,1703,1860.5,85.812364499587
"2004/2005",2005,121,121,100,46.9917216692688,205.279434156749,67.9529095301795,59.719975302197,94.5474589250445,1976.38766500921,1800.5,1684.43968740329,1840,1798,1467,1779,87.0653022245513
"2005/2006",2006,120,120,100,50.2948479236711,208.85445311391,77.3004323034424,60.6573167588909,94.0979078108953,1959.71079007621,1778.5,1642.26048533712,1854.5,1755,1569,1752,83.5639050511691
"2006/2007",2007,120,120,100,52.022583592351,250.87622345398,73.0866783889602,65.2602691363232,97.8789224088885,1942.79975404926,1668.5,1535.25527709282,1803.5,1636.5,1530,1632,82.2536902504503
"2007/2008",2008,120,120,100,56.519437241431,222.865198131917,86.2059579114376,72.2982880332518,101.297016805334,1949.04281611805,1627,1374.92177859935,1818.5,1541.5,1787,1541.5,77.7403748420163
"2008/2009",2009,121,121,100,48.9594183449485,227.950782819686,70.7728493802756,58.5583408427571,93.8627803520295,1953.95261183914,1768.5,1627.82483203605,1810,1759,1486,1738.5,83.5177299575553
"2009/2010",2010,120,120,100,62.3891016135674,246.824935230849,72.9679228274027,73.2653040601675,98.08842277325,2213.89031087027,1963,1755.44036522502,2040.5,1909,1835,1905,87.3633241410207
"2010/2011",2011,120,120,100,60.4671350732477,240.645823234998,75.4130887599642,69.9171311419951,97.2850466310456,2132.00788847316,1910,1735.70212454685,1982,1886.5,1734,1883.5,82.696207393433
"2011/2012",2012,120,120,100,41.6514493019157,174.489188460609,84.496564025892,56.3072840358445,97.2815746946523,1690.35579715059,1433,1284.9456726385,1573,1385.5,1359,1375.5,75.0783185961636
"2012/2013",2013,121,121,100,60.0097272511996,244.872261924049,76.8681877066638,73.4453779581637,99.7514853270062,2093.16695447634,1845.5,1658.46464458505,1968,1813,1775,1810.5,85.6091767125738
"2013/2014",2014,120,120,100,31.3884053813348,132.262761073654,89.6215799284515,47.9552554527892,96.8878943709838,1471.96659467096,1219,1150.4867132632,1328,1208.5,1097,1204.5,73.4816378319636
"2014/2015",2015,120,120,100,51.8507310591405,211.614613438498,75.0396869708612,63.5808705499289,95.5522779162878,1995.69981451685,1800.5,1618.83649667205,1872,1758.5,1621,1745.5,82.9829170035841
"2015/2016",2016,120,120,100,44.7339310381027,175.386005591425,78.0430511807688,56.5230610368282,95.7325930700627,1815.65828289089,1599.5,1463.82254077474,1722.5,1547,1439,1547,80.9700708593855
"2016/2017",2017,121,121,100,44.2612990264047,204.726164024851,73.8746989881125,58.3899963284179,95.7426595138772,1839.4898646716,1606.5,1464.78235902623,1715,1570.5,1464,1542.5,81.801957879386
"2017/2018",2018,120,120,100,46.9536049873194,193.100365624941,84.2731443938784,63.5141693901837,97.635250237013,1794.63270745325,1527,1354.27976476865,1669.5,1465.5,1483,1458,77.1685695254623
"2018/2019",2019,120,120,100,46.9737516410951,173.862012040223,79.774392697046,63.3207833438587,98.3465536596333,1930.14015379826,1642,1523.30174264276,1766.5,1632,1515,1623.5,82.8595989346923
"2019/2020",2020,120,120,100,45.4123955468613,198.625024715353,68.4383548579999,56.8409889494586,92.9432390507816,1981.52810235448,1826,1715.10075867203,1850,1832,1491,1807,84.8032788299133
"2020/2021",2021,121,121,100,49.4107447134724,204.211403029327,83.0300025811018,69.2616924385005,102.438201079252,1805.39333269777,1494.5,1317.01454941183,1676,1445,1522,1444.5,80.4994517709752
"2021/2022",2022,120,120,100,43.6287058063936,169.59895419652,79.2362628665051,57.301262766991,94.7717719749971,1717.36869465634,1476,1279.37335930386,1562,1441,1388,1392,75.6260209168631
"2022/2023",2023,120,120,100,55.4247402265406,206.877246349569,74.9231719695802,71.2467146563416,98.8363696729537,2158.8987823747,1950,1718.82611278888,2046,1880,1850,1878.5,87.1197891271077
"2023/2024",2024,120,120,100,53.6341046396045,241.859357284434,65.7959129679656,64.4698186172926,93.6245747157165,2119.94176783637,1934.5,1779.60330491815,1985.5,1930,1667,1909.5,86.2098224348415
"2024/2025",2025,121,121,100,55.4003778363514,225.326903236871,77.3416379027402,70.9222872876161,99.7104469237579,2104.21148329802,1821,1651.14944890805,1967.5,1774,1781,1772.5,85.1788693184594
"2025/2026",2026,120,120,100,34.7373346027032,167.584208847322,96.4114859050802,51.3309127620182,98.4649949111383,1436.22461866456,1136,981.520791427582,1334.5,1061,1203,1060.5,70.6977207596383
"2026/2027",2027,120,120,100,48.0811126622862,223.183858464051,69.9233491933083,62.6183689438673,96.1460754658546,2032.03178961184,1828,1702.35710988563,1894.5,1788.5,1582,1784.5,86.3431968800796
"2027/2028",2028,120,120,100,51.009433517854,178.982453153923,89.534482468547,70.6449449041273,102.244995946894,1844.70619274255,1511.5,1278.63484710042,1715,1406,1632,1406,78.1369620486771
"2028/2029",2029,121,121,100,47.0951519132559,222.859452741192,74.8541046481407,63.1091206301072,97.9615650559527,1858.13882173687,1604,1436.59217636818,1747,1532,1527,1526,81.971562146191
"2029/2030",2030,120,120,100,45.7310965586869,200.457402480839,79.0487709128709,62.5660725678599,98.0068297918103,1868.92387459194,1628,1458.16418401075,1736,1580.5,1476,1571,82.1868875933733
"2030/2031",2031,120,120,100,57.1893952844556,248.827000885265,75.4254727981286,70.772119261356,98.2954436031897,1972.74555651558,1717.5,1560.90003121088,1832,1706.5,1617,1703,84.9142236764856
"2031/2032",2032,120,120,100,52.2789474735791,234.494791034746,69.4520256471405,64.1764577643887,95.3247569133896,2016.16798573006,1836.5,1723.0338197224,1899,1816,1560,1812,86.7944417465687
"2032/2033",2033,121,121,100,47.5549837953982,187.349083387132,87.3788848846858,66.2332852528071,101.660473964237,1803.83338041366,1510.5,1332.55756484981,1678,1450.5,1568,1450.5,79.0019771685838
"2033/2034",2034,120,120,100,45.0314729207746,205.377382914798,82.7757955096231,61.0874061080555,97.1676612813444,1735.0099736811,1476,1265.27442535837,1628.5,1387,1467,1369,77.141059964375
"2034/2035",2035,120,120,100,44.4949399017162,179.3543248653,80.7962728877907,59.0398029705118,96.9132336989772,1769.98758140951,1524,1350.97326751165,1655,1461.5,1425,1444,78.3253905717684
"2035/2036",2036,120,120,100,48.6915107439563,203.135276742323,78.1459198408767,61.6933123902468,95.9008020454041,1932.27739278028,1680.5,1594.21981143342,1786.5,1688.5,1486,1686,82.4726245005386
"2036/2037",2037,121,121,100,44.0663408081316,186.754417136573,85.1480631465719,63.6404530203712,101.16424419897,1802.92594528926,1478,1311.61221775386,1676,1443.5,1524,1437,79.8510357125697
"2037/2038",2038,120,120,100,50.7078889004624,195.144046863495,76.2453084720603,61.4148869618695,95.0689819643858,1924.84453796066,1738,1592.58939485867,1810.5,1697,1541,1691.5,82.545238031903
