"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.8673686010641,164.302346175831,70.6033990274023,49.0865594709682,89.4092507364817,1872.69830779927,1694,1650.2235557989,1722,1706,1279,1679.5,83.1537249677685
"2002/2003",2003,120,120,100,49.2681667664302,190.701406738796,80.7668393048651,65.1916276559971,98.9163622154443,1942.33848206385,1698,1532.57066420511,1807.5,1655,1620,1649.5,82.6719122795815
"2003/2004",2004,120,120,100,56.8192720177007,227.566957748256,68.5161685259774,66.3522266957965,94.6816486938629,2170.92738299083,1932,1882.61169223975,1998.5,1975,1630,1971.5,89.6391679412247
"2004/2005",2005,121,121,100,45.5856532377518,185.959555369212,64.324113776342,55.7149575916169,90.3294733265495,1936.10380086005,1796.5,1729.36180013745,1813,1807.5,1347,1774.5,85.5984387055939
"2005/2006",2006,120,120,100,46.2259457904195,181.72909532025,73.1127414044778,53.4367393255592,90.974276450039,1958.9946820702,1858.5,1768.02997511598,1846.5,1852.5,1467,1847.5,85.1577487730698
"2006/2007",2007,120,120,100,47.8934613162837,233.013638000015,69.2105324940542,60.5359866394901,94.5405621362682,2004.50955261965,1802.5,1685.15264974722,1892.5,1761.5,1538,1755.5,84.8546374046726
"2007/2008",2008,120,120,100,55.5981928530209,206.457678043136,81.3970450662549,68.1948318896448,98.8377630012395,2084.52859044313,1848.5,1622.45441227169,1964,1793.5,1798,1792,83.0311790139095
"2008/2009",2009,121,121,100,43.8543958495342,197.632446009541,66.9828978622933,52.0889079327998,90.3407165038372,1939.50104909201,1786.5,1698.1690898464,1801.5,1808.5,1364,1771.5,83.4832682287479
"2009/2010",2010,120,120,100,56.6954270061384,219.213279293099,68.9182447902515,65.6163361920229,94.1123603369751,2247.79133537523,2074.5,1942.30155722013,2086.5,2099.5,1709,2093,88.5992115517508
"2010/2011",2011,120,120,100,54.256736763478,209.288590662587,71.2670889335458,61.872829147012,93.3389008439274,2151.8156343847,1992.5,1901.51033047539,2012.5,2022,1604,2017,85.814403147041
"2011/2012",2012,120,120,100,41.245746951868,163.36199494426,79.7263274809315,55.7520869207166,95.2719191401556,1776.78546097473,1528,1404.42195239954,1628.5,1498,1360,1479,76.7634764375646
"2012/2013",2013,121,121,100,56.7264229495878,227.71135838287,72.7227975241736,66.7145296478199,95.8728168331265,2149.18183098515,1973,1842.89984101478,2009,1975.5,1698,1970.5,87.5877947649749
"2013/2014",2014,120,120,100,33.7038333432036,135.213694560285,84.7488973319418,50.8047206116407,95.705571331441,1548.43149266753,1320,1231.62852537196,1457,1291.5,1137,1281,74.4590729166207
"2014/2015",2015,120,120,100,48.2367154063215,186.188587612563,70.949039559205,57.5753455349726,92.0866307362831,2011.35847404829,1868.5,1740.46001945989,1884.5,1869,1556,1850,83.4386822060217
"2015/2016",2016,120,120,100,41.4706965856643,160.288432490297,73.7897172856732,54.1484157759509,93.3360033631009,1849.62523357967,1697,1577.5562538764,1754.5,1658.5,1437,1655.5,81.1226466462194
"2016/2017",2017,121,121,100,42.1645429126189,183.252872907849,69.9419899645652,54.9095266257127,92.7225746678914,1880.16308789752,1673.5,1556.64753378723,1741,1663.5,1443,1613,81.1577500868075
"2017/2018",2018,120,120,100,48.7011801797702,183.791674598554,79.7127527466758,62.2043553538984,95.1001309311007,1887.25660196313,1661.5,1506.20680741133,1762,1627.5,1499,1615,77.5476585380866
"2018/2019",2019,120,120,100,47.3086528319654,163.195349463163,75.3166162569539,60.717363085257,95.3348125988562,1984.39565076137,1745,1660.7890970169,1829,1735,1476,1723.5,84.0327410155587
"2019/2020",2020,120,120,100,41.0841136967323,165.339203616436,64.7347948724291,49.9683728476666,89.3080527900258,1938.70570554459,1806.5,1769.95767441459,1788.5,1852.5,1344,1816.5,84.8827437949712
"2020/2021",2021,121,121,100,53.8230832494411,212.60317163884,78.5656323474784,70.0434264438859,99.796534253648,1936.76886610301,1670,1500.70345463266,1813.5,1610.5,1605,1607.5,83.2493730589181
"2021/2022",2022,120,120,100,43.202658271546,158.475271135723,74.8297893630413,55.5830514879719,92.2944091647201,1774.69463936494,1556,1387.08238426089,1621,1564,1382,1495,76.5906936318656
"2022/2023",2023,120,120,100,55.5935153228406,184.430272590033,70.7257156922887,66.1451267668194,94.9020707792937,2203.07530201276,2060.5,1904.191299584,2081.5,2045,1753,2042.5,89.2874035538757
"2023/2024",2024,120,120,100,48.8668586377364,208.205756150326,62.2581471986533,55.2483475123909,89.112544746976,2092.50919740173,1978.5,1874.90537826595,1953,1988.5,1508,1951.5,87.6175479292447
"2024/2025",2025,121,121,100,54.3114963788279,201.804537538428,73.0615980672966,66.0425096004113,96.0250933637624,2166.42955674703,1978,1824.94656567479,2036,1928.5,1719,1925,86.5441590721593
