"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.9873100852902,164.930316975768,69.9737907876801,47.403697459088,88.6373733113215,1771.14524311351,1580,1539.37082445081,1622.5,1576,1212,1540.5,80.5738076034744
"2002/2003",2003,120,120,100,46.7062980327583,196.465091694174,79.6756062162842,62.4451326132664,98.4096882352879,1906.47817729962,1662,1523.85647806928,1783.5,1631,1581,1625.5,82.7249907179618
"2003/2004",2004,120,120,100,56.289319709498,240.341330999249,67.5040145074309,65.2789497839875,94.2393803979904,2128.25276319489,1887,1846.17403377464,1949.5,1942,1566,1936.5,89.1154066842041
"2004/2005",2005,121,121,100,45.0310982821382,197.015211972875,63.1790282824373,54.9238099445045,90.2046205707851,1959.3858053361,1813.5,1758.44026415915,1812.5,1828.5,1351,1792,85.7064202628193
"2005/2006",2006,120,120,100,45.3668661925265,191.30913250941,72.0115959770926,53.1859071834266,90.9897061668835,1926.11679407776,1813,1713.72876866156,1824.5,1798,1476,1790,82.364546975347
"2006/2007",2007,120,120,100,45.6232318673723,238.600047951123,68.3523981022133,57.8098638049457,93.9056626371408,1922.07897694182,1735.5,1605.84570718049,1829,1687,1471,1677,84.1398966720924
"2007/2008",2008,120,120,100,52.7658836519166,209.848219281825,80.5777388991093,65.5609176072558,98.3420833096998,2034.39793246466,1799,1578.30544725965,1909,1736.5,1735,1735,83.4369639892971
"2008/2009",2009,121,121,100,43.39381361137,210.36745223191,65.8753621144961,51.2979336733193,90.0987768552479,1954.6176614199,1807.5,1713.00093223832,1816,1822.5,1391,1783,83.4851424834142
"2009/2010",2010,120,120,100,56.3690982255518,231.330984456229,67.9619804595685,65.0311065393085,93.8788144100721,2254.72450069663,2092.5,1951.25007809541,2096.5,2108,1736,2102.5,88.5418856158556
"2010/2011",2011,120,120,100,52.4380971579878,219.305164565867,70.2755961817397,60.7507945756665,93.1382152795983,2113.03738464836,1955.5,1863.19667272655,1986,1961.5,1580,1956.5,85.7390472786019
"2011/2012",2012,120,120,100,40.7256203561811,168.056560127472,78.961361932586,54.246037725087,94.4877966581218,1745.88358957308,1506,1381.77626955731,1595,1482.5,1359,1454,76.6358478648415
"2012/2013",2013,121,121,100,54.8665961831086,233.839290332149,71.7103536321763,65.7051185225341,95.7827543400232,2093.42771803372,1929.5,1784.55227625584,1957,1895.5,1634,1889.5,87.6054447963438
"2013/2014",2014,120,120,100,30.2979880057757,131.314921534984,83.7130907330127,47.5685895277002,95.0731807773443,1449.89829412487,1250,1147.85738968017,1364,1191.5,1062,1175,72.3757720777553
"2014/2015",2015,120,120,100,47.1278411787075,188.640344117318,70.2907847801614,56.3342058965592,91.3004168731383,1947.29499175531,1810,1658.57349152328,1828.5,1802,1495,1769.5,82.0560275357836
"2015/2016",2016,120,120,100,41.4181142389569,170.600527458104,72.6776362189037,54.1308834984649,93.2514802812047,1831.97405855247,1691,1543.74326145406,1733,1640.5,1440,1630,79.4430930789313
"2016/2017",2017,121,121,100,40.8568895402004,189.983813004271,69.1243440745323,53.5046602800894,92.0642078057134,1819.69209752583,1620.5,1483.4040696383,1664,1602.5,1367,1539,78.3136695967087
"2017/2018",2018,120,120,100,47.7483715340055,186.789164893647,78.8194484112148,61.3366899159284,94.5915318271828,1827.44706094897,1597.5,1443.4196788036,1685,1576,1442,1553.5,78.4465151436693
"2018/2019",2019,120,120,100,47.6680560801368,172.913417790741,74.5876270431601,60.5101046491184,94.7781377281938,1942.93836100714,1725.5,1614.63012363587,1813,1696.5,1474,1680.5,83.8616068498272
"2019/2020",2020,120,120,100,41.9556472086269,179.864045433124,63.6614931366081,51.4462339386312,89.4143692991761,1945.15654424465,1798.5,1752.42633501812,1771.5,1846.5,1338,1803,84.0559074658336
"2020/2021",2021,121,121,100,53.1675140862868,218.613082266492,77.6039310777201,69.1826607294162,99.171507577582,1891.77050256764,1620,1475.59016544741,1765.5,1579.5,1537,1577.5,82.0675340143621
"2021/2022",2022,120,120,100,42.990200186498,166.005575215569,74.1290772420226,56.1547464592333,92.0979798727312,1724.88702810794,1482,1289.62438099794,1570,1491.5,1378,1398.5,74.8475077382373
"2022/2023",2023,120,120,100,51.8646856744823,184.768994128504,69.9967641908057,63.7023187147019,94.6343811349575,2124.63853405062,1959.5,1817.70391576087,1994,1952,1666,1948.5,86.7860128385305
"2023/2024",2024,120,120,100,46.3176318344362,210.438637347766,61.5328837508767,53.5952721769621,88.7780916632818,2025.97231965588,1894.5,1787.23472978259,1881.5,1910.5,1449,1861.5,85.1722845221216
"2024/2025",2025,121,121,100,54.8421462255135,215.774083493155,72.0148384663027,65.0967388283433,95.7305386268672,2154.358046409,1943.5,1823.77348975442,2004.5,1930.5,1708,1927,87.5759398885307
"2025/2026",2026,120,120,100,38.0751294690705,170.221125407582,90.0887930790198,53.5300647009848,97.2090766604908,1571.34211936581,1296.5,1131.23146221572,1456.5,1223.5,1304,1217,74.1125135377456
"2026/2027",2027,120,120,100,45.8779994092992,213.282508524511,65.2064062679356,57.331573459262,91.8847941406211,1990.49517915388,1841.5,1760.42548189263,1871,1844,1471,1832,86.8882966807582
"2027/2028",2028,120,120,100,53.7702687931511,186.663082906882,83.3072880738462,70.4615640158559,99.8687675415351,2004.07720331707,1696,1515.95378507549,1870,1654.5,1692,1654.5,82.6953110114137
"2028/2029",2029,121,121,100,46.0244506690261,215.012765097159,70.0092066276409,59.0501382425713,94.1658657837694,1876.78691039664,1700.5,1506.24423435591,1749.5,1619,1479,1591.5,80.9637263279296
"2029/2030",2030,120,120,100,43.8413253385921,187.383913968434,73.8838344445558,56.9553312577013,94.7022877174904,1865.45521382139,1641,1518.9345715406,1721,1601.5,1397,1580.5,82.7974654644458
"2030/2031",2031,120,120,100,53.8149524947274,241.405703226411,70.4410784753382,63.8016597913945,94.2926813027661,1969.48726958956,1777.5,1659.50663198626,1840.5,1770,1546,1753.5,85.3556366404955
"2031/2032",2032,120,120,100,48.30797011344,219.030834974621,64.7837313080553,57.3897428530786,91.1676148198161,1988.73990571631,1851.5,1783.82221387367,1843.5,1856.5,1419,1843,86.1658049886073
"2032/2033",2033,121,121,100,49.0258465730451,191.636524897736,81.518993827886,64.096818186647,99.3418766382242,1903.81848813387,1646.5,1506.94855224576,1745,1594.5,1515,1594.5,82.4805461713322
"2033/2034",2034,120,120,100,44.0585610466402,197.259668179053,77.5011715274221,58.03646811414,94.1841061248031,1765.56061406889,1519,1342.59121971282,1633.5,1490,1425,1452.5,78.0160306772168
"2034/2035",2035,120,120,100,42.8457303170459,170.637253862908,75.6545987005125,55.6834330670865,93.6732690316064,1783.97842447218,1558,1392.7215021287,1660,1512,1426,1469.5,79.0398897152927
"2035/2036",2036,120,120,100,44.4998197131297,184.633638855666,73.0298278266786,55.2842276574641,92.3595823058869,1890.34590935374,1688,1636.64738967429,1745.5,1691.5,1383,1678,83.3922851710277
"2036/2037",2037,121,121,100,47.584484778457,194.549846322967,79.4033778603303,64.6448771583528,98.8493648850382,1900.10884956605,1614.5,1467.47861483025,1754.5,1560,1586,1545,82.3778656409058
"2037/2038",2038,120,120,100,45.6291056623637,177.750436046018,71.1937568155189,54.9790052097028,91.6299261107437,1891.84905110243,1755,1646.35286547386,1792,1730.5,1426,1716.5,81.2856133429277
"2038/2039",2039,120,120,100,36.7799979557849,173.021279443495,62.7011922574498,45.6519793820578,87.8810117332206,1988.1466092624,1912,1893.62978058794,1863.5,1927,1329,1914.5,88.53568209271
"2039/2040",2040,120,120,100,55.506691037721,212.586706635309,67.3740798990286,64.7937399364449,93.0738131681343,2071.94067951047,1875,1712.03845870138,1915,1885,1574,1849,84.3440752455572
"2040/2041",2041,121,121,100,52.2553071616322,214.107492500977,68.3893726941282,62.1195293739758,93.952386336408,2128.48805626979,1966,1839.63058863705,1994,1954.5,1656,1948.5,89.1140430861797
"2041/2042",2042,120,120,100,35.8066688838568,128.418425071609,69.7487630042974,42.2152092824421,85.3216690913924,1860.12922833103,1766.5,1788.51881747581,1700.5,1835,1147,1804.5,83.5044738020924
"2042/2043",2043,120,120,100,51.9694504121505,218.124116226544,77.9382307915643,69.6637791843561,100.239035675205,1964.31677242037,1650,1462.87937643904,1844,1572.5,1632,1569.5,84.3698345963494
"2043/2044",2044,120,120,100,51.5562999680985,216.408227366185,67.3261520754002,59.6451371460224,92.5033504171173,2124.72569561482,1989,1877.68367614714,1976.5,1987,1593,1972,87.5163414214394
"2044/2045",2045,121,121,100,49.0683492318976,193.204384180456,84.4053395509639,61.6853814037492,97.355938026414,1850.06746747222,1620,1472.57713868622,1708,1576,1501,1569.5,81.0273893961776
"2045/2046",2046,120,120,100,43.7081408636423,193.109799645744,72.7141998705316,56.9746907047847,93.7111036460024,1821.84355247353,1600,1427.84649186028,1673.5,1575,1418,1516.5,79.2437624718996
"2046/2047",2047,120,120,100,43.3634448198956,177.49075320229,80.9167694353188,52.3125746561486,91.1506319692708,1828.75896290812,1685.5,1568.96940525478,1706,1699.5,1381,1682,80.6171640402572
"2047/2048",2048,120,120,100,54.6720766377917,204.884225467011,73.944023675123,67.1028909253926,97.2396614698064,2111.08289200594,1853,1729.21343579592,1952.5,1840.5,1694,1839,87.779320273351
"2048/2049",2049,121,121,100,54.5913786908485,227.508346129464,75.3429237675103,69.1866224243957,99.8734288658397,1998.40389228277,1727,1581.41470895804,1864,1683.5,1625,1681.5,83.6234061285459
"2049/2050",2050,120,120,100,62.0408592161625,240.556635921145,80.1678041761445,78.1845486210213,102.045368949961,2048.7995294604,1712.5,1476.29130143043,1920.5,1619,1846,1618.5,82.4400716658965
"2050/2051",2051,120,120,100,49.7939596178376,206.648565470027,71.9854838783076,62.7395654243428,94.6151983200618,1850.20071154929,1583.5,1381.61362678822,1722.5,1525,1499,1486,76.8849344144755
"2051/2052",2052,120,120,100,44.6427556521461,192.905328548825,70.0443063702758,51.4571962703855,87.4057084313722,1908.17098146101,1760,1643.23259928196,1767.5,1797,1408,1739.5,80.3139224972538
"2052/2053",2053,121,121,100,46.4492189069112,182.51802604257,70.1055187137384,54.6613638949761,90.9183211837876,1991.98163174102,1881.5,1749.08363317706,1869,1862.5,1484,1839.5,84.8245101793145
"2053/2054",2054,120,120,100,44.0139513638857,182.143030903481,66.1984104833114,55.431581045448,91.2671091022762,2010.04189779196,1854,1756.86668339482,1881.5,1864,1481,1843.5,85.2755477648689
"2054/2055",2055,120,120,100,48.8553528325024,193.674283902424,72.3967948801973,60.5543662835327,94.8453659885953,1993.02813822741,1801.5,1675.87789002452,1865,1786.5,1526,1780.5,85.9416529658583
"2055/2056",2056,120,120,100,51.8643195286034,200.768656669215,70.0610031025949,65.3535447318664,92.7771508258821,1930.42936030767,1598.5,1373.04892717842,1679.5,1630.5,1664,1499,78.0040746412242
"2056/2057",2057,121,121,100,41.7247984819691,181.755924864909,78.9292873359516,54.8243140005006,95.482551023417,1880.45632371787,1648.5,1560.95419761919,1739,1634,1437,1628.5,79.7984040774909
"2057/2058",2058,120,120,100,56.4289191118422,228.706873492498,67.2281984961954,65.5176456153566,93.2195611446551,2126.4776261691,1964.5,1846.67548462779,1999.5,1968,1652,1949.5,86.7137703211529
"2058/2059",2059,120,120,100,48.8659313214418,210.472069850131,79.9195110401282,64.633713835197,97.5396479429071,1874.7246423132,1589.5,1446.52450482089,1742.5,1554,1517,1548.5,79.3956557326374
"2059/2060",2060,120,120,100,39.7688874259904,168.380092326118,70.4752205059453,48.666792172794,89.0586943159545,1775.96109713757,1619,1550.52038336848,1639,1631,1271,1596,78.8012758146779
"2060/2061",2061,121,121,100,43.2332974620924,199.201592915601,64.8572377556542,53.073493155844,89.4209589793891,1822.40066744472,1624,1529.82137692483,1669.5,1672.5,1299,1595.5,78.3723566081499
"2061/2062",2062,120,120,100,48.2060944874609,189.490959708933,83.9684367334193,67.7926731309038,99.8136031675848,1981.49519947523,1678,1467.46003880296,1849,1615,1718,1611,81.1790900149026
"2062/2063",2063,120,120,100,55.6994211565957,233.692065184468,75.6108389599124,69.8011079283554,98.5153934396596,2060.92726206055,1798.5,1564.14198763874,1941.5,1724.5,1782,1709.5,82.6421170768499
"2063/2064",2064,120,120,100,43.1051814407514,177.859307768972,75.9234523732649,59.6191395074639,95.5944789241552,1823.68526131485,1607,1501.63983861222,1719,1567,1423,1556.5,82.4157144947312
"2064/2065",2065,121,121,100,53.0213339080564,222.452935475876,70.0839098651408,64.9255836878648,95.8902780846297,2145.81296546475,1954.5,1808.0599923277,2010,1926.5,1712,1924,90.1413385366359
"2065/2066",2066,120,120,100,58.9610417719144,243.619720990911,65.5829204239592,67.445199766879,93.8214842520751,2241.09733952576,2071.5,1971.60754920535,2082,2080.5,1686,2074,90.9656599904829
"2066/2067",2067,120,120,100,47.4332991226146,195.303336588303,82.742361442681,59.6911225096347,96.3763863010565,1825.42617234902,1601.5,1443.43185978558,1702,1570.5,1511,1563,81.2777514945174
"2067/2068",2068,120,120,100,36.2307118674421,167.051002748757,62.5620965633842,44.9096665531891,87.6389683431915,1777.45979111546,1662,1694.57455665043,1632.5,1721,1072,1695.5,83.9094092391442
"2068/2069",2069,121,121,100,48.8005115234371,195.409639544883,73.6799954301949,60.8181022751422,95.6126685614116,1883.80698627699,1716,1580.92813749536,1779.5,1666.5,1487,1655.5,83.4104278810137
"2069/2070",2070,120,120,100,40.4133165869754,189.331930784563,71.7725625533346,48.6617850847651,91.0407443761069,1930.73866691458,1797,1741.3607469949,1772.5,1813.5,1367,1811.5,84.525205732878
"2070/2071",2071,120,120,100,46.4851106664226,197.581053489108,69.9656683302824,61.7687869942839,94.8590425497261,1989.65467339073,1794,1590.18354061721,1855.5,1725.5,1575,1700.5,84.8222331271136
"2071/2072",2072,120,120,100,42.5608404802482,171.707231247045,76.0724733130378,56.5718508882598,95.3319689516477,1848.50985008368,1626.5,1511.92535429536,1715.5,1607.5,1380,1597.5,80.2468718253022
"2072/2073",2073,121,121,100,36.1598643790451,176.998412082618,64.1882243988691,41.066540180056,85.3827387836588,1865.22837909695,1739,1747.89582198927,1671.5,1826.5,1194,1774,84.3882670730272
"2073/2074",2074,120,120,100,40.1270610515788,166.47105558689,77.2733020233528,51.0320736167744,90.0921337184243,1646.79476927067,1421.5,1227.41856184429,1453.5,1448,1271,1336.5,72.7657165109486
"2074/2075",2075,120,120,100,39.5101598241382,184.035669463186,67.2602876249876,51.3172994794826,90.579456378527,1801.73804376897,1586,1547.29027248979,1636,1623.5,1248,1576.5,81.2352609470654
"2075/2076",2076,120,120,100,47.7282286579376,210.109960519396,61.9532457616488,54.7404777395639,89.0771569147625,2043.65930514221,1915,1866.79637813221,1900,1961.5,1420,1938.5,87.251623015547
"2076/2077",2077,121,121,100,56.6257078392817,228.662846650371,78.0734791937971,72.1996860447123,100.932636110318,2049.02641116903,1769,1551.27304946072,1921.5,1690,1754,1687,84.6184124269421
"2077/2078",2078,120,120,100,51.5678189053016,199.040889264676,79.0367781871438,65.6036416203006,97.3162522279284,2021.14681370551,1768,1604.12291096194,1879.5,1716,1675,1714.5,84.9804982124442
"2078/2079",2079,120,120,100,51.8634014116493,182.080518261,74.1347294572155,61.8113752954267,93.5618606517355,2062.18326506758,1915.5,1790.15674966804,1910,1914.5,1543,1902.5,85.7532517182863
"2079/2080",2080,120,120,100,49.3692841950148,201.618577522967,65.9500016962352,58.8469405721539,91.5982398539906,2104.00465504493,1934,1881.17683356339,1971.5,1938,1556,1924.5,88.2764148740825
"2080/2081",2081,121,121,100,30.2357370870462,139.58761374731,75.4557309218239,43.2721720730137,91.4348122703725,1736.600571363,1551,1544.26605463359,1583.5,1586.5,1134,1570,81.1641981165449
"2081/2082",2082,120,120,100,49.7205928560652,200.614039187985,69.1839304619886,59.7274461728851,91.534440273424,1970.1627301093,1795,1652.20422794642,1815.5,1787,1516,1739,81.7857314425219
"2082/2083",2083,120,120,100,42.2248195876822,174.273794653715,70.0025412959679,50.4322181417714,89.859866376726,1894.33161051269,1695,1655.93208415573,1723,1738.5,1325,1697,84.3249527968601
"2083/2084",2084,120,120,100,56.4537911304228,239.194856171479,72.9885480644429,69.6004119082877,97.3486864991351,2040.91130299843,1801,1660.68367743725,1894.5,1781.5,1602,1779.5,84.6767584752015
"2084/2085",2085,121,121,100,48.5363288945494,191.114850923744,74.9730033124374,60.4157503761429,95.7663364161857,1961.24087634264,1707,1642.22764032925,1786.5,1746,1480,1715.5,80.4867395222846
"2085/2086",2086,120,120,100,45.9215842435264,196.483349591968,73.2510314391378,58.2218087347445,94.0842563118355,1851.71862334257,1641.5,1537.16961782974,1726.5,1622,1370,1614,82.108710301769
"2086/2087",2087,120,120,100,50.2552688693374,205.725401028893,75.041063063241,63.8868403332869,96.6688668582807,1964.05579283577,1726.5,1559.72677654841,1853.5,1682,1596,1664,84.0420924413611
"2087/2088",2088,120,120,100,42.8107625942885,165.462927256267,78.3875931992087,55.5768115281703,92.8024159239715,1806.7104525278,1628.5,1480.14971489611,1703,1576.5,1423,1555,81.1364781974171
"2088/2089",2089,121,121,100,49.7456672080245,208.673968170111,72.3998322265397,60.3603289157443,95.2873362844349,1982.78015912551,1765.5,1645.67896156221,1845,1763,1537,1747.5,85.8496223350176
"2089/2090",2090,120,120,100,59.0096605449578,241.50330365535,75.547087074377,70.8366143844183,98.2879540328172,2049.999945894,1821,1620.68294141444,1929,1772,1739,1769,84.0493267539878
"2090/2091",2091,120,120,100,42.4773304940974,171.878733075269,77.8955882074184,58.5040192937477,96.2096406534156,1754.21561212378,1506.5,1395.91443747555,1638,1447,1352,1437.5,81.1388426972444
