"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.4979029199679,156.944819474291,68.4664547258882,45.01140076652,87.1684440150381,1736.72135201525,1560.5,1510.59767542443,1586,1559.5,1163,1512,76.9072796930727
"2002/2003",2003,120,120,100,45.5231319822476,195.786692541618,77.7746301927604,60.878630311401,97.4381065507513,1919.41577777749,1693,1563.46736113461,1763,1652.5,1518,1644.5,83.0668950953628
"2003/2004",2004,120,120,100,54.3954121659196,236.122523464816,65.8118665613527,62.3502347085736,92.6274220612116,2107.91885977057,1881.5,1874.66957323147,1926.5,1942.5,1523,1934.5,88.8267511016224
"2004/2005",2005,121,121,100,44.6086155566988,196.195029406206,61.481188463721,53.1442568783475,88.618483637302,1933.0638516002,1787,1759.45159911532,1792,1825.5,1306,1784.5,83.9866732945266
"2005/2006",2006,120,120,100,43.4228748257523,183.810634615426,70.1606120547201,50.6465813147792,89.766099879385,1902.96270218071,1819,1719.21552380164,1801,1809,1405,1799.5,83.0727570742441
"2006/2007",2007,120,120,100,43.3660938626804,232.964590550816,66.6596758223393,54.8969169932293,92.4597937073113,1912.63553636451,1757.5,1623.57812104992,1818.5,1703,1455,1689,83.2070816252168
"2007/2008",2008,120,120,100,51.1115984286577,206.440140670912,78.5422581398339,63.5950197405273,97.2730919449155,2049.06974209853,1844,1631.53824570726,1936,1791,1714,1786.5,82.6179191827653
"2008/2009",2009,121,121,100,40.2862155377936,204.87262599089,64.1804408110619,48.3400993850864,88.6587951736026,1925.30944850644,1776.5,1711.27734199198,1780.5,1816,1342,1768,85.7551873522755
"2009/2010",2010,120,120,100,54.1284135198401,225.565035649584,66.1581028932057,61.3786939044965,92.3496782583372,2244.33310822876,2102,1993.77013236716,2075.5,2135,1650,2129,90.1462522093609
"2010/2011",2011,120,120,100,49.9482815070306,210.917628736074,68.4281485493721,57.1918027984494,91.8056839600691,2095.54102192879,1959.5,1889.90437447414,1965.5,1977.5,1547,1972,87.0894797785447
"2011/2012",2012,120,120,100,40.1513199603321,166.307311835359,77.0945362745496,53.3221019767532,93.375779712142,1754.18572401433,1517,1398.83953815705,1590,1504,1325,1467,77.6723408688331
"2012/2013",2013,121,121,100,53.7391187136977,232.870338019776,69.8173564365821,63.4212767018628,94.3697809131824,2080.24242724361,1920,1806.48127475981,1939.5,1913.5,1586,1902.5,87.6026624622698
"2013/2014",2014,120,120,100,30.2641636078004,134.016648042039,81.7585757596231,47.8967939844136,94.3694305347864,1455.46837779273,1261,1143.20909529971,1369.5,1198,1069,1173,71.8092918785512
"2014/2015",2015,120,120,100,45.3769237934413,184.307209630524,68.65472268002,53.9232097149496,89.8354175377877,1926.24262980696,1787,1657.39878842407,1785.5,1794.5,1454,1751,81.448800489974
"2015/2016",2016,120,120,100,40.1736143710681,168.129426216019,70.8706301069663,52.8168610960143,92.283816602824,1835.51398788904,1716.5,1568.66576997788,1749,1659.5,1433,1644.5,79.6195916061179
"2016/2017",2017,121,121,100,38.7200680834589,184.026473314379,67.4325338719166,51.0032243499538,90.7038736383725,1802.54570615897,1595,1474.3270438116,1633.5,1603,1340,1528,78.0513570302887
"2017/2018",2018,120,120,100,47.932978979545,185.826880872689,76.9649200443112,60.0661573692724,93.4710837973147,1830.3160591739,1616.5,1459.69169835371,1702,1594.5,1429,1560.5,79.5918098957045
"2018/2019",2019,120,120,100,47.7995651035744,171.547414670279,72.7725456224899,58.9391788703872,93.422584947903,1944.43701499893,1751,1642.74405981832,1819,1731.5,1452,1712,83.9859597815075
"2019/2020",2020,120,120,100,40.105710855418,175.333182918511,61.9523067772779,49.0180007602816,87.934794829115,1923.46218504049,1787.5,1757.77297826843,1745,1851,1295,1794.5,83.3246611028903
"2020/2021",2021,121,121,100,54.761029906116,227.549966665436,75.724538351135,68.4996947802711,97.8680518392594,1919.97836962837,1659,1525.28285356264,1794,1629.5,1557,1622,82.8060451831143
"2021/2022",2022,120,120,100,42.5292761634783,165.969339449574,72.2545661112468,55.4546339445214,91.1506271335425,1734.11638249274,1493,1296.73379447033,1543.5,1503,1365,1394.5,72.2917433948232
"2022/2023",2023,120,120,100,50.9453331681644,180.673693334344,68.2461991259057,61.523600690963,93.1526622228239,2115.08578353281,1972,1838.52506447466,1990,1958,1630,1948.5,87.1920428438061
"2023/2024",2024,120,120,100,43.6860813714977,202.282792561372,59.9592871904515,50.1311502148608,87.028574640919,1989.09223309255,1867,1779.16409296655,1834,1902.5,1385,1842.5,86.2377799325909
"2024/2025",2025,121,121,100,52.8196446631192,208.737118708484,70.1842008760139,62.0626318473449,94.2598683974723,2139.10790061837,1953.5,1859.4201954347,1990.5,1949,1629,1944,86.7415322075631
"2025/2026",2026,120,120,100,38.7061155134385,167.293190276999,87.8162651208842,53.7562802967336,96.4890963569569,1612.89734850544,1358,1187.23564733853,1501.5,1293.5,1330,1281.5,74.5746372663989
"2026/2027",2027,120,120,100,44.9969806894281,207.558050909827,63.5375242281322,54.9016296295519,90.3086261160352,1964.43302101425,1849.5,1766.04050111537,1837.5,1841,1410,1819,86.2866986930162
"2027/2028",2028,120,120,100,54.0579016653345,191.913642296278,81.1744997903786,70.2610734568887,98.9993189199325,2047.68479393025,1760.5,1584.57056363784,1914.5,1710.5,1723,1710,83.3614461902271
"2028/2029",2029,121,121,100,46.0301854738225,214.578616503133,68.32326989201,57.9488349913961,92.7263413110469,1873.39440374204,1692.5,1511.0403877191,1742,1652.5,1439,1606.5,80.9323513697836
"2029/2030",2030,120,120,100,42.820491032656,184.616517187934,72.0682612035843,55.315021236898,93.3604502008606,1854.55564268251,1626,1528.11368003216,1702,1617.5,1394,1591,81.5859449320178
"2030/2031",2031,120,120,100,51.6883336764907,236.066358873779,68.7250721423818,60.9773283754522,92.8201629209768,1955.6286673601,1779,1676.0700523641,1815.5,1786,1494,1762.5,84.4946172013188
"2031/2032",2032,120,120,100,46.7379218615405,217.220087531343,63.1104341075279,53.8283603831373,89.6391221587163,1971.54468559541,1854,1793.09607430043,1827,1858.5,1388,1837,85.3611871573776
"2032/2033",2033,121,121,100,48.2318195543458,193.570909118164,79.4544912648387,62.8919690772021,98.3336074016908,1913.50398635257,1672,1545.0069279903,1768.5,1632,1482,1632,84.4798296962426
"2033/2034",2034,120,120,100,43.7962472424074,195.835206471501,75.5908433921953,57.1243029191939,93.1407906053673,1780.26987126385,1556.5,1370.42302184766,1644,1525.5,1437,1478,78.7030071228482
"2034/2035",2035,120,120,100,42.048291131548,168.109718381662,73.8679141900386,54.7124554151794,92.4214604699117,1786.69078484892,1557,1401.75898826442,1649,1526,1415,1472.5,78.2070460926789
