"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.2312091066159,180.103648519128,66.2372897097262,48.1444420733389,87.9871773082693,1876.52763345658,1734,1671.66830054395,1733.5,1740,1272,1705.5,83.4563688895758
"2002/2003",2003,120,120,100,51.3616851244518,212.107220812358,76.1767776580077,66.522942981782,98.0254965453291,1976.2090291361,1749,1598.47001563298,1847.5,1736,1596,1729.5,84.9309133628663
"2003/2004",2004,120,120,100,51.2841716491998,230.379833216268,64.9364775788584,59.7211513160548,92.1122015348658,2084.77556334923,1888.5,1850.12557478141,1937,1917.5,1505,1903.5,89.0077392948253
"2004/2005",2005,121,121,100,42.750726916193,187.52846221925,61.1457797240807,51.4298742179686,87.4550949261217,1823.32424620431,1700,1627.27882621356,1683,1732,1230,1656.5,80.3359858938445
"2005/2006",2006,120,120,100,42.4225483409264,184.193186799533,69.0540372864808,47.7948805613794,88.9537535971536,1908.2199161142,1820.5,1777.22367469548,1788.5,1838.5,1351,1829,82.8013556259264
"2006/2007",2007,120,120,100,46.5139111416064,244.129120339322,65.3684940534139,57.3925681864047,92.6056644964591,1962.48815047486,1787,1673.38368081286,1861,1753.5,1479,1735,85.5582117672966
"2007/2008",2008,120,120,100,54.0919713568027,217.358753124936,77.1533842500883,63.5304109206592,96.7249097328508,2083.4344572795,1887.5,1704.80024162694,1963.5,1862.5,1744,1860,83.978733315296
"2008/2009",2009,121,121,100,42.3207283073735,208.554007776784,63.3675973091189,49.8683811738891,88.1871068321052,1880.09602741808,1713.5,1640.29415512807,1730,1770,1318,1695,83.42368458585
"2009/2010",2010,120,120,100,51.1604366389148,222.147525572793,65.4490425119689,59.358082212763,91.6233282209716,2148.91488310193,2001.5,1913.45283143533,2010,2029,1579,2013,87.4951382283439
"2010/2011",2011,120,120,100,49.3033360781594,208.598225036819,67.8455049619273,54.6828801425081,90.4442725841164,2065.05997076677,1954,1888.77231503763,1937,1979.5,1464,1968.5,86.2676746699717
"2011/2012",2012,120,120,100,42.2889945184959,173.864799477295,75.1905265944159,56.2247011332428,94.5078793197697,1800.15311082547,1544.5,1438.60982491218,1663,1527,1393,1498,78.514044544552
"2012/2013",2013,121,121,100,52.057250634418,231.23655775572,68.9478693369732,60.58616743047,93.2245186858376,2069.82384123073,1928,1850.04822961408,1912.5,1958.5,1494,1951,87.8929460834202
"2013/2014",2014,120,120,100,38.6420749496139,160.237676324372,80.0161558593141,54.724006104571,94.9175519292761,1596.67678414964,1387,1283.29782114377,1501.5,1327,1211,1311.5,76.3427014190243
