"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.6009840877303,158.021284715584,69.3761363431211,47.7983496472428,88.6495981042298,1887.09056701553,1711.5,1689.1467072944,1732.5,1751.5,1272,1723,82.0205019418007
"2002/2003",2003,120,120,100,47.613966934802,181.992340232633,79.7183004976467,62.611211408152,97.9615253600817,1929.17225785108,1698,1542.07421001023,1781.5,1673,1534,1662.5,82.9211805922432
"2003/2004",2004,120,120,100,58.1587085497147,227.955260736514,67.5169499531833,65.4785543835802,93.6905210955741,2183.25443717781,1956,1915.37848354724,2008.5,2009,1626,2001.5,88.3459358191975
"2004/2005",2005,121,121,100,48.6877438798803,194.832120352748,63.1280582807308,56.4141409404221,89.5484754912017,1991.23836811566,1862.5,1799.75570097246,1861.5,1875,1394,1839.5,87.1879173257803
"2005/2006",2006,120,120,100,47.3197368955207,185.843401485603,71.4272188818349,55.3833522283288,91.6875704197177,1994.23058595657,1877,1791.30094439218,1878.5,1879,1485,1875,83.3076315215828
"2006/2007",2007,120,120,100,46.6722371695841,230.082772774333,68.197546106078,56.9805812306231,93.2360633578239,2031.17082611264,1857,1762.72666650855,1905.5,1845.5,1519,1839.5,85.7529174677501
"2007/2008",2008,120,120,100,52.5799730643624,197.525511765182,80.1743767292418,66.0313891954628,98.3550146162408,2078.66300970761,1835,1644.33625193106,1948.5,1805.5,1765,1801.5,82.728559547115
"2008/2009",2009,121,121,100,42.9307720745809,195.511496950234,65.5894737711933,52.1098435605284,90.2998040726746,1967.08206755954,1804,1736.42896192507,1807,1830,1384,1797,85.5770438856309
"2009/2010",2010,120,120,100,56.9578855896455,215.649998537681,67.7175321924511,64.0807339995539,93.3153969812405,2278.96038424022,2115.5,2008.81828376384,2120.5,2150.5,1723,2143.5,90.0567675279055
"2010/2011",2011,120,120,100,55.7751392393491,210.914028647359,69.7636839525045,63.7408448162314,93.2886954976997,2193.91952774757,2039,1941.72223214913,2051.5,2062,1686,2056.5,86.9181358292465
"2011/2012",2012,120,120,100,41.060799490849,163.109682213856,78.3269489194967,55.7366068978656,95.1429298689632,1812.26965108375,1571,1439.05779548918,1681,1550.5,1365,1535.5,78.3793741406985
"2012/2013",2013,121,121,100,59.6384801657194,237.222360715859,71.276633892372,68.0215918830147,95.6816194801167,2197.35802681967,2027,1891.19216669733,2054,2033,1718,2026,90.1718550300156
"2013/2014",2014,120,120,100,34.1806628377927,138.139405552267,82.7163758116256,51.626949133882,96.4169512026654,1599.02302368226,1342.5,1281.89131670295,1489.5,1322.5,1178,1313,75.6924425622506
"2014/2015",2015,120,120,100,46.9343717910373,183.187974870233,69.7192448657706,55.567293596158,91.4240698770925,2019.73283634812,1883,1796.78542322691,1894.5,1904.5,1535,1888.5,85.639166876877
"2015/2016",2016,120,120,100,41.6647789710274,162.566397720448,72.3251994473829,54.9866830744062,93.6852384902677,1894.73352977273,1744.5,1645.72779964896,1793,1713,1438,1709.5,83.2952515656257
"2016/2017",2017,121,121,100,38.7194744487102,174.335340971773,68.9441561332123,51.4999273373459,91.9213828803697,1870.9344763602,1676,1583.09988839137,1711,1675,1372,1633.5,82.6455503670318
"2017/2018",2018,120,120,100,49.6830610116104,185.99411089525,78.0632554503293,61.2647945438333,94.7161276866153,1942.62294004978,1740.5,1581.70838744116,1805,1714,1526,1704,81.3464248239543
"2018/2019",2019,120,120,100,49.4333839000018,164.616364434533,74.1235929464662,59.9559205541754,94.2658624745034,2036.05581756654,1809,1745.14488311889,1872,1853.5,1475,1842,85.1514105998335
"2019/2020",2020,120,120,100,39.932092989312,165.161027211697,63.6837906666268,47.9177672981656,88.4284216593184,1942.251214691,1826,1809.38057030564,1786,1876,1319,1842,86.2972175436944
"2020/2021",2021,121,121,100,56.7853055804012,224.729734105967,77.2833670867501,70.5930769751141,99.1380244578878,2006.73333837285,1754,1577.53414691573,1888,1699.5,1686,1696,84.6114987024166
"2021/2022",2022,120,120,100,47.695661431327,173.121504799225,73.0487017660131,60.0122427644199,93.1142608061106,1880.50310387496,1658,1480.6515532602,1716,1649,1505,1589.5,78.3354849866773
"2022/2023",2023,120,120,100,57.8782884468556,193.375673139449,69.4280012421733,67.2838689376976,94.5087969759372,2260.61540873282,2123,1967.53988242453,2125.5,2102,1815,2099,89.563597521731
"2023/2024",2024,120,120,100,45.8081020370791,201.624722503269,61.4053915613483,52.3020717258234,87.9797243605063,2087.98427949805,1970.5,1899.46176663804,1936.5,2011.5,1487,1964,85.7121530989029
"2024/2025",2025,121,121,100,50.6399759902839,192.677703258725,72.0345785890748,63.8842678923038,95.3905096380975,2147.71317028684,1948,1814.25631340521,2016,1913.5,1701,1905.5,86.3994506520971
"2025/2026",2026,120,120,100,35.1528957980337,158.215426972994,90.1932722970739,50.6545419750541,96.6067794987485,1591.79871512509,1312,1184.2891433046,1465,1274.5,1260,1270,74.6564882807033
"2026/2027",2027,120,120,100,46.5580824489206,197.509164144006,65.0856731472465,56.8850512312437,91.5227750345048,2046.35447623946,1884.5,1848.98575981663,1878,1922,1433,1906.5,88.7697843351139
"2027/2028",2028,120,120,100,58.972545375463,192.840946737917,82.7228858200758,76.4796007732252,100.790958696255,2133.61864141775,1837,1584.59262914674,2004,1743.5,1869,1743.5,83.7822316552179
"2028/2029",2029,121,121,100,51.7980948323084,223.612218946844,69.4093868950167,62.4981241991116,94.3033475526202,2002.22374611706,1834.5,1669.89213158679,1892,1795,1582,1783.5,84.6608275296921
"2029/2030",2030,120,120,100,44.4245035293052,179.412264064453,73.7312114171806,56.7706717637993,94.0440430883611,1938.0166855735,1703,1615.7924064622,1796,1706.5,1469,1685.5,83.8349420874765
"2030/2031",2031,120,120,100,55.3192193520412,230.127305449361,70.2666715229845,64.7562601254602,94.2901136595561,2028.13653100659,1837,1722.06402554617,1869,1830.5,1583,1813,84.2711592814612
"2031/2032",2032,120,120,100,48.6324557722017,214.773710007814,64.5912350910147,56.0981163667962,90.7003506190934,2065.5039332997,1936.5,1892.61344057227,1915.5,1953.5,1454,1948,88.4996669062111
"2032/2033",2033,121,121,100,49.2207598518267,183.109662247153,81.1388812469351,65.1899677437693,99.6556135880107,1952.59716635161,1693,1552.17221992575,1817,1656.5,1557,1656.5,83.2062612194086
"2033/2034",2034,120,120,100,47.0945085392544,201.627794386618,76.5852490529961,59.9741407380224,94.6823461581322,1900.51341530969,1700.5,1514.42183706268,1777,1663,1561,1635.5,81.8412783576277
"2034/2035",2035,120,120,100,47.2812811383854,177.402110741449,74.8533540994732,59.0433207934555,94.1623644480537,1930.78452288736,1703,1551.31574309461,1796,1694.5,1536,1661.5,80.6359005110298
"2035/2036",2036,120,120,100,45.1204302484918,182.98633217801,72.5849900967779,54.6516512533287,92.2888148487813,1983.29444907703,1790.5,1754.11078046712,1834.5,1821.5,1427,1816,86.7310214942263
"2036/2037",2037,121,121,100,50.9502124441379,199.323176357554,78.8694770408106,67.8241737414669,99.2379595871983,2013.78338887401,1732.5,1575.35414010681,1874.5,1683.5,1666,1675.5,84.2554480947738
"2037/2038",2038,120,120,100,47.2472943889027,175.212646714521,70.4028185097226,57.016154172644,92.3680531008419,2008.87984377301,1877.5,1773.09398910935,1893.5,1857,1499,1850,84.318123475854
"2038/2039",2039,120,120,100,38.512301675085,161.341471303023,62.4921466429694,45.8898121921746,87.3548021163994,2022.78224376784,1968.5,1955.61131575545,1917.5,1982.5,1338,1966,89.251938712503
"2039/2040",2040,120,120,100,55.1018777176519,207.130409108265,66.9043998461589,62.95294905351,92.6253421994149,2158.79576896323,1982,1877.64756336567,2007.5,2009,1652,1990.5,87.1985845136242
"2040/2041",2041,121,121,100,50.7406505942378,195.191852613659,68.2188039920762,60.1709808098602,93.1500595363737,2163.99348957714,2027.5,1920.78513589912,2015.5,2042,1633,2035.5,91.2961951496991
"2041/2042",2042,120,120,100,37.2089770913958,122.771315717663,68.735025086159,42.1335321408945,85.2910433666012,1941.04722295099,1865.5,1920.00285518872,1763.5,1941,1151,1919,84.8493567503392
"2042/2043",2043,120,120,100,55.9542044277308,215.118241787757,77.5769545841272,72.7469423453068,100.243020370467,2058.85829353769,1748,1555.85915389306,1918,1689.5,1746,1684.5,84.9833139105349
"2043/2044",2044,120,120,100,55.5274612289733,217.117378873211,66.8283893195423,62.096464328946,92.5730446521396,2229.42455562021,2095,2008.76672637356,2079,2123.5,1696,2111,89.7274214720164
"2044/2045",2045,121,121,100,53.5885800077146,198.154234846152,83.2060701393543,65.3912387357281,98.6160699927338,1979.69283015278,1756,1586.77301594557,1857,1715,1626,1713,82.363349536754
"2045/2046",2046,120,120,100,48.2830425008496,198.060641413085,71.832436851869,60.119125351876,94.1103043753631,1965.1965928885,1739.5,1603.42324229616,1804,1742.5,1541,1700.5,82.6720038253243
"2046/2047",2047,120,120,100,44.5482359590245,173.436335310858,79.9212663826923,53.8704478934821,92.0278685861643,1925.77002366309,1771.5,1683.84310755674,1800.5,1792,1456,1784.5,83.1683594185615
"2047/2048",2048,120,120,100,58.0435260139273,204.753686439757,73.3518807030685,69.7902019360364,97.392015553743,2221.59766495033,1982.5,1853.47919437179,2075.5,1992,1764,1992,88.3232125542809
"2048/2049",2049,121,121,100,60.2830446754488,237.455257935871,74.8343958259424,74.1678807570692,100.184243958517,2148.70320883658,1881.5,1706.22214781741,2001,1843,1781,1841.5,86.5625275142602
"2049/2050",2050,120,120,100,64.890477313052,235.560692714429,79.6763840515582,81.521718565962,102.216706108371,2163.93268547975,1856,1585.44322100972,2039.5,1750.5,1966,1750.5,84.9364041233175
"2050/2051",2051,120,120,100,52.0116217981875,201.944751874791,71.4461077858616,62.3801875046314,94.1817104788374,1964.75789907188,1783.5,1568.17642469246,1838,1706.5,1547,1689.5,81.9225294869457
"2051/2052",2052,120,120,100,42.5001119621205,174.579502594664,69.5189015297672,48.9839864318115,86.9803657337603,1950.60108887273,1826.5,1771.29004684058,1799,1872,1380,1836,83.1807565676354
"2052/2053",2053,121,121,100,45.9565220138673,163.283493380579,70.1180642957217,53.1423036433757,89.8096261800699,2025.92123201053,1924,1832.6419761158,1860.5,1924.5,1473,1900.5,84.0537873725989
"2053/2054",2054,120,120,100,44.5964815159865,174.120526638883,65.7830393542588,53.9740906257089,90.5319267077499,2078.09313988918,1958,1891.42668243888,1940.5,1970,1501,1956,87.49105407553
"2054/2055",2055,120,120,100,51.9363815676906,194.485697625423,71.799795624514,62.3143102313849,94.80756081394,2122.2778244181,1943,1848.61149409908,1976,1950,1601,1947.5,87.5421081871036
