"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.5038539056063,129.693247653507,61.7475244832558,37.2206768081689,82.0750395737,1677.75749579684,1609,1555.03683894728,1551.5,1624.5,1068,1544,76.5955141639606
"2002/2003",2003,120,120,100,45.2332667029865,181.992249996111,70.5176925168197,56.5470562027076,93.1979352054744,1977.78553546041,1778.5,1735.59602251434,1806.5,1812,1383,1797,85.7688920243954
"2003/2004",2004,120,120,100,42.2446510422226,187.886307836959,59.988643025622,46.6759993320294,85.943853626881,1986.10498067256,1908.5,1915.43830077866,1840,1934,1269,1903.5,87.134080669629
"2004/2005",2005,121,121,100,37.4792321244841,163.76725688349,56.2093143664481,41.1510240676649,81.2765962622693,1725.26442841611,1666.5,1610.29908305667,1602.5,1708.5,1079,1606,76.644763140437
"2005/2006",2006,120,120,100,33.4984775874122,139.600652848854,63.8276264619198,38.4935572727556,84.1697360087647,1765.49985861623,1734.5,1740.27528809766,1656,1774.5,1081,1751.5,80.8281755295372
"2006/2007",2007,120,120,100,37.3274162601088,197.378241326858,60.6057718515607,45.686409386906,86.5496661935852,1894.77924353738,1823.5,1720.32704237115,1809.5,1802,1352,1766,83.9747773278899
"2007/2008",2008,120,120,100,44.7835707877733,170.451831258102,71.2902304655111,53.7742381597455,92.1660514055332,2069.95232346118,1933,1868.33405989048,1927.5,1967.5,1547,1956.5,87.6538035504032
"2008/2009",2009,121,121,100,32.5181801683051,161.195403685093,58.4406644547046,38.4678376882614,82.3918241880639,1758.09362215403,1673,1637.85797994236,1608,1729,1117,1620,78.2452590926055
"2009/2010",2010,120,120,100,40.3820091435918,174.842725301095,60.2194988637181,44.6559551494993,85.345607289935,2041.84964698307,1989,2015.24163390798,1934.5,2048.5,1375,2024,88.2133896003452
"2010/2011",2011,120,120,100,37.2411869531648,155.727209891481,62.3743463942746,41.8279414669262,85.2005869720689,1937.04483853304,1886.5,1924.95481159606,1827,1948,1229,1931,86.1298760563743
"2011/2012",2012,120,120,100,39.6842603587279,150.829793059851,69.6718301742545,50.4566414474691,89.6367913271376,1807.01759140049,1599.5,1502.81991988977,1662.5,1614.5,1313,1548.5,77.1471675269113
"2012/2013",2013,121,121,100,44.7434111622323,194.867491028873,63.6342935431589,48.5412472016682,87.7087442673392,1979.09912591113,1896.5,1912.28851576131,1836,1957,1286,1940.5,88.0958055160006
"2013/2014",2014,120,120,100,38.5498695907115,151.16855033017,74.0809011146144,52.2425562232947,91.87852999876,1608.80642387336,1431.5,1284.28767873288,1525,1361.5,1217,1321.5,75.4367155284833
"2014/2015",2015,120,120,100,37.7863860575355,146.839656065002,62.088379985835,43.2942502211299,84.3054080286596,1840.50783864828,1731.5,1708.79690897418,1673,1819.5,1191,1741.5,79.063782532304
"2015/2016",2016,120,120,100,35.8586077447615,145.287636120421,64.4184562930012,46.4306588523541,87.5533805643416,1787.87787195179,1720,1606.32966393218,1678,1710.5,1239,1663.5,80.3686883604933
