"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.7963840372411,151.171021237917,60.8972950900556,39.1881580913989,81.7427429522062,1621.67704000774,1575,1458.81871143475,1527.5,1571,1083,1483,74.8778037564244
"2002/2003",2003,120,120,100,44.2427582151109,200.937758370141,69.4588979849388,56.2756201506864,93.0898574759899,1923.47541758631,1722.5,1680.57219803885,1755.5,1753.5,1359,1736.5,86.9507883461675
"2003/2004",2004,120,120,100,41.1754569399528,204.237147092431,58.9925176979365,46.8493447363814,86.1200068629793,1932.94206956776,1873,1834.52280963212,1823.5,1885.5,1288,1857.5,86.6233796498429
"2004/2005",2005,121,121,100,33.3087500469807,161.526052206415,55.7277162678335,39.7449414661919,81.1175372171376,1609.3225823879,1516.5,1424.22136411136,1444,1556,998,1421.5,73.1731083165657
"2005/2006",2006,120,120,100,30.471994847061,138.857643552759,63.6333229530478,34.7377042002112,82.367691110425,1645.93038380567,1623,1601.1460696089,1525,1662.5,991,1615,78.7654996828823
"2006/2007",2007,120,120,100,44.1873666419865,230.543361139498,59.473520631173,52.0396374258186,87.1584824771427,1867.72899095974,1759,1605.34504977347,1769,1723.5,1385,1669,81.4817551342262
"2007/2008",2008,120,120,100,48.9263261270601,200.341924313422,70.4337555585495,55.2089276583444,91.585832954587,2052.2147264069,1943,1831.36455150819,1937.5,1954,1563,1946.5,87.302232567204
"2008/2009",2009,121,121,100,29.8607364431791,173.935764223193,58.2304610738831,35.9527209678507,81.4855616152521,1644.50505507959,1517.5,1450.88329176524,1463.5,1588.5,1028,1443.5,73.3311031207662
"2009/2010",2010,120,120,100,40.3027948535281,189.3336772353,59.8499407642937,46.1469840356668,85.303823083614,1912.15799455071,1863,1798.55252412769,1823,1875.5,1306,1831,85.1505584209563
"2010/2011",2011,120,120,100,32.9063961839586,165.866495607934,62.2469297888523,37.843913054207,84.1976640459555,1820.60765870816,1748.5,1782.84417607648,1709.5,1816.5,1118,1788,83.394727222653
"2011/2012",2012,120,120,100,38.0528677349882,152.690834539907,69.2606719813351,48.2210543173818,88.5768084550259,1685.13497519416,1501.5,1383.29583085326,1522.5,1532.5,1216,1446,74.5558743694667
"2012/2013",2013,121,121,100,39.270187831746,195.400389131779,63.0984422179314,45.4510988264573,86.885309230357,1851.61789329981,1768,1780.65500228259,1727.5,1819,1197,1787.5,87.1638997356913
"2013/2014",2014,120,120,100,39.3072312897189,166.874520082934,73.8287841471225,50.876922943011,89.76931718497,1525.46681277231,1368,1224.31331898839,1448,1299.5,1136,1255,69.7268871619638
"2014/2015",2015,120,120,100,36.0945189325094,158.585391015154,61.3429248435757,42.7291756185278,84.2450902271173,1769.14565473137,1676,1607.01099325375,1619.5,1722,1166,1629.5,78.1442049512245
"2015/2016",2016,120,120,100,34.5306081060076,160.719956227626,63.9944879312119,44.693440146994,86.040045246839,1673.54682190654,1588,1427.60147941207,1566,1566,1214,1487.5,74.0874132948391
"2016/2017",2017,121,121,100,38.2118103255172,187.337817580647,60.0023621517283,46.5097374523961,85.7934573285247,1766.55320388252,1615,1499.0518815847,1558.5,1661,1202,1538,77.800014261443
"2017/2018",2018,120,120,100,43.6024631140903,184.91183972918,69.2857965100958,52.4545555063702,87.8164683407529,1755.01099912409,1597,1470.03982861792,1631.5,1590.5,1290,1525.5,78.1683650408534
"2018/2019",2019,120,120,100,40.6676486529478,165.946419667017,65.1278229157553,50.8607511879016,88.4636253862057,1815.42700683408,1695,1608.60973126715,1696,1685,1229,1645,83.144750169135
"2019/2020",2020,120,120,100,33.4843242602152,150.339961643487,55.8450236574408,39.2316202189463,80.9601830451159,1637.91361288656,1566.5,1505.38399030686,1487,1601.5,1047,1484.5,77.4748235978764
"2020/2021",2021,121,121,100,48.7311165547919,210.794381009424,67.7988948317993,58.626189921449,92.3618893851945,1808.30635112791,1621,1536.35198261206,1676,1622.5,1298,1585,83.1307138562797
"2021/2022",2022,120,120,100,30.3928486282847,143.617257676698,65.3576196173411,41.0055847567717,84.6144298361506,1580.56716868423,1362.5,1260.41716629141,1336,1466.5,1095,1311,71.0372329318261
"2022/2023",2023,120,120,100,39.9623401093398,152.407301814546,61.5175091546589,46.2268931911823,85.706683453328,1871.43926664449,1785.5,1769.64513136262,1720,1855,1190,1805,83.2917237089082
"2023/2024",2024,120,120,100,36.5793049309161,178.533054157708,53.5476413503703,38.3000517288608,79.6780897453489,1793.38288235094,1747.5,1671.50372890367,1620,1814,1113,1690,79.5813389273594
"2024/2025",2025,121,121,100,45.7414295522439,187.627444222137,63.0683247971367,49.7064874232382,87.51341910595,2000.04572062643,1935,1885.46585852457,1865.5,1966.5,1344,1936,86.5991483581824
"2025/2026",2026,120,120,100,43.1245170538321,188.175187113499,77.9852527975277,57.9502676350408,95.5679261293615,1779.27556642353,1561.5,1356.704377991,1663,1524.5,1436,1499,78.1787232647835
"2026/2027",2027,120,120,100,36.9565336529599,184.681706694689,57.0136612019234,41.9263683077444,83.2492747938693,1762.44583638091,1728.5,1660.48598958591,1644,1732.5,1106,1676.5,81.3225658732258
"2027/2028",2028,120,120,100,42.2929351295199,163.572133070422,73.8318855545344,54.1426504908305,92.5962332878459,1866.57940965649,1639,1590.21681362499,1723.5,1660,1372,1640,81.4292735217923
"2028/2029",2029,121,121,100,39.8271323328094,191.749272193008,61.4071320737091,49.5989736245155,86.4524412623087,1708.0467426415,1557,1409.14313715425,1523.5,1590.5,1196,1465.5,77.2640365244233
