"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.7014724305135,171.099117105081,76.8908535902405,50.1981431579253,92.3686833367119,1759.95504089553,1537.5,1495.92462730916,1630,1550.5,1262,1530,79.7301361292133
"2002/2003",2003,120,120,100,47.1924205409648,186.347234634859,87.3320155490994,63.6381372133494,100.490352854959,1788.24500022889,1493.5,1322.88083933329,1668,1456,1564,1454,78.5063986710774
"2003/2004",2004,120,120,100,60.5611286425316,240.657589719524,73.9877692723223,73.6371118668001,99.3528517565779,2113.08080526319,1868.5,1688.62587023163,1965.5,1839.5,1712,1837.5,86.6033988590194
"2004/2005",2005,121,121,100,48.693692085595,208.261617016572,69.1589925022419,62.0873854150884,95.7858719683231,2040.45999694655,1851,1725.7642936549,1895,1839,1526,1830.5,86.2664160082235
"2005/2006",2006,120,120,100,49.0938661684075,205.463102092743,79.0385243369773,60.5772144270337,94.9878851683339,1926.89027095216,1723.5,1578.53363809173,1824,1695.5,1565,1693.5,82.5320572225673
"2006/2007",2007,120,120,100,50.3639354653813,238.350792568881,74.9506381110759,63.2019651294786,97.5239860797937,1875.01878345672,1610,1484.28354743396,1744,1561.5,1466,1558.5,80.4029547278203
"2007/2008",2008,120,120,100,52.3020054075583,207.821020587358,88.3189732880285,69.0231172034954,101.083497292133,1876.38859365636,1542,1311.49991635767,1756,1441.5,1691,1441.5,75.0023548793564
"2008/2009",2009,121,121,100,50.2496473411838,233.018162505596,72.1685212982909,59.8073001881847,94.7115784553659,1995.92979555237,1804,1656.90616698613,1846.5,1789.5,1558,1776,84.1079422864289
"2009/2010",2010,120,120,100,63.8026815502218,248.998443680874,74.3956545191899,75.7917517918171,99.0810191400419,2250.9923238476,1997.5,1762.18784408278,2114,1928.5,1966,1927,86.9261437514422
"2010/2011",2011,120,120,100,59.3946501417482,235.371951795843,76.8495155909728,70.2022394149777,98.1292243117537,2110.73796085468,1853,1695.48464927623,1957,1843,1728,1842.5,83.1843165508176
"2011/2012",2012,120,120,100,41.9392715145233,168.523602620195,86.6474413080427,55.6823994615361,96.867031224816,1661.83282338116,1411,1258.79779893392,1542,1370.5,1345,1358.5,75.5628664646968
"2012/2013",2013,121,121,100,56.7590383379907,232.694134184286,78.5651839106196,72.2546446183549,100.43012697524,2033.79536946797,1765,1581.11904374535,1901.5,1702.5,1734,1701,83.912717807922
"2013/2014",2014,120,120,100,27.8845159371792,113.045627052631,91.8707956162489,42.8206677020574,95.674421554291,1355.79213601733,1127,1059.30885618366,1239.5,1106,995,1098.5,71.0178538883242
"2014/2015",2015,120,120,100,49.8573787712961,199.716757573741,77.1325732231708,62.44509027993,95.4171084021948,1923.72005132614,1732,1530.24708160126,1803.5,1673.5,1590,1657.5,79.2183899796123
"2015/2016",2016,120,120,100,45.1709318810901,172.488652035625,79.6883385019216,57.1499722004766,96.3561990917576,1807.01022853723,1594.5,1428.77890079924,1719.5,1551,1457,1549.5,80.4938659650011
"2016/2017",2017,121,121,100,42.1734603890471,189.049005665737,75.8360801571456,55.710887101736,95.4934832750726,1760.79159106138,1537,1392.03263891171,1642,1503.5,1392,1469,79.5715423154402
"2017/2018",2018,120,120,100,43.6112756282791,175.001025207252,86.4411792384462,61.3683629805789,97.5169497054566,1715.99420936489,1456,1267.27118872722,1593,1373.5,1427,1364.5,75.8209304979077
"2018/2019",2019,120,120,100,46.0137910740786,170.899627739072,81.7838128737644,62.780460499247,98.4717476102244,1889.68154869082,1597.5,1463.50228018976,1740,1564,1524,1556.5,81.4035081033571
"2019/2020",2020,120,120,100,47.7707177068745,206.043227645077,69.7106113320061,60.054380616799,94.2678417431245,2010.54871916164,1835.5,1708.99480026954,1887.5,1834,1576,1805.5,85.6708054145624
"2020/2021",2021,121,121,100,47.9543511713583,198.202045978588,85.116732716421,68.9338296661828,102.46572824177,1776.07627683962,1453,1282.74396211045,1662,1388,1520,1388,80.0953315146348
"2021/2022",2022,120,120,100,40.032118649224,155.162700525935,81.3336986229795,55.9099247987889,95.2110783249134,1626.45799612178,1377.5,1152.35734369283,1484.5,1314,1326,1256.5,74.0042432715477
"2022/2023",2023,120,120,100,49.1891579927978,191.79270131283,76.7197182772321,67.9826790123266,99.3934475485755,2081.68850417179,1832.5,1622.12532230704,1959,1754,1737,1752.5,84.6419739822754
"2023/2024",2024,120,120,100,50.0651931464725,223.721809914996,67.4833100182074,62.5935571987925,94.0149817272565,2063.36442316357,1871.5,1716.62362800157,1920.5,1839.5,1621,1819.5,84.6703483504048
"2024/2025",2025,121,121,100,56.3539218039618,224.730902719402,78.8713207039597,71.5710457958016,100.154740985327,2101.9308347918,1818,1635.18918496087,1979,1780,1760,1778.5,84.3386219141616
"2025/2026",2026,120,120,100,35.4786621076217,160.88529501557,98.7366462024335,51.1095932312691,97.8142587324712,1413.69470443447,1124,968.688635578037,1316.5,1060.5,1225,1057.5,70.713611742558
"2026/2027",2027,120,120,100,47.7283213286212,217.378527647573,71.5161646211943,62.3229651309414,96.642787077983,2005.81940022724,1774,1654.23232309614,1873.5,1758,1557,1755,85.3286642360431
"2027/2028",2028,120,120,100,50.4329714981272,178.83240399787,91.1304625442037,70.1434286536162,102.952812860966,1836.43918034885,1482,1254.4345632929,1699,1391.5,1659,1391.5,76.8429445731031
"2028/2029",2029,121,121,100,44.8487152020595,212.630727844325,76.8522911160354,60.8196738811568,97.9908286686771,1806.60929802361,1547.5,1370.13217397557,1698.5,1482,1502,1475,81.6050372867126
