"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1973/1974",1974,120,120,100,60.7865353037767,243.545628085337,76.1212525961076,74.0194,99.2083333333333,2124.23227885662,1863,1655.47622541814,1982,1812.5,1825,1812.5,84.9513008807224
"1974/1975",1975,120,120,100,59.5459770114943,272.935368561332,66.0276425996699,69.023,94.6916666666667,2174.01354849436,1998.5,1922.16016571013,2031.5,2017,1678,2017,89.9528211696025
"1975/1976",1976,120,120,100,57.0484400656814,200.276463467958,81.6713348704239,69.6545,98.8708333333333,2015.12394798148,1750,1573.82500107025,1880,1724.5,1727,1724.5,81.7221216117431
"1976/1977",1977,121,121,100,53.8070607553366,191.893501746094,80.884238263563,68.2961,100.195833333333,1998.95941932233,1735.5,1572.71504657728,1855.5,1708,1647,1708,83.6921835881519
"1977/1978",1978,120,120,100,47.2060755336617,173.8853915054,82.0132126185717,64.2742,99.6,1811.91529452004,1556.5,1320.8011045906,1707,1465.5,1585,1454,77.5910474327517
"1978/1979",1979,120,120,100,28.6190476190476,154.997178022145,96.858488957479,49.5999,99.5708333333333,1375.89022892023,1031,923.034439723437,1245.5,964.5,1115,964.5,67.8497666040956
"1979/1980",1980,120,120,100,53.551724137931,225.438491894723,78.136289101352,70.4911,99.5,1932.1917800716,1643.5,1463.56224999102,1816.5,1584.5,1618,1584.5,81.2473860159698
"1980/1981",1981,121,121,100,36.2389162561576,163.532946129323,86.643859876957,61.2684,103.704166666667,1595.01535943605,1210,1037.46405859687,1490,1101.5,1383,1100,75.3985515087729
"1981/1982",1982,120,120,100,37.7093596059113,189.532417402699,87.0041979011817,58.4706,99.675,1595.52388071815,1335,1124.73965238011,1494.5,1241.5,1385,1238.5,76.6553566842476
"1982/1983",1983,120,120,100,44.7545155993432,195.268120215566,75.5546003320446,58.553,97.0083333333333,1960.51117405629,1703,1561.6997171539,1817.5,1681,1633,1677.5,82.9219385368172
"1983/1984",1984,120,120,100,49.6141215106732,225.344074623193,78.7736625728625,67.877,101.354166666667,1875.59519847039,1587.5,1336.66877344793,1770.5,1504,1664,1498,81.2615283663908
"1984/1985",1985,121,121,100,47.6617405582923,197.716598980156,94.0506571382573,58.4177,93.75,1595.30146412503,1376.5,1197.98324563814,1493.5,1332,1322,1330,72.5944301653335
"1985/1986",1986,120,120,100,33.1305418719212,140.212586219041,91.2847456947175,50.2774,98.125,1461.03634577384,1152.5,1052.44842415954,1313.5,1127.5,1143,1122,69.3120034889091
"1986/1987",1987,120,120,100,37.4178981937603,170.154163941605,89.3257362208688,53.537,95.775,1620.97983118172,1344.5,1214.70768228678,1480.5,1303,1268,1299,72.7624578421096
"1987/1988",1988,120,120,100,59.2775041050903,214.773020334755,73.9884432718231,72.8539,97.4458333333333,2224.69169164749,1949.5,1813.32433303882,2068,1933.5,1821,1932,86.9683236085461
"1988/1989",1989,121,121,100,61.1929392446634,244.142826413227,71.4848039415842,73.676,98.6625,2256.41707172529,1998.5,1895.32980364315,2089,2016.5,1799,2016.5,90.2524141530216
"1989/1990",1990,120,120,100,49.4671592775041,214.491231691131,68.242288182994,63.95,95.6708333333333,1991.57991773624,1730,1609.20133697155,1868,1711.5,1586,1689.5,82.6814775255289
"1990/1991",1991,120,120,100,45.2692939244663,169.939936462524,84.6941063098035,62.9962,100.6,1811.49490168513,1498.5,1338.52315293319,1694,1461,1520,1458.5,77.0440165009995
"1991/1992",1992,120,120,100,55.3612479474548,208.852215644354,78.7631640845966,71.3787,100.545833333333,1995.07107614703,1752,1520.06857274683,1887.5,1679.5,1701,1676.5,81.3697260663907
"1992/1993",1993,121,121,100,49.5188834154351,195.992732290036,77.1246353409973,62.8203,97.7041666666667,2051.62837402812,1862,1666.36414431106,1932,1829,1671,1828.5,85.4795702533866
"1993/1994",1994,120,120,100,56.7594417077176,192.559280348888,80.148356717494,70.4796,100.308333333333,2076.49046488115,1853,1603.71428737052,1969,1804,1828,1802.5,82.7542006249869
"1994/1995",1995,120,120,100,44.1871921182266,187.113116260887,69.0326972072485,54.0631,91.3875,1915.08995849677,1789,1718.66522001052,1804,1784.5,1374,1770,85.2231833750698
