"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"1973/1974",1974,120,120,100,84.9513008807224,2238.14757839642,486
"1974/1975",1975,120,120,100,89.9528211696025,3787.6646707281,321
"1975/1976",1976,120,120,100,81.7221216117431,1815.61511570279,681
"1976/1977",1977,121,121,100,83.6921835881519,1966.66554902768,720
"1977/1978",1978,120,120,100,77.5910474327517,2659.34722278151,821
"1978/1979",1979,120,120,100,67.8497666040956,1445.48745887761,1383
"1979/1980",1980,120,120,100,81.2473860159698,2382.00372993917,692
"1980/1981",1981,121,121,100,75.3985515087729,2100.21260473755,1084
"1981/1982",1982,120,120,100,76.6553566842476,2011.97649388027,1079
"1982/1983",1983,120,120,100,82.9219385368172,2996.23273731128,585
"1983/1984",1984,120,120,100,81.2615283663908,2154.71586979332,760
"1984/1985",1985,121,121,100,72.5944301653335,2048.53889485879,1114
"1985/1986",1986,120,120,100,69.3120034889091,1850.44192040327,1284
"1986/1987",1987,120,120,100,72.7624578421096,2638.42413193511,984
"1987/1988",1988,120,120,100,86.9683236085461,2897.01886449102,298
"1988/1989",1989,121,121,100,90.2524141530216,2743.91944232397,366
"1989/1990",1990,120,120,100,82.6814775255289,4759.12121162913,371
"1990/1991",1991,120,120,100,77.0440165009995,1907.15785475483,910
"1991/1992",1992,120,120,100,81.3697260663907,2093.03124467866,689
"1992/1993",1993,121,121,100,85.4795702533866,2754.97492830805,579
"1993/1994",1994,120,120,100,82.7542006249869,1829.05569230067,628
"1994/1995",1995,120,120,100,85.2231833750698,5503.42393639474,355
"1995/1996",1996,120,120,100,73.8031990682302,1375.68798016361,1161
"1996/1997",1997,121,121,100,74.6552281957256,2703.02700216789,885
"1997/1998",1998,120,120,100,86.9148319241531,3983.93622672884,414
"1998/1999",1999,120,120,100,81.9810100564346,2110.15254680556,658
"1999/2000",2000,120,120,100,86.5663624627787,2448.31252821186,413
"2000/2001",2001,121,121,100,86.4379709739405,4146.45174375875,477
"2001/2002",2002,120,120,100,79.9548836445883,3309.68068330968,714
"2002/2003",2003,120,120,100,81.7021229927177,3089.10451310105,774
"2003/2004",2004,120,120,100,79.5927590421998,3927.8775432976,543
"2004/2005",2005,121,121,100,79.0754907732471,1861.20303556905,879
"2005/2006",2006,120,120,100,76.9016127162577,1941.69402330159,852
"2006/2007",2007,120,120,100,87.7571907288248,5694.72968134959,236
"2007/2008",2008,120,120,100,87.5794302688073,3198.77590227616,492
"2008/2009",2009,121,121,100,78.3921349240654,1720.36402691342,867
"2009/2010",2010,120,120,100,71.0585382011523,3200.64945579367,972
"2010/2011",2011,120,120,100,69.0541719501771,2855.29120264016,1034
"2011/2012",2012,120,120,100,81.0151169682986,3093.30271050287,524
"2012/2013",2013,121,121,100,79.4516832236332,2287.00449883612,823
"2013/2014",2014,120,120,100,91.1079887341866,3158.4786813776,198
"2014/2015",2015,120,120,100,83.4200586506067,3023.06185373338,429
"2015/2016",2016,120,120,100,82.3362525216453,6707.56213369174,295
"2016/2017",2017,121,121,100,83.3587257630643,2462.59571456257,665
"2017/2018",2018,120,120,100,85.5595574131548,2266.99820047012,488
"2018/2019",2019,120,120,100,81.9714258277645,4462.71171329916,410
