Treatment;Initial_Condition;Date;Final_Condition;Date2;Day
1;Outside;19/11/2018;Outside;11/19/2018;0
4;Outside;19/11/2018;Outside;11/19/2018;0
5;Outside;19/11/2018;Outside;11/19/2018;0
10;Outside;19/11/2018;Outside;11/19/2018;0
11;Outside;19/11/2018;Outside;11/19/2018;0
16;Outside;19/11/2018;Outside;11/19/2018;0
17;Outside;19/11/2018;Outside;11/19/2018;0
18;Outside;19/11/2018;Outside;11/19/2018;0
19;Outside;19/11/2018;Outside;11/19/2018;0
20;Outside;19/11/2018;Outside;11/19/2018;0
21;Outside;19/11/2018;Outside;11/19/2018;0
2;Outside;19/11/2018;Un-heated;11/19/2018;0
6;Outside;19/11/2018;Un-heated;11/19/2018;0
7;Outside;19/11/2018;Un-heated;11/19/2018;0
12;Outside;19/11/2018;Un-heated;11/19/2018;0
13;Outside;19/11/2018;Un-heated;11/19/2018;0
22;Outside;19/11/2018;Un-heated;11/19/2018;0
23;Outside;19/11/2018;Un-heated;11/19/2018;0
24;Outside;19/11/2018;Un-heated;11/19/2018;0
25;Outside;19/11/2018;Un-heated;11/19/2018;0
26;Outside;19/11/2018;Un-heated;11/19/2018;0
27;Outside;19/11/2018;Un-heated;11/19/2018;0
3;Outside;19/11/2018;Heated;11/19/2018;0
8;Outside;19/11/2018;Heated;11/19/2018;0
9;Outside;19/11/2018;Heated;11/19/2018;0
14;Outside;19/11/2018;Heated;11/19/2018;0
15;Outside;19/11/2018;Heated;11/19/2018;0
28;Outside;19/11/2018;Heated;11/19/2018;0
29;Outside;19/11/2018;Heated;11/19/2018;0
30;Outside;19/11/2018;Heated;11/19/2018;0
31;Outside;19/11/2018;Heated;11/19/2018;0
32;Outside;19/11/2018;Heated;11/19/2018;0
33;Outside;19/11/2018;Heated;11/19/2018;0
1;Outside;17/12/2018;Outside;12/17/2018;28
4;Outside;17/12/2018;Outside;12/17/2018;28
5;Outside;17/12/2018;Outside;12/17/2018;28
10;Outside;17/12/2018;Outside;12/17/2018;28
