"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1990-01-01 12:00:00,1990,1,1,NA,NA,NA,NA
1990-01-02 12:00:00,1990,1,2,NA,NA,NA,NA
1990-01-03 12:00:00,1990,1,3,0.999999999999998,2,1.5,0
1990-01-04 12:00:00,1990,1,4,-1,2,0.722222222222221,0
1990-01-05 12:00:00,1990,1,5,NA,NA,NA,NA
1990-01-06 12:00:00,1990,1,6,NA,NA,NA,NA
1990-01-07 12:00:00,1990,1,7,NA,NA,NA,NA
1990-01-08 12:00:00,1990,1,8,2,7,4.5,0
1990-01-09 12:00:00,1990,1,9,NA,NA,NA,NA
1990-01-10 12:00:00,1990,1,10,NA,NA,NA,NA
1990-01-11 12:00:00,1990,1,11,6,8,7,0
1990-01-12 12:00:00,1990,1,12,0.999999999999998,4,2.27777777777778,0
1990-01-13 12:00:00,1990,1,13,NA,NA,NA,NA
1990-01-14 12:00:00,1990,1,14,NA,NA,NA,NA
1990-01-15 12:00:00,1990,1,15,3,7,5.27777777777778,NA
1990-01-16 12:00:00,1990,1,16,NA,NA,NA,NA
1990-01-17 12:00:00,1990,1,17,9,11,10.5,0
1990-01-18 12:00:00,1990,1,18,NA,NA,NA,NA
1990-01-19 12:00:00,1990,1,19,NA,NA,NA,NA
1990-01-20 12:00:00,1990,1,20,NA,NA,NA,NA
1990-01-21 12:00:00,1990,1,21,NA,NA,NA,NA
1990-01-22 12:00:00,1990,1,22,NA,NA,NA,NA
1990-01-23 12:00:00,1990,1,23,9,11,10.2777777777778,NA
1990-01-24 12:00:00,1990,1,24,NA,NA,NA,NA
1990-01-25 12:00:00,1990,1,25,NA,NA,NA,NA
1990-01-26 12:00:00,1990,1,26,7,9,7.5,NA
1990-01-27 12:00:00,1990,1,27,NA,NA,NA,NA
1990-01-28 12:00:00,1990,1,28,NA,NA,NA,NA
1990-01-29 12:00:00,1990,1,29,NA,NA,NA,NA
1990-01-30 12:00:00,1990,1,30,NA,NA,NA,NA
1990-01-31 12:00:00,1990,1,31,NA,NA,NA,NA
1990-02-01 12:00:00,1990,2,1,NA,NA,NA,NA
1990-02-02 12:00:00,1990,2,2,10,11,10.5,0
1990-02-03 12:00:00,1990,2,3,NA,NA,NA,NA
1990-02-04 12:00:00,1990,2,4,NA,NA,NA,NA
1990-02-05 12:00:00,1990,2,5,NA,NA,NA,NA
1990-02-06 12:00:00,1990,2,6,7,16,11.2222222222222,0
1990-02-07 12:00:00,1990,2,7,NA,NA,NA,NA
1990-02-08 12:00:00,1990,2,8,11,17,14,0
1990-02-09 12:00:00,1990,2,9,3,11,7.5,0
1990-02-10 12:00:00,1990,2,10,NA,NA,NA,NA
1990-02-11 12:00:00,1990,2,11,NA,NA,NA,NA
1990-02-12 12:00:00,1990,2,12,NA,NA,NA,NA
