"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1990-01-01 12:00:00,1990,1,1,-1,0.999999999999998,0.222222222222221,0
1990-01-02 12:00:00,1990,1,2,-1,2,0.833333333333333,NA
1990-01-03 12:00:00,1990,1,3,-1,2,0.444444444444443,0
1990-01-04 12:00:00,1990,1,4,-2,2,-0.555555555555556,0
1990-01-05 12:00:00,1990,1,5,0,4,1.83333333333333,NA
1990-01-06 12:00:00,1990,1,6,-1,5,1.05555555555555,0
1990-01-07 12:00:00,1990,1,7,-1,4,0.611111111111112,0
1990-01-08 12:00:00,1990,1,8,0.999999999999998,9,4.11111111111111,NA
1990-01-09 12:00:00,1990,1,9,4.61111111111111,9,5.72222222222222,NA
1990-01-10 12:00:00,1990,1,10,2,7,4.61111111111111,NA
1990-01-11 12:00:00,1990,1,11,4,7.22222222222222,5,0
1990-01-12 12:00:00,1990,1,12,-1.11111111111111,6,4.22222222222222,0
1990-01-13 12:00:00,1990,1,13,NA,NA,NA,NA
1990-01-14 12:00:00,1990,1,14,NA,NA,NA,NA
1990-01-15 12:00:00,1990,1,15,0.999999999999998,10,7.44444444444444,NA
1990-01-16 12:00:00,1990,1,16,9.61111111111111,11,10.1111111111111,0
1990-01-17 12:00:00,1990,1,17,2,11,8.27777777777778,NA
1990-01-18 12:00:00,1990,1,18,2,7,3.83333333333333,0
1990-01-19 12:00:00,1990,1,19,0.999999999999998,8,4.5,NA
1990-01-20 12:00:00,1990,1,20,4.5,9,6.55555555555555,NA
1990-01-21 12:00:00,1990,1,21,7,11,9.27777777777778,NA
1990-01-22 12:00:00,1990,1,22,4,10,7.38888888888889,NA
1990-01-23 12:00:00,1990,1,23,5.22222222222222,10,8.61111111111111,NA
1990-01-24 12:00:00,1990,1,24,4,8,5.44444444444444,NA
1990-01-25 12:00:00,1990,1,25,5,14,8.72222222222222,NA
1990-01-26 12:00:00,1990,1,26,3,7.11111111111111,4.66666666666667,NA
1990-01-27 12:00:00,1990,1,27,4.61111111111111,9,6.44444444444444,NA
1990-01-28 12:00:00,1990,1,28,5.27777777777778,10,8.27777777777778,0
1990-01-29 12:00:00,1990,1,29,2,9,6.22222222222222,NA
1990-01-30 12:00:00,1990,1,30,2,12,7.66666666666667,0
1990-01-31 12:00:00,1990,1,31,9,11,9.5,0
1990-02-01 12:00:00,1990,2,1,6,12,8.61111111111111,0
1990-02-02 12:00:00,1990,2,2,6,10,7.66666666666667,NA
1990-02-03 12:00:00,1990,2,3,6,14,8,NA
1990-02-04 12:00:00,1990,2,4,4,11,6.72222222222222,0
1990-02-05 12:00:00,1990,2,5,2,15,7,0
1990-02-06 12:00:00,1990,2,6,2,15,8.72222222222222,0
1990-02-07 12:00:00,1990,2,7,8,14,11.4444444444444,NA
1990-02-08 12:00:00,1990,2,8,5.5,15,10.6666666666667,NA
1990-02-09 12:00:00,1990,2,9,2,9,5.55555555555556,0
1990-02-10 12:00:00,1990,2,10,0.499999999999999,10,4.5,NA
1990-02-11 12:00:00,1990,2,11,3,9.88888888888889,5.55555555555556,NA
1990-02-12 12:00:00,1990,2,12,0,6,3.66666666666667,NA
1990-02-13 12:00:00,1990,2,13,-0.111111111111111,9,3.55555555555555,NA
1990-02-14 12:00:00,1990,2,14,3,9.27777777777778,5.83333333333333,NA
1990-02-15 12:00:00,1990,2,15,0,4,1.55555555555555,NA
1990-02-16 12:00:00,1990,2,16,-1,6,2.05555555555556,NA
1990-02-17 12:00:00,1990,2,17,-2,9,3.61111111111111,0
1990-02-18 12:00:00,1990,2,18,6,13,10.0555555555556,NA
1990-02-19 12:00:00,1990,2,19,6,15,11,0
1990-02-20 12:00:00,1990,2,20,9,19,13.2777777777778,0
1990-02-21 12:00:00,1990,2,21,4,17,10.0555555555556,0
1990-02-22 12:00:00,1990,2,22,2,14,6.27777777777778,0
1990-02-23 12:00:00,1990,2,23,2.77777777777778,15,7.88888888888889,0
1990-02-24 12:00:00,1990,2,24,3,21,12.1111111111111,0
1990-02-25 12:00:00,1990,2,25,8,15,11.5555555555556,NA
1990-02-26 12:00:00,1990,2,26,3,13,8.77777777777778,NA
1990-02-27 12:00:00,1990,2,27,0,6,4.66666666666667,NA
1990-02-28 12:00:00,1990,2,28,4,11.2777777777778,6.44444444444444,NA
1990-03-01 12:00:00,1990,3,1,0,6.88888888888889,3.22222222222222,NA
1990-03-02 12:00:00,1990,3,2,0,4,1.22222222222222,NA
1990-03-03 12:00:00,1990,3,3,0,7,3.38888888888889,NA
1990-03-04 12:00:00,1990,3,4,3,8,5.16666666666667,NA
1990-03-05 12:00:00,1990,3,5,5,9,6.66666666666667,NA
1990-03-06 12:00:00,1990,3,6,6,10,7.94444444444444,0
1990-03-07 12:00:00,1990,3,7,8,12,9.88888888888889,NA
1990-03-08 12:00:00,1990,3,8,7.22222222222222,14,10.3333333333333,0
1990-03-09 12:00:00,1990,3,9,5,12,8.61111111111111,NA
1990-03-10 12:00:00,1990,3,10,6,14,9.44444444444444,NA
1990-03-11 12:00:00,1990,3,11,7,18,13.0555555555556,0
1990-03-12 12:00:00,1990,3,12,3,11,8.72222222222222,0
1990-03-13 12:00:00,1990,3,13,-2,14,6.55555555555555,NA
1990-03-14 12:00:00,1990,3,14,4,12,9.05555555555555,NA
1990-03-15 12:00:00,1990,3,15,-1,17,7.5,0
1990-03-16 12:00:00,1990,3,16,0.999999999999998,18,10.3333333333333,0
1990-03-17 12:00:00,1990,3,17,4,20,10.3888888888889,0
1990-03-18 12:00:00,1990,3,18,2,23,12.1666666666667,0
1990-03-19 12:00:00,1990,3,19,9,20,14.6666666666667,NA
1990-03-20 12:00:00,1990,3,20,9,15,12.2777777777778,NA
1990-03-21 12:00:00,1990,3,21,8,16,12.3333333333333,0
1990-03-22 12:00:00,1990,3,22,6,13,10,NA
1990-03-23 12:00:00,1990,3,23,4,12,8.55555555555556,0
1990-03-24 12:00:00,1990,3,24,3,10,8.05555555555556,NA
1990-03-25 12:00:00,1990,3,25,2,5,3.55555555555555,NA
1990-03-26 12:00:00,1990,3,26,2,7,4.66666666666667,NA
1990-03-27 12:00:00,1990,3,27,0.999999999999998,10,4.55555555555556,NA
1990-03-28 12:00:00,1990,3,28,0.999999999999998,9,4.44444444444444,NA
1990-03-29 12:00:00,1990,3,29,4,10,6.72222222222222,NA
1990-03-30 12:00:00,1990,3,30,2,13,6.72222222222222,0
1990-03-31 12:00:00,1990,3,31,0.999999999999998,18,9.16666666666667,0
1990-04-01 12:00:00,1990,4,1,5,21,12.1666666666667,0
1990-04-02 12:00:00,1990,4,2,6,20,13.5555555555556,NA
1990-04-03 12:00:00,1990,4,3,4,12,7.5,NA
1990-04-04 12:00:00,1990,4,4,-1,6,2.5,NA
1990-04-05 12:00:00,1990,4,5,-3,8,2.05555555555556,0
1990-04-06 12:00:00,1990,4,6,-4,13,4.5,0
1990-04-07 12:00:00,1990,4,7,3,12,7.16666666666667,0
1990-04-08 12:00:00,1990,4,8,2,10,6.05555555555556,NA
1990-04-09 12:00:00,1990,4,9,-2,10,4.5,0
1990-04-10 12:00:00,1990,4,10,-1.5,12,5.94444444444445,NA
1990-04-11 12:00:00,1990,4,11,5,12,8.5,NA
1990-04-12 12:00:00,1990,4,12,6,11,8.44444444444445,NA
1990-04-13 12:00:00,1990,4,13,7,13,10.1111111111111,0
1990-04-14 12:00:00,1990,4,14,5,10,7.88888888888889,NA
1990-04-15 12:00:00,1990,4,15,4.5,10,6.44444444444444,NA
1990-04-16 12:00:00,1990,4,16,3,10,6.22222222222222,NA
1990-04-17 12:00:00,1990,4,17,2,8,5.33333333333333,NA
1990-04-18 12:00:00,1990,4,18,0,12,5.27777777777778,NA
1990-04-19 12:00:00,1990,4,19,-1,13,5.66666666666667,NA
1990-04-20 12:00:00,1990,4,20,0.999999999999998,12,6.22222222222222,NA
1990-04-21 12:00:00,1990,4,21,2,16,8.66666666666667,NA
1990-04-22 12:00:00,1990,4,22,4,18,11.1666666666667,NA
1990-04-23 12:00:00,1990,4,23,6.61111111111111,16,10.7777777777778,NA
1990-04-24 12:00:00,1990,4,24,6,16,10.5555555555556,NA
1990-04-25 12:00:00,1990,4,25,5,16,9.61111111111111,NA
1990-04-26 12:00:00,1990,4,26,6,17,12.0555555555556,0
1990-04-27 12:00:00,1990,4,27,3,11.7222222222222,8.33333333333333,NA
1990-04-28 12:00:00,1990,4,28,1.77777777777778,12,7.16666666666667,0
1990-04-29 12:00:00,1990,4,29,0.999999999999998,17,10.6666666666667,0
1990-04-30 12:00:00,1990,4,30,5,22,14.4444444444444,0
1990-05-01 12:00:00,1990,5,1,7,24,16.1666666666667,0
1990-05-02 12:00:00,1990,5,2,7,26,17.1111111111111,0
1990-05-03 12:00:00,1990,5,3,10,26,18.1111111111111,0
1990-05-04 12:00:00,1990,5,4,9,25,17.8888888888889,0
1990-05-05 12:00:00,1990,5,5,9,27,19.2222222222222,0
1990-05-06 12:00:00,1990,5,6,9,28,19.7222222222222,0
1990-05-07 12:00:00,1990,5,7,11,26,16.3888888888889,0
1990-05-08 12:00:00,1990,5,8,9.22222222222222,24,15.5,0
1990-05-09 12:00:00,1990,5,9,9,21,14.6111111111111,NA
1990-05-10 12:00:00,1990,5,10,9.72222222222222,15,12.3888888888889,NA
1990-05-11 12:00:00,1990,5,11,6,15,11.2777777777778,NA
1990-05-12 12:00:00,1990,5,12,6,14,10.1111111111111,NA
1990-05-13 12:00:00,1990,5,13,9,14,11.1666666666667,NA
1990-05-14 12:00:00,1990,5,14,6,14,11.1111111111111,NA
1990-05-15 12:00:00,1990,5,15,4,21,14.2222222222222,0
1990-05-16 12:00:00,1990,5,16,13,16,14.5555555555556,0
1990-05-17 12:00:00,1990,5,17,10,20,16.1666666666667,0
1990-05-18 12:00:00,1990,5,18,7,15,11.2777777777778,0
1990-05-19 12:00:00,1990,5,19,4,21,13.1666666666667,0
1990-05-20 12:00:00,1990,5,20,7,23,16.0555555555556,0
1990-05-21 12:00:00,1990,5,21,8,23,16.8333333333333,0
1990-05-22 12:00:00,1990,5,22,9,12,10.7222222222222,0
1990-05-23 12:00:00,1990,5,23,NA,NA,NA,NA
1990-05-24 12:00:00,1990,5,24,NA,NA,NA,NA
