"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance","Overlap_years","Perc_interval_covered"
"105170_99999","BONN/FRIESDORF(AUT)","GM",50.7,7.15,19360102,19921231,4.86,3,9.68
"105180_99999","BONN-HARDTHOEHE","GM",50.7,7.033,19750523,19971223,5.79,7.98,25.74
"105190_99999","BONN-ROLEBER","GM",50.733,7.2,20010705,20081231,7.07,7.49,24.17
"105130_99999","KOLN BONN","GM",50.866,7.143,19310101,20221030,15.43,31,100
"105090_99999","BUTZWEILERHOF(BAFB)","GM",50.983,6.9,19780901,19950823,31.47,5.64,18.21
"105020_99999","NORVENICH","GM",50.831,6.658,19730101,20221030,33.14,31,100
"105140_99999","MENDIG","GM",50.366,7.315,19730102,19971231,43.26,8,25.81
"105060_99999","NUERBURG-BARWEILER","GM",50.367,6.867,19950401,19971231,43.63,2.75,8.88
"105080_99999","BLANKENHEIM","GM",50.45,6.65,19781002,19840504,44.56,0,0
"105100_99999","NUERBURG","GM",50.333,6.95,19300901,19921231,45.42,3,9.68
"105150_99999","BENDORF","GM",50.417,7.583,19310102,20030816,48.82,13.62,43.95
"105040_99999","EIFEL","GM",50.65,6.283,20040501,20040501,58.41,0,0.01
"105260_99999","BAD MARIENBERG","GM",50.667,7.967,19730101,20030816,61.65,13.62,43.95
"106130_99999","BUCHEL","GM",50.174,7.063,19730101,20221030,61.9,31,100
"105030_99999","AACHEN/MERZBRUCK","GM",50.817,6.183,19780901,19971212,65.4,7.95,25.64
"104190_99999","LUDENSCHEID       &","GM",51.233,7.6,19270906,20030306,66.06,13.18,42.51
"104000_99999","DUSSELDORF","GM",51.289,6.767,19310102,20221030,66.43,31,100
"106162_99999","SIEGERLAND","GM",50.708,8.083,20040510,20221030,69.46,16.64,53.69
"104180_99999","LUEDENSCHEID","GM",51.25,7.65,19940301,19971231,69.55,3.84,12.38
"104374_99999","MONCHENGLADBACH","GM",51.23,6.504,19960715,20221030,69.61,24.46,78.91
"104030_99999","MOENCHENGLADBACH","GM",51.233,6.5,19381001,19421031,70.05,0,0
"105010_99999","AACHEN","GM",50.783,6.1,19280101,20030816,70.81,13.62,43.95
"064960_99999","ELSENBORN (MIL)","BE",50.467,6.183,19840501,20221030,71.21,31,100
"104090_99999","ESSEN/MUELHEIM","GM",51.4,6.967,19300414,19431231,75.12,0,0
"104100_99999","ESSEN/MULHEIM","GM",51.4,6.967,19310101,20030816,75.12,13.62,43.95
