"","DATE","Year","Month","Day","Temp_gaps","Tmin","Tmean","Tmax"
"1",2008-03-03 12:00:00,2008,3,3,15.0159285714286,7.92,15.0159285714286,19.508
"2",2008-03-04 12:00:00,2008,3,4,NA,3.775,12.8120416666667,21.867
"3",2008-03-05 12:00:00,2008,3,5,NA,6.611,13.7560416666667,20.793
"4",2008-03-06 12:00:00,2008,3,6,NA,3.063,10.518625,17.819
"5",2008-03-07 12:00:00,2008,3,7,NA,3.248,12.430375,21.103
"6",2008-03-08 12:00:00,2008,3,8,NA,6.788,14.6324166666667,22.609
"7",2008-03-09 12:00:00,2008,3,9,NA,6.026,14.5924166666667,23.472
"8",2008-03-10 12:00:00,2008,3,10,NA,5.796,14.5447083333333,23.424
"9",2008-03-11 12:00:00,2008,3,11,NA,6.788,14.591,21.413
"10",2008-03-12 12:00:00,2008,3,12,NA,6.737,15.1414166666667,22.369
"11",2008-03-13 12:00:00,2008,3,13,NA,10.736,15.009875,20.936
"12",2008-03-14 12:00:00,2008,3,14,NA,6.965,10.9058333333333,16.963
"13",2008-03-15 12:00:00,2008,3,15,NA,5.514,9.93458333333333,15.247
"14",2008-03-16 12:00:00,2008,3,16,NA,8.693,12.4688333333333,17.439
"15",2008-03-17 12:00:00,2008,3,17,NA,9.952,15.7262916666667,23.713
"16",2008-03-18 12:00:00,2008,3,18,NA,6.077,15.34,24.702
"17",2008-03-19 12:00:00,2008,3,19,NA,6.408,14.0401666666667,23.328
"18",2008-03-20 12:00:00,2008,3,20,NA,6.763,13.5354166666667,20.222
"19",2008-03-21 12:00:00,2008,3,21,NA,6.179,12.7794166666667,20.77
"20",2008-03-22 12:00:00,2008,3,22,NA,5.872,15.7055833333333,25.914
"21",2008-03-23 12:00:00,2008,3,23,NA,3.775,14.2486666666667,25.355
"22",2008-03-24 12:00:00,2008,3,24,NA,6.889,16.419875,26.426
"23",2008-03-25 12:00:00,2008,3,25,NA,8.866,16.8278333333333,23.737
"24",2008-03-26 12:00:00,2008,3,26,NA,7.97,13.0015833333333,19.841
"25",2008-03-27 12:00:00,2008,3,27,NA,5.308,10.980125,18.271
"26",2008-03-28 12:00:00,2008,3,28,NA,6.357,12.4832916666667,21.199
