"Date","Type","JDay","Coef","VIP","MetricMean","MetricStdev"
701,"Chill",-183,0.000650029439107167,0.308866127235195,0.0501720030195959,0.220541589350355
702,"Chill",-182,-0.0828119686972993,0.536366188249877,0.049926725525348,0.219470572833982
703,"Chill",-181,0.0169911081609576,0.637630787763499,0.0501616217276067,0.22049471180715
704,"Chill",-180,-0.147084176561044,0.717150796082678,0.0671166943661261,0.253262756330337
705,"Chill",-179,0.209908506814596,1.73662970211781,0.0834633719668492,0.279204312928763
706,"Chill",-178,0,0,0,0
707,"Chill",-177,0.0508220241906411,0.659252374476751,0.033537824909145,0.182131247358195
708,"Chill",-176,-0.041234917705328,0.516687897856012,0.016757539048231,0.129803339314438
709,"Chill",-175,0.244550298651969,1.99687466096555,0.0334136143197259,0.18145640347291
710,"Chill",-174,-0.0928859010874306,0.639971195441872,0.0168769844033388,0.130728559056667
711,"Chill",-173,0.00875365743904538,0.622554437241299,0.0361167045333152,0.175785022596452
712,"Chill",-172,0.123432690325399,0.689300431563683,0.0502374418330167,0.220831267656158
713,"Chill",-171,-0.029541417164146,0.293743807277888,0.0167955266191315,0.130097589773359
714,"Chill",-170,-0.0737882913350868,0.672463052508965,0.0167180694152016,0.12949760885163
715,"Chill",-169,0.129795875057445,1.47052750488438,0.0166692426465145,0.129119398327682
716,"Chill",-168,-0.0623677369714931,0.474486143862055,0.0494084963373951,0.217245197605489
717,"Chill",-167,-0.0375389271819637,0.475728791429425,0.0167929305122444,0.130077480415882
718,"Chill",-166,0.239122328601506,1.37640694342559,0.0167826621392731,0.129997941940861
719,"Chill",-165,0,0,0,0
720,"Chill",-164,0,0,0,0
721,"Chill",-163,0.118428094950431,1.02656990331794,0.0505046600247501,0.22200844968788
722,"Chill",-162,0.0493598306637749,0.534687461117358,0.0168832221834037,0.130776876693285
723,"Chill",-161,0,0,0,0
724,"Chill",-160,-0.242989967835807,1.2657576580163,0.0502284385210392,0.220788807733373
725,"Chill",-159,0.030433328679665,0.890440922089161,0.0503987172385921,0.221539425794728
726,"Chill",-158,0,0,0,0
727,"Chill",-157,0.062439155826034,0.269977314946724,0.0167909784522939,0.130062359824524
728,"Chill",-156,0,0,0,0
729,"Chill",-155,0.0829994889729659,0.73623300958944,0.0150435176676227,0.11652658679016
730,"Chill",-154,0.00678502648325121,0.759599645004409,0.0167463962954201,0.129717027922303
731,"Chill",-153,-0.0631909293648061,0.385288186570599,0.0167770849951905,0.129954741568558
801,"Chill",-152,-0.0928859010874306,0.639971195441872,0.0166667391852467,0.129100006600086
802,"Chill",-151,-0.159938922510624,1.10272813538036,0.0334597022708104,0.181706695645605
803,"Chill",-150,0.0624391558260341,0.269977314946724,0.0167187882654881,0.129503177042007
804,"Chill",-149,0,0,0,0
805,"Chill",-148,0,0,0,0
806,"Chill",-147,0.0624391558260341,0.269977314946724,0.0167911340583867,0.130063565144136
807,"Chill",-146,0,0,0,0
808,"Chill",-145,0,0,0,0
809,"Chill",-144,0,0,0,0
810,"Chill",-143,0,0,0,0
811,"Chill",-142,-0.0545126943393835,0.565121476370171,0.0160819086991553,0.124569929134113
812,"Chill",-141,0,0,0,0
813,"Chill",-140,-0.0305199423702099,0.143945119399378,0.0333982675609694,0.181373446499134
814,"Chill",-139,0.00678502648325119,0.759599645004409,0.0169702602456646,0.131451070624529
815,"Chill",-138,0.0288616166384105,0.447323945649862,0.0166106174350063,0.128665289392004
816,"Chill",-137,-0.0375389271819637,0.475728791429425,0.0168150860073405,0.13024909614295
817,"Chill",-136,-0.0927690675676267,0.968436020467862,0.0334202345260885,0.181492540065748
818,"Chill",-135,0.151253823430056,1.42985077921802,0.0836089651799669,0.279641031204619
819,"Chill",-134,-0.0128162330933623,0.386630852539356,0.0503976971511084,0.221532726494445
820,"Chill",-133,-0.0477177053392693,0.320430372128066,0.016726180561095,0.129560437517558
821,"Chill",-132,0.0931796399822826,0.998731887581521,0.0330440981008354,0.179476869450176
822,"Chill",-131,-0.240903952881589,0.939549326190231,0.0167433094933911,0.1296931176566
823,"Chill",-130,-0.136616769076113,0.86986869500553,0.0167987789673033,0.13012278235397
824,"Chill",-129,-0.0213865005246994,0.493817330752946,0.100399037028495,0.303751273178
825,"Chill",-128,-0.00574688735185413,0.783296467677968,0.0671941586970159,0.253545135863782
826,"Chill",-127,0.0233231379007232,0.291866531835596,0.0630345269660372,0.2383929538513
827,"Chill",-126,0.0346279206482177,1.05356901294547,0.0836450511555624,0.279761709377763
828,"Chill",-125,-0.126566179494986,0.769823782457297,0.0337462142433419,0.183264050086513
829,"Chill",-124,0.0520845781861533,0.897482952152392,0.116535831644915,0.323431062614002
830,"Chill",-123,-0.0743807452914597,0.626537917184596,0.0336196081536348,0.182578240475101
831,"Chill",-122,0.0767895462663173,1.38854777653637,0.14911753027035,0.358197949678368
901,"Chill",-121,-0.058907965681589,0.560855650594897,0.0840510413591772,0.281123026058624
902,"Chill",-120,0.00209132833456607,0.971697184062871,0.133909657673357,0.330321749254578
903,"Chill",-119,0.0463170834122594,0.605158540892624,0.100415929741408,0.303795492908525
